t,label,measured_distance_cm,sequence,vision_timestamp_ms,received_age_ms,vision_valid,vision_status,vision_error,frame_width,frame_height,action,fps,inference_ms,detection_count,detection_index,selected_target,class_id,target_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_area,bbox_area_ratio,center_x,center_y,offset_x,offset_y,model_distance_cm,sensor_valid,sensor_error,io_mask,avoid_state,avoid_reason,bad_offset_x,bad_bbox_area_ratio,left_cmd,right_cmd,motor_enabled,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8,adc9,io0,io1,io2,io3,io4,io5,io6,io7
0.005475,bad_left_far,50.0,,,,0,no_data_or_stale,,,,search,,,0,,,,,,,,,,,,,,,,,,,1,,254,VISION_STOP,no_data_or_stale,,,0,0,0,1111,1236,937,1188,22,985,339,567,6,9,0,1,1,1,1,1,1,1
1.492999,bad_left_far,50.0,1,1786864009034,9.283593999953155,1,target,,640,480,push,3.737576,160.753708,2,0,0,0,good,0.919828,572,293,640,427,68.0,134.0,9112.0,0.029661458333333335,606,360,0.89375,0.5,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.09765625,400,-400,0,1097,1219,922,1174,22,984,355,417,5,9,0,1,1,1,1,1,1,1
1.492999,bad_left_far,50.0,1,1786864009034,9.283593999953155,1,target,,640,480,push,3.737576,160.753708,2,1,1,1,bad,0.946325,219,280,369,480,150.0,200.0,30000.0,0.09765625,294,380,-0.08125,0.583333,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.09765625,400,-400,0,1097,1219,922,1174,22,984,355,417,5,9,0,1,1,1,1,1,1,1
1.674388,bad_left_far,50.0,2,1786864009209,15.42217599990181,1,target,,640,480,push,4.514252,170.411476,2,0,0,0,good,0.928971,571,292,640,424,69.0,132.0,9108.0,0.0296484375,606,358,0.89375,0.491667,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.09732421875,400,-400,0,1094,1217,920,1171,126,987,356,413,5,10,0,1,1,1,1,1,1,1
1.674388,bad_left_far,50.0,2,1786864009209,15.42217599990181,1,target,,640,480,push,4.514252,170.411476,2,1,1,1,bad,0.945726,218,282,369,480,151.0,198.0,29898.0,0.09732421875,294,381,-0.08125,0.5875,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.09732421875,400,-400,0,1094,1217,920,1171,126,987,356,413,5,10,0,1,1,1,1,1,1,1
1.835506,bad_left_far,50.0,3,1786864009374,11.52610500002993,1,target,,640,480,push,4.93367,158.30429,2,0,0,0,good,0.918986,571,293,640,426,69.0,133.0,9177.0,0.029873046875,606,360,0.89375,0.5,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.09716796875,400,-400,0,1090,1213,917,1166,376,987,274,402,4,9,0,1,1,1,1,1,1,1
1.835506,bad_left_far,50.0,3,1786864009374,11.52610500002993,1,target,,640,480,push,4.93367,158.30429,2,1,1,1,bad,0.941216,219,281,369,480,150.0,199.0,29850.0,0.09716796875,294,381,-0.08125,0.5875,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.09716796875,400,-400,0,1090,1213,917,1166,376,987,274,402,4,9,0,1,1,1,1,1,1,1
1.996799,bad_left_far,50.0,4,1786864009536,11.088260999940758,1,target,,640,480,push,5.195889,159.243827,2,0,0,0,good,0.933117,572,293,639,426,67.0,133.0,8911.0,0.029007161458333333,606,360,0.89375,0.5,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.0966796875,400,-400,0,1091,1213,917,1167,22,988,224,583,5,9,0,1,1,1,1,1,1,1
1.996799,bad_left_far,50.0,4,1786864009536,11.088260999940758,1,target,,640,480,push,5.195889,159.243827,2,1,1,1,bad,0.943569,219,282,369,480,150.0,198.0,29700.0,0.0966796875,294,381,-0.08125,0.5875,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.08125,0.0966796875,400,-400,0,1091,1213,917,1167,22,988,224,583,5,9,0,1,1,1,1,1,1,1
2.158089,bad_left_far,50.0,5,1786864009696,12.603805999788165,1,target,,640,480,push,5.378692,157.280495,2,0,0,0,good,0.950778,570,294,640,419,70.0,125.0,8750.0,0.028483072916666668,605,357,0.890625,0.4875,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.084375,0.09747395833333333,400,-400,0,1092,1213,917,1168,23,988,355,399,5,9,0,1,1,1,1,1,1,1
