t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,hunt_state,enemy_state,enemy_source_direction,enemy_turn_direction,enemy_slow,enemy_confirmed,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
0.007,enemy_integration,reentry,SENSOR_STOP,传感器无效或数据过期,0,0,1,1,,stale,IDLE,IDLE,,,0,0,0,0,0,0,0,1,882.0,1477.0,1359.0,1050.0,23.0,955.0
0.027,enemy_integration,reentry,SENSOR_STOP,传感器无效或数据过期,0,0,1,1,,stale,IDLE,IDLE,,,0,0,0,0,0,0,0,1,881.0,1478.0,1359.0,1050.0,24.0,955.0
0.047,enemy_integration,patrol,WARMUP,等待滤波窗口,0,0,1,1,,stale,IDLE,IDLE,,,0,0,0,0,0,0,0,1,882.0,1480.0,1360.0,1052.0,24.0,956.0
0.067,enemy_integration,patrol,WARMUP,等待滤波窗口,0,0,1,1,,stale,IDLE,IDLE,,,0,0,0,0,0,0,0,1,881.0,1479.0,1360.0,1050.0,24.0,969.0
0.087,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,877.0,1468.0,1355.0,1046.0,227.0,955.0
0.107,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,877.0,1468.0,1355.0,1046.0,227.0,955.0
0.128,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,873.0,1467.0,1349.0,1041.0,33.0,956.0
0.148,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,876.0,1473.0,1354.0,1046.0,24.0,956.0
0.168,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,876.0,1472.0,1353.0,1045.0,34.0,953.0
0.188,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1481.0,1360.0,1052.0,24.0,953.0
0.208,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1489.0,1368.0,1059.0,24.0,956.0
0.228,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,885.0,1484.0,1364.0,1056.0,25.0,956.0
0.248,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,888.0,1489.0,1369.0,1060.0,24.0,953.0
0.268,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,889.0,1491.0,1370.0,1060.0,220.0,955.0
0.289,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,888.0,1490.0,1370.0,1060.0,23.0,955.0
0.309,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1488.0,1367.0,1057.0,24.0,956.0
0.329,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1481.0,1364.0,1056.0,26.0,969.0
0.349,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,886.0,1485.0,1365.0,1056.0,23.0,954.0
0.37,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1487.0,1367.0,1058.0,24.0,956.0
0.39,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,883.0,1482.0,1361.0,1052.0,24.0,953.0
0.41,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,886.0,1488.0,1366.0,1057.0,23.0,953.0
0.43,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1488.0,1368.0,1058.0,23.0,955.0
0.45,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,885.0,1484.0,1364.0,1055.0,128.0,956.0
0.47,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1488.0,1367.0,1058.0,24.0,955.0
0.49,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,888.0,1489.0,1368.0,1059.0,23.0,954.0
0.51,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,885.0,1483.0,1364.0,1056.0,24.0,955.0
0.53,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1486.0,1367.0,1057.0,24.0,956.0
0.55,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,883.0,1482.0,1362.0,1055.0,23.0,956.0
0.57,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1476.0,1358.0,1050.0,37.0,953.0
0.591,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1483.0,1364.0,1055.0,24.0,955.0
0.611,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,880.0,1477.0,1358.0,1050.0,23.0,956.0
0.631,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,882.0,1479.0,1361.0,1052.0,24.0,955.0
0.651,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,883.0,1482.0,1363.0,1054.0,227.0,955.0
