source,label,distance,phase,rows,left_median,right_median,diff_median,diff_p05,diff_p95,signal_p01,signal_p99,both_active_ratio,right_floor_ratio,alignment_usable,note
右偏20度且离墙居中位置.csv,right_bias,middle,steady,498,610.0,20.0,590.0,558.0,614.0,578.0,644.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
左偏20度且离墙居中位置.csv,left_bias,middle,steady,498,549.0,305.0,244.0,226.0,291.0,529.97,597.0,1.0,0.0,1,左右两路均进入有效量程，可用于对齐建模
左偏且从90度往正中间转且离墙最远转.csv,left_bias,far,end,240,184.0,20.0,164.0,146.0,196.0,166.0,220.22,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
左偏且从90度往正中间转且离墙最远转.csv,left_bias,far,start,240,17.0,20.0,-3.0,-4.0,-3.0,20.0,21.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
左偏且从90度往正中间转且离墙最远转.csv,left_bias,far,transition,720,117.0,20.0,97.0,-3.0,195.0,20.0,216.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
正对墙且离墙居中位置.csv,center_middle,middle,steady,498,661.0,273.0,388.0,371.0,436.0,644.0,710.0,1.0,0.0,1,左右两路均进入有效量程，可用于对齐建模
正对着墙.csv,center_near,near,steady,1110,1313.0,1070.0,243.0,114.0,245.0,1312.0,1315.0,1.0,0.0,1,左右两路均进入有效量程，可用于对齐建模
正对着墙且距离墙最远.csv,center_far,far,steady,1074,184.0,20.0,164.0,148.0,197.0,166.0,224.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子右偏且从90度往正中间转且离墙居中位置转.csv,right_bias,middle,end,243,332.0,20.0,312.0,295.0,346.0,316.0,381.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子右偏且从90度往正中间转且离墙居中位置转.csv,right_bias,middle,start,243,26.0,20.0,6.0,-3.0,32.9,20.0,67.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子右偏且从90度往正中间转且离墙居中位置转.csv,right_bias,middle,transition,729,313.0,20.0,293.0,3.4,344.0,20.0,367.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子右偏且从90度往正中间转且离墙最远转.csv,right_bias,far,end,299,99.0,20.0,79.0,-3.0,164.8,20.0,215.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子右偏且从90度往正中间转且离墙最远转.csv,right_bias,far,start,299,52.0,20.0,32.0,21.0,49.0,32.84,84.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子右偏且从90度往正中间转且离墙最远转.csv,right_bias,far,transition,895,182.0,20.0,162.0,20.0,195.0,20.0,231.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子左偏且从90度往正中间转且离墙居中位置转.csv,left_bias,middle,end,202,417.0,20.0,396.0,362.0,426.0,381.0,447.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子左偏且从90度往正中间转且离墙居中位置转.csv,left_bias,middle,start,202,25.0,21.0,5.0,-4.0,30.0,20.0,58.93,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
车子左偏且从90度往正中间转且离墙居中位置转.csv,left_bias,middle,transition,604,281.0,20.0,261.0,-0.85,421.0,20.0,445.0,0.0,1.0,0,至少一路长期处于底噪，不能用于左右方向建模
