t,label,measured_distance_cm,sequence,vision_timestamp_ms,received_age_ms,vision_valid,vision_status,vision_error,frame_width,frame_height,action,fps,inference_ms,detection_count,detection_index,selected_target,class_id,target_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_area,bbox_area_ratio,center_x,center_y,offset_x,offset_y,model_distance_cm,sensor_valid,sensor_error,io_mask,hunt_mode,hunt_state,hunt_reason,hunt_owns_control,near_direction,good_offset_x,bad_offset_x,good_confidence,good_acquire_count,good_miss_count,good_locked,shovel_left,shovel_right,shovel_state,shovel_active,shovel_hang,left_cmd,right_cmd,motor_enabled,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8,adc9,io0,io1,io2,io3,io4,io5,io6,io7
0.014282,good_recheck,,,,,0,no_data_or_stale,,,,search,,,0,,,,,,,,,,,,,,,,,,,1,,255,release,NO_TARGET,没有可追踪 good；远处 bad 不触发避让,0,,,,,0,0,0,557.0,1041.0,IDLE,0,0,0,0,1,1236,1291,1038,1443,557,1041,21,17,2,27,1,1,1,1,1,1,1,1
1.583016,good_recheck,,1,1786891099879,8.550407001166604,1,no_target,,640,480,search,3.155909,211.363306,0,,,,,,,,,,,,,,,,,,,1,,255,release,NO_TARGET,没有可追踪 good；远处 bad 不触发避让,0,,,,,0,0,0,261.0,1006.0,IDLE,0,0,0,0,1,1211,1266,1014,1415,261,1006,21,37,3,26,1,1,1,1,1,1,1,1
1.784383,good_recheck,,2,1786891100084,4.304906999095692,1,no_target,,640,480,search,3.826711,203.240919,0,,,,,,,,,,,,,,,,,,,1,,255,release,NO_TARGET,没有可追踪 good；远处 bad 不触发避让,0,,,,,0,0,0,425.0,1039.0,IDLE,0,0,0,0,1,1211,1264,1014,1414,425,1039,21,22,2,26,1,1,1,1,1,1,1,1
1.985771,good_recheck,,3,1786891100280,9.748332000526716,1,target,,640,480,push,4.175168,193.272217,1,0,1,0,good,0.62943,602,283,640,448,38.0,165.0,6270.0,0.02041015625,621,366,0.940625,0.525,,1,,255,track_good,GOOD_ACQUIRE,中置信度 good 停车等待不同视觉帧确认,1,,0.940625,,0.62943,1,0,0,409.0,1006.0,IDLE,0,0,0,0,1,1211,1266,1016,1416,409,1006,21,18,2,25,1,1,1,1,1,1,1,1
2.187715,good_recheck,,4,1786891100474,17.68776899916702,1,target,,640,480,push,4.382889,185.832679,2,0,1,0,good,0.802431,602,282,640,446,38.0,164.0,6232.0,0.020286458333333333,621,364,0.940625,0.516667,,1,,255,track_good,BIG_TURN_RIGHT,目标偏差较大，原地大转,1,,0.940625,,0.802431,0,0,1,700.0,1017.0,IDLE,0,0,400,-400,1,1222,1276,1024,1429,700,1017,21,17,3,26,1,1,1,1,1,1,1,1
2.187715,good_recheck,,4,1786891100474,17.68776899916702,1,target,,640,480,push,4.382889,185.832679,2,1,0,0,good,0.760161,218,272,279,318,61.0,46.0,2806.0,0.009134114583333333,249,295,-0.221875,0.229167,,1,,255,track_good,BIG_TURN_RIGHT,目标偏差较大，原地大转,1,,0.940625,,0.802431,0,0,1,700.0,1017.0,IDLE,0,0,400,-400,1,1222,1276,1024,1429,700,1017,21,17,3,26,1,1,1,1,1,1,1,1
2.369019,good_recheck,,5,1786891100671,2.487087000190513,1,target,,640,480,push,4.508396,188.225619,3,0,1,0,good,0.782815,218,272,280,318,62.0,46.0,2852.0,0.009283854166666666,249,295,-0.221875,0.229167,,1,,255,track_good,ARC_LEFT,持续差速前进并小幅对准,1,,-0.221875,0.784375,0.782815,0,0,1,261.0,988.0,IDLE,0,0,400,500,1,1208,1263,1012,1412,261,988,21,18,2,26,1,1,1,1,1,1,1,1
2.369019,good_recheck,,5,1786891100671,2.487087000190513,1,target,,640,480,push,4.508396,188.225619,3,1,0,0,good,0.742969,600,283,640,442,40.0,159.0,6360.0,0.020703125,620,363,0.9375,0.5125,,1,,255,track_good,ARC_LEFT,持续差速前进并小幅对准,1,,-0.221875,0.784375,0.782815,0,0,1,261.0,988.0,IDLE,0,0,400,500,1,1208,1263,1012,1412,261,988,21,18,2,26,1,1,1,1,1,1,1,1
2.369019,good_recheck,,5,1786891100671,2.487087000190513,1,target,,640,480,push,4.508396,188.225619,3,2,0,1,bad,0.334405,527,278,615,334,88.0,56.0,4928.0,0.016041666666666666,571,306,0.784375,0.275,,1,,255,track_good,ARC_LEFT,持续差速前进并小幅对准,1,,-0.221875,0.784375,0.782815,0,0,1,261.0,988.0,IDLE,0,0,400,500,1,1208,1263,1012,1412,261,988,21,18,2,26,1,1,1,1,1,1,1,1
2.590998,good_recheck,,6,1786891100887,8.117193001453415,1,target,,640,480,push,4.526984,213.845658,3,0,1,0,good,0.796519,218,272,280,318,62.0,46.0,2852.0,0.009283854166666666,249,295,-0.221875,0.229167,,1,,255,track_good,ARC_LEFT,持续差速前进并小幅对准,1,,-0.221875,0.7875,0.796519,0,0,1,392.0,989.0,IDLE,0,0,400,500,1,1202,1262,1008,1409,392,989,21,19,2,25,1,1,1,1,1,1,1,1
