t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,near_direction,enemy_state,enemy_source_direction,enemy_turn_direction,enemy_slow,enemy_confirmed,vision_sequence,vision_status,reason,left_cmd,right_cmd,healthy
0.023,665.0,1294.0,1008.0,949.0,0.5294,1.3135,0.6335,0.9195,0.7765,1,0,0,0,0,0,1,1361.0,24.0,1036.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,传感器无效或数据过期,0,0,1
0.043,665.0,1294.0,1008.0,949.0,0.5294,1.3135,0.6335,0.9195,0.7765,1,0,0,0,0,0,1,1361.0,24.0,1036.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,传感器无效或数据过期,0,0,1
0.064,667.0,1298.0,1011.0,950.0,0.5356,1.3214,0.6408,0.9228,0.7818,1,0,0,0,0,0,1,1348.0,23.0,1037.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,等待滤波窗口,0,0,1
0.084,668.0,1301.0,1013.0,953.0,0.5372,1.3244,0.6432,0.9279,0.7855,1,0,0,0,0,0,1,1352.0,23.0,1038.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,等待滤波窗口,0,0,1
0.104,668.0,1300.0,1012.0,951.0,0.5387,1.3254,0.6432,0.9262,0.7847,1,0,0,0,0,0,1,1352.0,23.0,1037.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.124,666.0,1296.0,1010.0,950.0,0.5387,1.3254,0.6432,0.9262,0.7847,1,0,0,0,0,0,1,1362.0,23.0,1037.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.144,663.0,1291.0,1006.0,944.0,0.5325,1.3175,0.6383,0.9228,0.7806,1,0,0,0,0,0,1,1351.0,226.0,1039.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.164,662.0,1290.0,1005.0,944.0,0.5232,1.3075,0.6286,0.9027,0.7657,1,0,0,0,0,0,1,1353.0,23.0,1037.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.184,664.0,1294.0,1007.0,948.0,0.5232,1.3075,0.6286,0.9027,0.7657,1,0,0,0,0,0,1,1352.0,23.0,1056.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.205,670.0,1305.0,1015.0,956.0,0.5263,1.3135,0.6311,0.9161,0.7736,1,0,0,0,0,0,1,1345.0,23.0,1021.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.225,668.0,1301.0,1013.0,953.0,0.5387,1.3274,0.6456,0.9329,0.7893,1,0,0,0,0,0,1,1349.0,22.0,1038.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.245,671.0,1305.0,1015.0,956.0,0.5449,1.3353,0.6505,0.943,0.7967,1,0,0,0,0,0,1,1352.0,23.0,1034.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
