t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,good_confidence,good_acquire_count,good_miss_count,good_locked,near_direction,enemy_state,enemy_source_direction,enemy_turn_direction,enemy_slow,enemy_confirmed,enemy_vision_count,enemy_vision_verdict,vision_sequence,vision_status,vision_has_good,vision_has_bad,reason,left_cmd,right_cmd,healthy
0.042,640.0,1017.0,975.0,826.0,0.452,0.7639,0.5534,0.5067,0.5301,0,0,0,0,0,0,1,-5.0,159.0,1132.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,传感器无效或数据过期,0,0,1
0.062,637.0,1014.0,972.0,823.0,0.4474,0.7609,0.5498,0.5017,0.5257,0,0,0,0,0,0,1,-5.0,142.0,1133.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,传感器无效或数据过期,0,0,1
0.082,636.0,1012.0,969.0,820.0,0.4396,0.754,0.5388,0.4866,0.5127,0,0,0,0,0,0,1,6.0,245.0,1131.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,等待滤波窗口,0,0,1
0.102,634.0,1009.0,968.0,818.0,0.4365,0.751,0.5376,0.4832,0.5104,0,0,0,0,0,0,1,-5.0,637.0,1133.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,等待滤波窗口,0,0,1
0.122,638.0,1017.0,974.0,825.0,0.4396,0.754,0.5388,0.4866,0.5127,0,0,0,0,0,0,1,-4.0,176.0,1133.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.142,638.0,1016.0,972.0,822.0,0.4458,0.7619,0.5461,0.4933,0.5197,0,0,0,0,0,0,1,-4.0,142.0,1118.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.162,636.0,1011.0,970.0,820.0,0.4458,0.7619,0.5461,0.4933,0.5197,0,0,0,0,0,0,1,-4.0,247.0,1132.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.183,638.0,1016.0,973.0,825.0,0.4458,0.7619,0.5461,0.4933,0.5197,0,0,0,0,0,0,1,-5.0,606.0,1162.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.203,638.0,1018.0,974.0,825.0,0.4458,0.7619,0.5485,0.5034,0.5259,0,0,0,0,0,0,1,53.0,246.0,1135.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.223,635.0,1010.0,969.0,818.0,0.4458,0.7619,0.5485,0.5034,0.5259,0,0,0,0,0,0,1,-5.0,1028.0,1122.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.243,635.0,1011.0,969.0,820.0,0.4365,0.752,0.5388,0.4866,0.5127,0,0,0,0,0,0,1,-6.0,734.0,1134.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.263,638.0,1017.0,973.0,824.0,0.4365,0.752,0.5388,0.4866,0.5127,0,0,0,0,0,0,1,0.0,246.0,1133.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
