t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,good_confidence,good_acquire_count,good_miss_count,good_locked,near_direction,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,vision_sequence,vision_status,vision_has_good,vision_has_bad,reason,left_cmd,right_cmd,healthy
0.024,626.0,853.0,901.0,822.0,0.4087,0.4385,0.3738,0.4933,0.4236,1,0,0,0,0,0,1,346.0,93.0,990.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,传感器无效或数据过期,0,0,1
0.044,626.0,852.0,900.0,822.0,0.4087,0.4375,0.3726,0.4933,0.4231,1,0,0,0,0,0,1,346.0,492.0,974.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,传感器无效或数据过期,0,0,1
0.064,626.0,852.0,900.0,822.0,0.4087,0.4365,0.3714,0.4933,0.4226,1,0,0,0,0,0,1,346.0,492.0,974.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,等待滤波窗口,0,0,1
0.084,622.0,846.0,895.0,816.0,0.4025,0.4306,0.3653,0.4832,0.4165,1,0,0,0,0,0,1,395.0,27.0,992.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,等待滤波窗口,0,0,1
0.104,624.0,850.0,898.0,820.0,0.4025,0.4325,0.3665,0.4866,0.4175,1,0,0,0,0,0,1,347.0,93.0,990.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.124,620.0,845.0,893.0,814.0,0.3963,0.4246,0.3592,0.4732,0.4104,1,0,0,0,0,0,1,346.0,508.0,976.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.145,621.0,847.0,894.0,818.0,0.3932,0.4266,0.3568,0.4799,0.4099,1,0,0,0,0,0,1,343.0,276.0,992.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.165,622.0,848.0,895.0,817.0,0.3932,0.4266,0.3568,0.4765,0.4099,1,0,0,0,0,0,1,347.0,506.0,992.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.185,629.0,857.0,905.0,827.0,0.3963,0.4286,0.3592,0.4799,0.4124,1,0,0,0,0,0,1,359.0,92.0,974.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.205,629.0,857.0,904.0,828.0,0.418,0.4464,0.3811,0.5101,0.4322,1,0,0,0,0,0,1,375.0,109.0,991.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
