t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,good_confidence,good_acquire_count,good_miss_count,good_locked,near_direction,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,enemy_bad_interrupt_count,vision_sequence,vision_status,vision_has_good,vision_has_bad,reason,left_cmd,right_cmd,healthy
0.027,658.0,957.0,784.0,733.0,0.5077,0.6448,0.0898,0.1946,0.3512,0,0,0,0,0,0,1,-1451.0,127.0,908.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.047,657.0,957.0,784.0,733.0,0.5062,0.6448,0.0898,0.1946,0.3504,0,0,0,0,0,0,1,-1421.0,22.0,926.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.067,651.0,947.0,778.0,725.0,0.4861,0.625,0.0752,0.1678,0.3269,0,0,0,0,0,0,1,-1393.0,21.0,911.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.09,648.0,942.0,774.0,722.0,0.4814,0.62,0.0704,0.1628,0.3221,0,0,0,0,0,0,1,-1316.0,77.0,923.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.11,648.0,942.0,774.0,722.0,0.4768,0.6151,0.0655,0.1577,0.3172,0,0,0,0,0,0,1,-1316.0,77.0,923.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.13,648.0,945.0,775.0,724.0,0.4768,0.6151,0.0655,0.1577,0.3172,0,0,0,0,0,0,1,-1464.0,22.0,911.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.15,650.0,946.0,776.0,725.0,0.4768,0.621,0.068,0.1644,0.3206,0,0,0,0,0,0,1,-1434.0,22.0,927.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.171,641.0,935.0,766.0,715.0,0.4768,0.621,0.068,0.1644,0.3206,0,0,0,0,0,0,1,-1420.0,22.0,925.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.191,640.0,935.0,766.0,715.0,0.4551,0.6012,0.0461,0.1342,0.2947,0,0,0,0,0,0,1,-1436.0,22.0,925.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.213,646.0,943.0,773.0,722.0,0.4551,0.6012,0.0461,0.1342,0.2947,0,0,0,0,0,0,1,-1301.0,176.0,927.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.233,644.0,939.0,769.0,720.0,0.4644,0.6091,0.0534,0.151,0.3077,0,0,0,0,0,0,1,-1434.0,36.0,926.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.253,647.0,944.0,773.0,723.0,0.4706,0.6171,0.0631,0.1577,0.3142,0,0,0,0,0,0,1,-1427.0,24.0,910.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.273,660.0,964.0,788.0,738.0,0.4737,0.619,0.0631,0.1611,0.3174,0,0,0,0,0,0,1,-1424.0,21.0,921.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.293,658.0,962.0,784.0,737.0,0.5077,0.6548,0.0898,0.2081,0.3579,0,0,0,0,0,0,1,-1434.0,21.0,926.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.313,670.0,974.0,797.0,749.0,0.5139,0.6587,0.0995,0.2114,0.3627,0,0,0,0,0,0,1,-1434.0,22.0,907.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.334,680.0,982.0,804.0,757.0,0.5449,0.6786,0.1214,0.2483,0.3966,0,0,0,0,0,0,1,-1422.0,22.0,924.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.354,681.0,975.0,798.0,758.0,0.5759,0.6806,0.1238,0.2752,0.4255,0,0,0,0,0,0,1,-1444.0,22.0,910.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.374,694.0,978.0,801.0,766.0,0.5789,0.6865,0.1311,0.2785,0.4287,0,0,0,0,0,0,1,-1409.0,21.0,847.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.394,699.0,970.0,790.0,747.0,0.6192,0.6806,0.1238,0.2785,0.4489,0,0,0,0,0,0,1,-1460.0,507.0,783.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.414,702.0,960.0,779.0,737.0,0.6347,0.6706,0.1044,0.2416,0.4381,0,0,0,0,0,0,1,-1429.0,28.0,861.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.434,698.0,960.0,779.0,750.0,0.6347,0.6508,0.0777,0.2416,0.4381,0,0,0,0,0,0,1,-1408.0,22.0,927.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.454,683.0,947.0,774.0,764.0,0.6316,0.6508,0.0777,0.2517,0.4416,0,0,0,0,0,0,1,-1451.0,22.0,926.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.474,679.0,939.0,779.0,751.0,0.5851,0.625,0.0777,0.255,0.4201,0,0,0,0,0,0,1,-1357.0,38.0,925.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
