t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,linear_risk,turn_risk,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.5294,-1.254,-1.8131,-2.2651,-1.6713,,SENSOR_STOP,传感器无效或数据过期,,-0.2754,0.452,1,stop,0.0,,0.0,0,0,0
0.02,1597.0,1718.0,1287.0,1361.0,0.9427,0.4504,-0.2512,0.0185,0.2344,,WARMUP,等待滤波窗口,,0.4923,-0.2697,1,stop,0.0,,0.0,0,0,1
0.04,1600.0,1720.0,1288.0,1363.0,3.4149,2.1548,1.3107,2.302,2.2284,front,CRUISE,按区域分级巡航,,1.2601,-0.9913,0,fast,0.0,,0.0,500,400,1
0.061,1598.0,1720.0,1289.0,1364.0,3.418,2.1587,1.3131,2.3087,2.2337,front,WHITE_ESCAPE,前方白边，先后退,left,1.2592,-0.9956,0,danger,0.0,,0.0,-400,-400,1
0.081,1592.0,1714.0,1284.0,1358.0,3.418,2.1587,1.3131,2.3087,2.2337,front,WHITE_ESCAPE,前方白边，先后退,left,1.2592,-0.9956,0,danger,0.0,,0.0,-400,-400,1
0.101,1627.0,1755.0,1312.0,1393.0,3.418,2.1587,1.3155,2.3121,2.2354,front,WHITE_ESCAPE,前方白边，先后退,left,1.2592,-0.9965,0,danger,0.0,,0.0,-400,-400,1
0.121,1594.0,1718.0,1285.0,1358.0,3.4056,2.1548,1.3058,2.2919,2.2234,front,WHITE_ESCAPE,前方白边，先后退,left,1.2508,-0.9861,0,danger,0.0,,0.0,-400,-400,1
0.141,1594.0,1716.0,1286.0,1362.0,3.4056,2.1548,1.3083,2.3054,2.2301,front,WHITE_ESCAPE,前方白边，先后退,left,1.2508,-0.9971,0,danger,0.0,,0.0,-400,-400,1
0.161,1597.0,1718.0,1288.0,1363.0,3.4056,2.1548,1.3083,2.3054,2.2301,front,WHITE_ESCAPE,前方白边，先后退,left,1.2508,-0.9971,0,danger,0.0,,0.0,-400,-400,1
0.181,1597.0,1719.0,1288.0,1364.0,3.4149,2.1548,1.3131,2.3087,2.2317,front,WHITE_ESCAPE,前方白边，先后退,left,1.2601,-0.9956,0,danger,0.0,,0.0,-400,-400,1
0.201,1599.0,1721.0,1290.0,1365.0,3.4149,2.1567,1.3131,2.3121,2.2344,front,WHITE_ESCAPE,前方白边，先后退,left,1.2581,-0.999,0,danger,0.0,,0.0,-400,-400,1
0.221,1597.0,1720.0,1289.0,1364.0,3.4149,2.1587,1.3155,2.3121,2.2354,front,WHITE_ESCAPE,前方白边，先后退,left,1.2561,-0.9965,0,danger,0.0,,0.0,-400,-400,1
0.241,1596.0,1718.0,1287.0,1363.0,3.4149,2.1587,1.3155,2.3121,2.2354,front,WHITE_ESCAPE,前方白边，先后退,left,1.2561,-0.9965,0,danger,0.0,,0.0,-400,-400,1
0.261,1600.0,1722.0,1288.0,1366.0,3.4149,2.1587,1.3131,2.3121,2.2354,front,WHITE_ESCAPE,前方白边，先后退,left,1.2561,-0.999,0,danger,0.0,,0.0,-400,-400,1
0.281,1598.0,1722.0,1285.0,1368.0,3.418,2.1627,1.3107,2.3188,2.2407,front,WHITE_ESCAPE,前方白边，先后退,left,1.2553,-1.0081,0,danger,0.0,,0.0,-400,-400,1
0.302,1596.0,1721.0,1275.0,1372.0,3.418,2.1627,1.3058,2.3255,2.2441,front,WHITE_ESCAPE,前方白边，先后退,left,1.2553,-1.0197,0,danger,0.0,,0.0,-400,-400,1
0.322,1595.0,1720.0,1261.0,1382.0,3.4118,2.1607,1.2816,2.3389,2.2498,front,WHITE_ESCAPE,前方白边，先后退,left,1.2511,-1.0574,0,danger,0.0,,0.0,-400,-400,1
