t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,linear_risk,turn_risk,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.001,0.0,0.0,0.0,0.0,-4.3774,-5.3948,-6.5048,-6.0749,-5.7349,,SENSOR_STOP,传感器无效或数据过期,,1.0175,-0.4299,1,stop,0.0,,0.0,0,0,0
0.021,960.0,1302.0,700.0,1492.0,-2.3443,-2.6009,-3.7182,-3.2809,-2.9409,,WARMUP,等待滤波窗口,,0.2565,-0.4373,1,stop,0.0,,0.0,0,0,1
0.041,960.0,1303.0,700.0,1490.0,-0.3113,0.1931,-0.9315,-0.4944,-0.4028,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.5044,-0.4371,1,slow,0.0,,0.0,-400,-400,1
0.061,960.0,1303.0,701.0,1492.0,-0.3113,0.1974,-0.9315,-0.4869,-0.3991,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.5087,-0.4446,1,slow,0.0,,0.0,-400,-400,1
0.081,960.0,1302.0,699.0,1491.0,-0.3113,0.1974,-0.9315,-0.4906,-0.401,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5087,-0.4409,1,danger_turn,180.0,right,1.0,625,-625,1
0.101,961.0,1305.0,702.0,1495.0,-0.3113,0.1974,-0.9236,-0.4869,-0.3991,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5087,-0.4367,1,danger_turn,180.0,right,1.0,625,-625,1
0.121,961.0,1303.0,701.0,1493.0,-0.3071,0.1974,-0.9236,-0.4831,-0.3951,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5045,-0.4404,1,danger_turn,180.0,right,1.0,625,-625,1
0.141,962.0,1305.0,701.0,1493.0,-0.3071,0.206,-0.9236,-0.4831,-0.3951,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5131,-0.4404,1,danger_turn,180.0,right,1.0,625,-625,1
0.161,962.0,1306.0,702.0,1496.0,-0.3028,0.206,-0.9236,-0.4831,-0.393,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5088,-0.4404,1,danger_turn,180.0,right,1.0,625,-625,1
0.182,962.0,1305.0,703.0,1495.0,-0.3028,0.206,-0.9156,-0.4757,-0.3892,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5088,-0.4399,1,danger_turn,180.0,right,1.0,625,-625,1
0.202,960.0,1302.0,701.0,1494.0,-0.3028,0.206,-0.9156,-0.4757,-0.3892,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5088,-0.4399,1,danger_turn,180.0,right,1.0,625,-625,1
0.222,962.0,1305.0,700.0,1494.0,-0.3028,0.206,-0.9236,-0.4794,-0.3911,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5088,-0.4442,1,danger_turn,180.0,right,1.0,625,-625,1
0.242,959.0,1300.0,700.0,1489.0,-0.3113,0.1931,-0.9315,-0.4794,-0.3954,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5044,-0.4521,1,danger_turn,180.0,right,1.0,625,-625,1
0.262,956.0,1300.0,700.0,1484.0,-0.3155,0.1845,-0.9315,-0.4981,-0.4068,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5001,-0.4334,1,danger_turn,180.0,right,1.0,625,-625,1
0.282,953.0,1299.0,699.0,1479.0,-0.3283,0.1845,-0.9315,-0.5169,-0.4226,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5128,-0.4147,1,danger_turn,180.0,right,1.0,625,-625,1
0.302,951.0,1300.0,697.0,1476.0,-0.341,0.1845,-0.9395,-0.5356,-0.4383,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5255,-0.4039,1,danger_turn,180.0,right,1.0,625,-625,1
0.322,950.0,1303.0,695.0,1467.0,-0.3494,0.1845,-0.9554,-0.5468,-0.4481,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.534,-0.4086,1,danger_turn,180.0,right,1.0,625,-625,1
0.342,948.0,1293.0,692.0,1459.0,-0.3537,0.1845,-0.9713,-0.5805,-0.4671,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5382,-0.3908,1,danger_turn,180.0,right,1.0,625,-625,1
0.362,945.0,1307.0,694.0,1460.0,-0.3621,0.1974,-0.9793,-0.6067,-0.4844,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5596,-0.3726,1,danger_turn,180.0,right,1.0,625,-625,1
0.383,942.0,1294.0,691.0,1449.0,-0.3748,0.1588,-0.9952,-0.6105,-0.4927,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5336,-0.3847,1,danger_turn,180.0,right,1.0,625,-625,1
0.403,944.0,1281.0,696.0,1451.0,-0.3791,0.1588,-0.9793,-0.6404,-0.5098,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5379,-0.3388,1,danger_turn,180.0,right,1.0,625,-625,1
0.423,938.0,1271.0,692.0,1449.0,-0.3875,0.103,-0.9952,-0.6479,-0.5177,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.4906,-0.3473,1,danger_turn,180.0,right,1.0,625,-625,1
0.443,936.0,1273.0,690.0,1441.0,-0.4045,0.0687,-0.9952,-0.6479,-0.5262,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.4732,-0.3473,1,danger_turn,180.0,right,1.0,625,-625,1
0.463,937.0,1268.0,690.0,1433.0,-0.4087,0.0601,-1.0111,-0.6779,-0.5433,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.4688,-0.3332,1,danger_turn,180.0,right,1.0,625,-625,1
0.483,930.0,1270.0,694.0,1416.0,-0.413,0.0558,-1.0111,-0.7079,-0.5604,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.4688,-0.3033,1,danger_turn,180.0,right,1.0,625,-625,1
0.503,921.0,1272.0,705.0,1408.0,-0.4384,0.0558,-0.9793,-0.7715,-0.605,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.4942,-0.2078,1,danger_turn,180.0,right,1.0,625,-625,1
0.523,917.0,1280.0,711.0,1412.0,-0.4765,0.0644,-0.8917,-0.7865,-0.6315,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5409,-0.1052,1,danger_turn,180.0,right,1.0,625,-625,1
0.543,911.0,1283.0,706.0,1403.0,-0.4934,0.0987,-0.8838,-0.8015,-0.6475,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.5921,-0.0823,1,danger_turn,180.0,right,1.0,625,-625,1
0.563,902.0,1278.0,701.0,1398.0,-0.5188,0.0987,-0.8838,-0.8202,-0.6695,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.6176,-0.0635,1,danger_turn,180.0,right,1.0,625,-625,1
0.584,891.0,1281.0,698.0,1387.0,-0.557,0.103,-0.9236,-0.839,-0.698,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.66,-0.0846,1,danger_turn,180.0,right,1.0,625,-625,1
0.604,876.0,1286.0,698.0,1388.0,-0.6036,0.103,-0.9475,-0.8764,-0.74,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.7066,-0.071,1,danger_turn,180.0,right,1.0,625,-625,1
0.624,877.0,1290.0,700.0,1395.0,-0.6629,0.1245,-0.9475,-0.8764,-0.7696,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.7873,-0.071,1,danger_turn,180.0,right,1.0,625,-625,1
0.644,874.0,1294.0,708.0,1393.0,-0.6671,0.1416,-0.9315,-0.8577,-0.7624,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.8087,-0.0739,1,danger_turn,180.0,right,1.0,625,-625,1
0.664,874.0,1294.0,708.0,1393.0,-0.6756,0.1588,-0.8678,-0.8577,-0.7666,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.8344,-0.0102,1,danger_turn,180.0,right,1.0,625,-625,1
0.684,867.0,1301.0,709.0,1394.0,-0.6756,0.1588,-0.8678,-0.8577,-0.7666,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.8344,-0.0102,1,danger_turn,180.0,right,1.0,625,-625,1
0.704,867.0,1306.0,699.0,1384.0,-0.7052,0.1888,-0.8678,-0.8577,-0.7814,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.8941,-0.0102,1,danger_turn,180.0,right,1.0,625,-625,1
0.725,866.0,1310.0,696.0,1391.0,-0.7052,0.2103,-0.9395,-0.8652,-0.7852,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.9155,-0.0743,1,danger_turn,180.0,right,1.0,625,-625,1
0.745,853.0,1310.0,691.0,1389.0,-0.7094,0.2275,-0.9634,-0.8727,-0.7911,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.9369,-0.0907,1,danger_turn,180.0,right,1.0,625,-625,1
0.765,845.0,1312.0,695.0,1402.0,-0.7645,0.2275,-0.9713,-0.8652,-0.8148,,EDGE_TURN,进入危险区，直接大转 180 度,left,-0.992,-0.1062,1,danger_turn,180.0,right,1.0,625,-625,1
0.785,845.0,1315.0,697.0,1405.0,-0.7984,0.2361,-0.9713,-0.824,-0.8112,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.0344,-0.1474,1,danger_turn,180.0,right,1.0,625,-625,1
0.805,849.0,1321.0,689.0,1413.0,-0.7984,0.2489,-0.9713,-0.8127,-0.8056,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.0473,-0.1586,1,danger_turn,180.0,right,1.0,625,-625,1
0.825,842.0,1328.0,679.0,1421.0,-0.7984,0.2747,-1.0191,-0.7828,-0.7906,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.0731,-0.2363,1,danger_turn,180.0,right,1.0,625,-625,1
0.845,825.0,1328.0,676.0,1412.0,-0.8111,0.3047,-1.0987,-0.7828,-0.7969,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.1158,-0.316,1,danger_turn,180.0,right,1.0,625,-625,1
0.865,822.0,1335.0,676.0,1416.0,-0.8831,0.3047,-1.1226,-0.7715,-0.8273,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.1878,-0.3511,1,danger_turn,180.0,right,1.0,625,-625,1
0.885,817.0,1337.0,671.0,1413.0,-0.8958,0.3348,-1.1226,-0.7828,-0.8393,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.2306,-0.3398,1,danger_turn,180.0,right,1.0,625,-625,1
0.906,813.0,1337.0,660.0,1414.0,-0.917,0.3433,-1.1624,-0.779,-0.848,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.2603,-0.3834,1,danger_turn,180.0,right,1.0,625,-625,1
0.926,816.0,1344.0,647.0,1425.0,-0.9212,0.3433,-1.25,-0.779,-0.8501,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.2646,-0.471,1,danger_turn,180.0,right,1.0,625,-625,1
0.946,812.0,1342.0,643.0,1429.0,-0.9339,0.3648,-1.3535,-0.7378,-0.8359,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.2987,-0.6157,1,danger_turn,180.0,right,1.0,625,-625,1
0.966,803.0,1343.0,638.0,1444.0,-0.9382,0.3691,-1.3854,-0.7228,-0.8305,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.3073,-0.6625,1,danger_turn,180.0,right,1.0,625,-625,1
0.986,806.0,1344.0,620.0,1447.0,-0.9636,0.3691,-1.4252,-0.6667,-0.8151,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.3327,-0.7585,1,danger_turn,180.0,right,1.0,625,-625,1
1.006,811.0,1344.0,613.0,1447.0,-0.9636,0.3734,-1.5685,-0.6554,-0.8095,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.337,-0.913,1,danger_turn,180.0,right,1.0,625,-625,1
1.026,803.0,1340.0,612.0,1453.0,-0.9636,0.3734,-1.6242,-0.6554,-0.8095,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.337,-0.9688,1,danger_turn,180.0,right,1.0,625,-625,1
1.046,803.0,1350.0,610.0,1456.0,-0.9763,0.3734,-1.6322,-0.633,-0.8046,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.3497,-0.9992,1,danger_turn,180.0,right,1.0,625,-625,1
1.067,808.0,1352.0,612.0,1457.0,-0.9763,0.3991,-1.6322,-0.6217,-0.799,,EDGE_TURN,进入危险区，直接大转 180 度,left,-1.3754,-1.0104,1,danger_turn,180.0,right,1.0,625,-625,1
1.087,808.0,1352.0,612.0,1457.0,-0.9551,0.4077,-1.6322,-0.618,-0.7865,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.3628,-1.0142,1,danger,0.0,,0.0,400,400,1
1.107,816.0,1348.0,599.0,1458.0,-0.9551,0.4077,-1.6322,-0.618,-0.7865,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.3628,-1.0142,1,danger,0.0,,0.0,400,400,1
1.127,814.0,1341.0,585.0,1456.0,-0.9297,0.3906,-1.7357,-0.618,-0.7738,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.3202,-1.1177,1,danger,0.0,,0.0,400,400,1
1.147,825.0,1344.0,585.0,1480.0,-0.9212,0.3734,-1.8471,-0.6142,-0.7677,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.2946,-1.2329,1,danger,0.0,,0.0,400,400,1
1.167,830.0,1336.0,585.0,1506.0,-0.8831,0.3605,-1.8471,-0.5318,-0.7075,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.2436,-1.3153,1,danger,0.0,,0.0,400,400,1
1.187,835.0,1340.0,579.0,1502.0,-0.8619,0.3562,-1.8471,-0.4494,-0.6557,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.2181,-1.3977,1,danger,0.0,,0.0,400,400,1
1.208,842.0,1338.0,576.0,1503.0,-0.8407,0.3476,-1.8949,-0.4457,-0.6432,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.1884,-1.4492,1,danger,0.0,,0.0,400,400,1
1.228,843.0,1332.0,568.0,1506.0,-0.8111,0.3476,-1.9188,-0.4457,-0.6284,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.1587,-1.4731,1,danger,0.0,,0.0,400,400,1
1.248,842.0,1333.0,574.0,1527.0,-0.8111,0.3262,-1.9347,-0.4345,-0.6228,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.1373,-1.5003,1,danger,0.0,,0.0,400,400,1
1.268,836.0,1322.0,576.0,1524.0,-0.8111,0.3219,-1.9347,-0.367,-0.5891,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.133,-1.5677,1,danger,0.0,,0.0,400,400,1
1.288,832.0,1309.0,579.0,1526.0,-0.8365,0.279,-1.9188,-0.3596,-0.598,,RECOVER_FORWARD,180 度转向完成，向前离开边缘,left,-1.1155,-1.5592,1,danger,0.0,,0.0,400,400,1
