t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,vision_has_good,vision_has_bad,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,shovel_state,shovel_active,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
0.007,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1014.0,1080.0,989.0,359.0,1025.0
0.027,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,754.0,1009.0,1074.0,983.0,343.0,1024.0
0.048,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,755.0,1009.0,1074.0,983.0,419.0,1026.0
0.068,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,755.0,1009.0,1074.0,983.0,419.0,1026.0
0.089,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,752.0,1006.0,1070.0,980.0,359.0,1024.0
0.11,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,752.0,1006.0,1070.0,980.0,359.0,1024.0
0.13,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,752.0,1007.0,1071.0,981.0,359.0,1024.0
0.15,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,752.0,1006.0,1071.0,982.0,229.0,1094.0
0.17,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,751.0,1007.0,1071.0,981.0,392.0,1025.0
0.19,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1017.0,1080.0,991.0,228.0,1025.0
0.21,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1018.0,1082.0,993.0,357.0,1024.0
0.23,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,762.0,1019.0,1084.0,995.0,273.0,1024.0
0.25,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,761.0,1019.0,1083.0,993.0,359.0,1025.0
0.27,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,761.0,1020.0,1083.0,993.0,439.0,1027.0
0.29,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,761.0,1018.0,1083.0,993.0,796.0,1026.0
0.311,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,764.0,1021.0,1085.0,994.0,380.0,1021.0
