t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,vision_has_good,vision_has_bad,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,enemy_bad_interrupt_count,shovel_state,shovel_active,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
0.007,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1040.0,1555.0,1199.0,1178.0,1280.0,945.0
0.027,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1031.0,1546.0,1194.0,1172.0,770.0,944.0
0.047,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1032.0,1544.0,1194.0,1172.0,161.0,942.0
0.068,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1030.0,1545.0,1192.0,1171.0,576.0,940.0
0.088,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1002.0,1500.0,1163.0,1136.0,178.0,941.0
0.108,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1005.0,1512.0,1167.0,1144.0,282.0,943.0
0.128,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1019.0,1532.0,1181.0,1160.0,199.0,942.0
0.148,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1054.0,1586.0,1219.0,1203.0,378.0,942.0
0.168,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1062.0,1591.0,1228.0,1210.0,162.0,961.0
0.188,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1063.0,1591.0,1227.0,1208.0,344.0,942.0
0.208,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1063.0,1591.0,1227.0,1208.0,344.0,942.0
0.229,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1064.0,1589.0,1228.0,1210.0,192.0,941.0
0.249,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1061.0,1585.0,1224.0,1205.0,297.0,939.0
0.269,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1060.0,1583.0,1224.0,1203.0,297.0,940.0
0.289,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1066.0,1594.0,1231.0,1211.0,160.0,941.0
0.309,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1052.0,1571.0,1216.0,1195.0,280.0,942.0
0.329,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1054.0,1574.0,1217.0,1195.0,298.0,942.0
0.349,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1061.0,1585.0,1225.0,1204.0,346.0,941.0
0.369,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1054.0,1576.0,1217.0,1197.0,376.0,942.0
0.39,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1049.0,1566.0,1211.0,1187.0,55.0,942.0
0.41,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1058.0,1581.0,1222.0,1201.0,345.0,941.0
0.43,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1057.0,1579.0,1220.0,1197.0,476.0,941.0
0.45,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1051.0,1569.0,1214.0,1192.0,296.0,942.0
0.47,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1058.0,1582.0,1222.0,1204.0,178.0,961.0
0.49,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1061.0,1586.0,1226.0,1196.0,575.0,942.0
0.51,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1053.0,1575.0,1218.0,1196.0,362.0,942.0
0.53,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1053.0,1576.0,1216.0,1197.0,378.0,942.0
0.55,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1047.0,1566.0,1210.0,1190.0,279.0,952.0
0.57,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1040.0,1555.0,1202.0,1180.0,669.0,939.0
0.591,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1049.0,1572.0,1210.0,1189.0,672.0,943.0
0.611,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,0,IDLE,0,0,0,0,0,0,0,1047.0,1569.0,1211.0,1191.0,559.0,944.0
