t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,547.0,747.0,388.0,1047.0,-1.068,-0.9248,-0.7354,-1.2933,0,0,0,1,0,0,0,0,1,355.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,548.0,749.0,388.0,1048.0,-0.3238,-0.1111,-0.195,-0.2004,1,0,0,1,0,0,0,0,1,341.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,547.0,749.0,389.0,1047.0,-0.3238,-0.1068,-0.195,-0.2004,1,0,0,1,0,0,0,0,1,386.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,545.0,745.0,387.0,1043.0,-0.3238,-0.1068,-0.195,-0.2004,1,1,0,1,0,0,0,0,1,259.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.101,546.0,746.0,388.0,1045.0,-0.3265,-0.1133,-0.195,-0.2046,1,0,0,1,0,0,0,0,1,354.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.121,548.0,749.0,389.0,1048.0,-0.3265,-0.1133,-0.195,-0.2046,1,0,0,1,0,0,0,0,1,357.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.141,546.0,747.0,388.0,1046.0,-0.3265,-0.1111,-0.195,-0.2025,1,0,0,1,0,0,0,0,1,455.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.161,548.0,750.0,389.0,1048.0,-0.3211,-0.1068,-0.1922,-0.1983,1,0,0,1,0,0,0,0,1,404.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.181,548.0,750.0,389.0,1049.0,-0.3211,-0.1046,-0.1922,-0.1983,1,0,0,1,0,0,0,0,1,388.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.201,549.0,749.0,389.0,1049.0,-0.3211,-0.1046,-0.1922,-0.1962,1,0,0,1,0,0,0,0,1,357.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.222,549.0,751.0,390.0,1049.0,-0.3184,-0.1046,-0.1922,-0.1962,1,0,0,1,0,0,0,0,1,324.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.242,547.0,749.0,388.0,1048.0,-0.3184,-0.1068,-0.1922,-0.1962,1,0,0,1,0,0,0,0,1,352.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.262,548.0,750.0,389.0,1048.0,-0.3211,-0.1046,-0.1922,-0.1983,1,0,0,1,0,0,0,0,1,406.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.282,548.0,748.0,388.0,1048.0,-0.3211,-0.1068,-0.195,-0.1983,1,0,0,1,0,0,0,0,1,437.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.302,547.0,744.0,388.0,1043.0,-0.3211,-0.1089,-0.195,-0.1983,1,0,0,1,0,0,0,0,1,388.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.322,544.0,740.0,384.0,1038.0,-0.3238,-0.1176,-0.195,-0.2088,1,0,0,1,0,0,0,0,1,339.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.342,540.0,742.0,385.0,1034.0,-0.332,-0.122,-0.2033,-0.2192,1,0,0,1,0,0,0,0,1,372.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.362,537.0,738.0,384.0,1027.0,-0.3429,-0.1264,-0.2061,-0.2276,1,0,0,1,0,0,0,0,1,291.0,TURN_180,正后红外亮，转 180 度,625,-625,1
0.382,534.0,742.0,384.0,1030.0,-0.351,-0.122,-0.2061,-0.2359,1,0,0,1,0,0,0,0,1,403.0,TURN_180,正后红外亮，转 180 度,625,-625,1
