t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,531.0,737.0,352.0,1031.0,-1.0898,-0.9357,-0.7855,-1.31,0,0,1,0,0,0,0,0,1,300.0,22.0,300.0,278.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.04,531.0,736.0,352.0,1030.0,-0.3673,-0.1351,-0.2953,-0.2359,1,0,1,0,0,0,0,0,1,577.0,22.0,577.0,555.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,531.0,736.0,352.0,1030.0,-0.3673,-0.1351,-0.2953,-0.2359,1,0,1,0,0,0,0,0,1,301.0,23.0,301.0,278.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,530.0,734.0,352.0,1027.0,-0.3673,-0.1351,-0.2953,-0.2359,1,1,1,0,0,0,0,0,1,254.0,24.0,254.0,230.0,ADC_CORRECT,掉台触发且前头红外亮，直接矫正,0,0,1
0.101,530.0,737.0,353.0,1031.0,-0.3701,-0.1351,-0.2953,-0.2359,1,0,1,0,0,0,0,0,1,234.0,22.0,234.0,212.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.121,532.0,739.0,353.0,1033.0,-0.3701,-0.1329,-0.2925,-0.2338,1,0,1,0,0,0,0,0,1,315.0,21.0,315.0,294.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.141,532.0,738.0,352.0,1032.0,-0.3646,-0.1307,-0.2925,-0.2317,1,0,1,0,0,0,0,0,1,283.0,30.0,283.0,253.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.161,531.0,738.0,352.0,1032.0,-0.3646,-0.1307,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,250.0,21.0,250.0,229.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.181,532.0,738.0,353.0,1033.0,-0.3646,-0.1307,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,216.0,21.0,216.0,195.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.201,532.0,738.0,352.0,1030.0,-0.3646,-0.1307,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,138.0,22.0,138.0,116.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.221,533.0,739.0,353.0,1034.0,-0.3646,-0.1307,-0.2925,-0.2296,1,0,1,0,0,0,0,0,1,251.0,21.0,251.0,230.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.241,532.0,737.0,352.0,1032.0,-0.3646,-0.1307,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,461.0,22.0,461.0,439.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.261,531.0,738.0,352.0,1031.0,-0.3646,-0.1307,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,282.0,22.0,282.0,260.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.282,532.0,738.0,352.0,1032.0,-0.3646,-0.1307,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,202.0,21.0,202.0,181.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.302,533.0,739.0,353.0,1033.0,-0.3646,-0.1307,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,397.0,21.0,397.0,376.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.322,532.0,740.0,352.0,1032.0,-0.3646,-0.1285,-0.2953,-0.2317,1,0,1,0,0,0,0,0,1,168.0,22.0,168.0,146.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.342,532.0,738.0,353.0,1033.0,-0.3646,-0.1285,-0.2925,-0.2296,1,0,1,0,0,0,0,0,1,233.0,20.0,233.0,213.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.362,531.0,737.0,353.0,1032.0,-0.3646,-0.1307,-0.2925,-0.2317,1,0,1,0,0,0,0,0,1,285.0,21.0,285.0,264.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.382,531.0,738.0,353.0,1032.0,-0.3673,-0.1307,-0.2925,-0.2317,1,0,1,0,0,0,0,0,1,476.0,23.0,476.0,453.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.402,532.0,738.0,353.0,1032.0,-0.3673,-0.1307,-0.2925,-0.2317,1,0,1,0,0,0,0,0,1,233.0,21.0,233.0,212.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.422,531.0,740.0,353.0,1032.0,-0.3673,-0.1307,-0.2925,-0.2317,1,0,1,0,0,0,0,0,1,737.0,21.0,737.0,716.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.442,531.0,738.0,351.0,1031.0,-0.3673,-0.1307,-0.2925,-0.2317,1,0,1,0,0,0,0,0,1,284.0,31.0,284.0,253.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
