t,left,right,valid,active,hang,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,1,1,0,IDLE,待机,0,0,0
0.02,20.0,1225.0,1,1,0,IDLE,待机,0,0,1
0.04,21.0,1242.0,1,1,0,IDLE,待机,0,0,1
0.061,20.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.081,21.0,1245.0,1,1,0,IDLE,待机,0,0,1
0.101,109.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.121,19.0,1240.0,1,1,0,IDLE,待机,0,0,1
0.141,20.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.161,21.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.181,21.0,1242.0,1,1,0,IDLE,待机,0,0,1
0.201,59.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.221,21.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.241,60.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.262,326.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.282,59.0,1265.0,1,1,0,IDLE,待机,0,0,1
0.302,37.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.322,20.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.342,109.0,1227.0,1,1,0,IDLE,待机,0,0,1
0.362,91.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.382,20.0,1227.0,1,1,0,IDLE,待机,0,0,1
0.402,47.0,1226.0,1,1,0,IDLE,待机,0,0,1
0.422,20.0,1225.0,1,1,0,IDLE,待机,0,0,1
0.442,20.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.462,75.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.482,21.0,1243.0,1,1,0,IDLE,待机,0,0,1
0.503,20.0,1242.0,1,1,0,IDLE,待机,0,0,1
0.523,20.0,1245.0,1,1,0,IDLE,待机,0,0,1
0.543,124.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.563,124.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.583,21.0,1243.0,1,1,0,IDLE,待机,0,0,1
0.603,30.0,1224.0,1,1,0,IDLE,待机,0,0,1
0.623,21.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.643,20.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.663,30.0,1256.0,1,1,0,IDLE,待机,0,0,1
0.683,20.0,1227.0,1,1,0,IDLE,待机,0,0,1
0.704,29.0,1228.0,1,1,0,IDLE,待机,0,0,1
0.724,24.0,1241.0,1,1,0,IDLE,待机,0,0,1
0.744,21.0,1264.0,1,1,0,IDLE,待机,0,0,1
0.764,108.0,1227.0,1,1,0,IDLE,待机,0,0,1
0.784,74.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.804,30.0,1227.0,1,1,0,IDLE,待机,0,0,1
0.824,19.0,1212.0,1,1,0,IDLE,待机,0,0,1
0.844,20.0,1211.0,1,1,0,IDLE,待机,0,0,1
0.864,76.0,1225.0,1,1,0,IDLE,待机,0,0,1
0.885,93.0,1227.0,1,1,0,IDLE,待机,0,0,1
0.905,21.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.925,21.0,1244.0,1,1,0,IDLE,待机,0,0,1
0.945,21.0,1226.0,1,1,0,IDLE,待机,0,0,1
0.965,20.0,1240.0,1,1,0,IDLE,待机,0,0,1
0.985,21.0,1244.0,1,1,0,IDLE,待机,0,0,1
1.005,21.0,1244.0,1,1,0,IDLE,待机,0,0,1
1.025,21.0,1245.0,1,1,0,IDLE,待机,0,0,1
1.045,46.0,1242.0,1,1,0,IDLE,待机,0,0,1
1.066,32.0,1228.0,1,1,0,IDLE,待机,0,0,1
1.086,20.0,1228.0,1,1,0,IDLE,待机,0,0,1
1.106,19.0,1243.0,1,1,0,IDLE,待机,0,0,1
1.126,473.0,1227.0,1,1,0,IDLE,待机,0,0,1
1.146,30.0,1243.0,1,1,0,IDLE,待机,0,0,1
1.166,20.0,1227.0,1,1,0,IDLE,待机,0,0,1
1.186,20.0,1229.0,1,1,0,IDLE,待机,0,0,1
1.206,20.0,1212.0,1,1,0,IDLE,待机,0,0,1
1.226,20.0,1228.0,1,1,0,IDLE,待机,0,0,1
1.247,24.0,1224.0,1,1,0,IDLE,待机,0,0,1
1.267,19.0,1243.0,1,1,0,IDLE,待机,0,0,1
1.287,20.0,1243.0,1,1,0,IDLE,待机,0,0,1
1.307,20.0,1243.0,1,1,0,IDLE,待机,0,0,1
