t,left,right,valid
0.002,1263.0,1334.0,1
0.022,1265.0,1337.0,1
0.042,1265.0,1337.0,1
0.062,1262.0,1332.0,1
0.082,1263.0,1335.0,1
0.102,1264.0,1337.0,1
0.122,1270.0,1333.0,1
0.142,1262.0,1335.0,1
0.162,1263.0,1337.0,1
0.182,1264.0,1337.0,1
0.203,1264.0,1334.0,1
0.223,1269.0,1335.0,1
0.243,1264.0,1337.0,1
0.263,1264.0,1337.0,1
0.283,1264.0,1336.0,1
0.303,1268.0,1349.0,1
0.323,1265.0,1337.0,1
0.343,1264.0,1337.0,1
0.363,1264.0,1335.0,1
0.383,1264.0,1320.0,1
0.403,1264.0,1337.0,1
0.423,1264.0,1320.0,1
0.444,1263.0,1351.0,1
0.464,1264.0,1337.0,1
0.484,1264.0,1337.0,1
0.504,1262.0,1352.0,1
0.524,1262.0,1333.0,1
0.544,1264.0,1337.0,1
0.564,1264.0,1337.0,1
0.584,1265.0,1332.0,1
0.604,1262.0,1334.0,1
0.624,1264.0,1336.0,1
0.644,1264.0,1352.0,1
0.664,1264.0,1335.0,1
0.684,1262.0,1336.0,1
0.705,1265.0,1337.0,1
0.725,1264.0,1333.0,1
0.745,1264.0,1335.0,1
0.765,1265.0,1337.0,1
0.785,1264.0,1338.0,1
0.805,1265.0,1336.0,1
0.825,1264.0,1349.0,1
0.845,1264.0,1337.0,1
0.865,1264.0,1337.0,1
0.885,1264.0,1352.0,1
0.906,1264.0,1336.0,1
0.926,1264.0,1337.0,1
0.946,1264.0,1336.0,1
0.966,1264.0,1334.0,1
0.986,1264.0,1337.0,1
1.006,1264.0,1337.0,1
1.026,1264.0,1335.0,1
1.046,1262.0,1335.0,1
1.066,1264.0,1337.0,1
1.087,1265.0,1337.0,1
1.107,1264.0,1336.0,1
1.127,1263.0,1336.0,1
1.147,1278.0,1337.0,1
1.167,1264.0,1336.0,1
1.187,1271.0,1320.0,1
1.207,1263.0,1336.0,1
1.227,1264.0,1337.0,1
1.247,1264.0,1336.0,1
1.267,1261.0,1334.0,1
1.288,1262.0,1337.0,1
1.308,1264.0,1337.0,1
1.328,1264.0,1332.0,1
1.348,1267.0,1335.0,1
1.368,1262.0,1337.0,1
1.388,1265.0,1334.0,1
1.408,1264.0,1335.0,1
1.428,1266.0,1337.0,1
1.448,1262.0,1337.0,1
1.469,1264.0,1335.0,1
1.489,1264.0,1335.0,1
1.509,1264.0,1337.0,1
1.529,1263.0,1337.0,1
1.549,1265.0,1336.0,1
1.569,1264.0,1332.0,1
1.589,1270.0,1337.0,1
1.609,1264.0,1337.0,1
1.629,1264.0,1332.0,1
1.65,1264.0,1336.0,1
1.67,1264.0,1337.0,1
1.69,1264.0,1351.0,1
1.71,1264.0,1335.0,1
1.73,1264.0,1337.0,1
1.75,1263.0,1337.0,1
1.77,1264.0,1335.0,1
1.79,1264.0,1336.0,1
1.81,1264.0,1337.0,1
1.83,1264.0,1336.0,1
1.851,1264.0,1336.0,1
1.871,1262.0,1336.0,1
1.891,1263.0,1337.0,1
1.911,1264.0,1336.0,1
1.931,1265.0,1352.0,1
1.951,1262.0,1337.0,1
1.971,1264.0,1338.0,1
1.991,1264.0,1336.0,1
2.011,1264.0,1333.0,1
2.031,1264.0,1336.0,1
2.052,1262.0,1337.0,1
2.072,1264.0,1332.0,1
2.092,1264.0,1336.0,1
2.112,1269.0,1337.0,1
2.132,1262.0,1334.0,1
2.152,1265.0,1335.0,1
2.172,1270.0,1336.0,1
2.192,1270.0,1337.0,1
2.212,1264.0,1336.0,1
2.232,1264.0,1352.0,1
2.253,1264.0,1336.0,1
2.273,1269.0,1338.0,1
2.293,1264.0,1336.0,1
2.313,1265.0,1332.0,1
2.333,1264.0,1337.0,1
2.353,1263.0,1337.0,1
2.373,1264.0,1332.0,1
2.393,1264.0,1336.0,1
2.413,1264.0,1337.0,1
2.433,1264.0,1352.0,1
2.454,1264.0,1334.0,1
2.474,1264.0,1337.0,1
2.494,1263.0,1337.0,1
2.514,1264.0,1334.0,1
2.534,1264.0,1335.0,1
2.554,1262.0,1337.0,1
2.574,1263.0,1337.0,1
2.594,1264.0,1336.0,1
2.614,1264.0,1335.0,1
2.634,1270.0,1337.0,1
2.654,1262.0,1335.0,1
2.675,1264.0,1352.0,1
2.695,1264.0,1336.0,1
2.715,1264.0,1337.0,1
2.735,1263.0,1352.0,1
2.755,1265.0,1334.0,1
2.775,1264.0,1337.0,1
2.795,1267.0,1337.0,1
2.815,1263.0,1333.0,1
2.835,1264.0,1335.0,1
2.856,1264.0,1337.0,1
2.876,1264.0,1345.0,1
2.896,1264.0,1334.0,1
2.916,1265.0,1336.0,1
2.936,1264.0,1337.0,1
2.956,1264.0,1335.0,1
2.976,1264.0,1336.0,1
2.996,1264.0,1337.0,1
3.016,1264.0,1337.0,1
3.036,1263.0,1336.0,1
3.056,1264.0,1351.0,1
3.077,1264.0,1337.0,1
3.097,1264.0,1337.0,1
3.117,1263.0,1332.0,1
3.137,1264.0,1336.0,1
3.157,1264.0,1337.0,1
3.177,1264.0,1332.0,1
3.197,1264.0,1335.0,1
3.217,1265.0,1337.0,1
3.238,1264.0,1338.0,1
3.258,1264.0,1336.0,1
3.278,1264.0,1335.0,1
3.298,1264.0,1338.0,1
3.318,1264.0,1337.0,1
3.338,1263.0,1335.0,1
3.358,1264.0,1336.0,1
3.378,1280.0,1337.0,1
3.399,1263.0,1336.0,1
3.419,1263.0,1333.0,1
3.439,1264.0,1337.0,1
3.459,1264.0,1337.0,1
3.479,1263.0,1316.0,1
3.499,1264.0,1335.0,1
3.519,1264.0,1337.0,1
3.539,1262.0,1337.0,1
3.559,1263.0,1335.0,1
3.58,1264.0,1320.0,1
3.6,1264.0,1337.0,1
3.62,1264.0,1336.0,1
3.64,1262.0,1335.0,1
3.66,1264.0,1337.0,1
3.68,1265.0,1321.0,1
3.7,1268.0,1336.0,1
3.72,1263.0,1333.0,1
3.74,1264.0,1336.0,1
3.761,1264.0,1337.0,1
3.781,1262.0,1334.0,1
3.801,1263.0,1334.0,1
3.821,1264.0,1337.0,1
3.841,1264.0,1334.0,1
3.861,1262.0,1335.0,1
3.881,1264.0,1336.0,1
3.901,1264.0,1337.0,1
3.921,1264.0,1332.0,1
3.942,1261.0,1350.0,1
3.962,1264.0,1321.0,1
3.982,1265.0,1337.0,1
4.002,1263.0,1351.0,1
4.022,1264.0,1336.0,1
4.042,1264.0,1336.0,1
4.062,1265.0,1351.0,1
4.082,1264.0,1335.0,1
4.102,1263.0,1320.0,1
4.123,1265.0,1320.0,1
4.143,1265.0,1334.0,1
4.163,1264.0,1335.0,1
4.183,1264.0,1337.0,1
4.203,1264.0,1337.0,1
4.223,1264.0,1336.0,1
4.243,1264.0,1351.0,1
4.263,1264.0,1337.0,1
4.284,1264.0,1337.0,1
4.304,1264.0,1335.0,1
4.324,1263.0,1337.0,1
4.344,1264.0,1337.0,1
4.364,1264.0,1335.0,1
4.385,1269.0,1336.0,1
4.405,1262.0,1337.0,1
4.425,1264.0,1337.0,1
4.445,1264.0,1336.0,1
4.465,1269.0,1333.0,1
4.485,1264.0,1337.0,1
4.505,1280.0,1338.0,1
4.525,1264.0,1332.0,1
4.545,1269.0,1336.0,1
4.565,1264.0,1337.0,1
4.586,1264.0,1333.0,1
4.606,1264.0,1334.0,1
4.626,1283.0,1337.0,1
4.646,1264.0,1337.0,1
4.666,1265.0,1335.0,1
4.686,1263.0,1335.0,1
4.706,1264.0,1337.0,1
4.726,1264.0,1337.0,1
4.746,1264.0,1336.0,1
4.766,1264.0,1336.0,1
4.787,1264.0,1337.0,1
4.807,1264.0,1336.0,1
4.827,1263.0,1350.0,1
4.847,1264.0,1336.0,1
4.867,1280.0,1337.0,1
4.887,1264.0,1352.0,1
4.907,1263.0,1334.0,1
4.927,1263.0,1337.0,1
4.947,1264.0,1337.0,1
4.968,1264.0,1334.0,1
4.988,1262.0,1336.0,1
5.008,1263.0,1336.0,1
5.028,1264.0,1335.0,1
5.048,1264.0,1336.0,1
5.068,1277.0,1336.0,1
5.088,1263.0,1337.0,1
5.108,1264.0,1335.0,1
5.128,1270.0,1352.0,1
5.148,1277.0,1337.0,1
5.169,1278.0,1337.0,1
5.189,1265.0,1352.0,1
5.209,1268.0,1334.0,1
5.229,1276.0,1337.0,1
5.249,1264.0,1337.0,1
5.269,1264.0,1332.0,1
5.289,1264.0,1336.0,1
5.309,1262.0,1337.0,1
5.329,1264.0,1333.0,1
5.349,1264.0,1335.0,1
5.37,1264.0,1336.0,1
5.39,1263.0,1337.0,1
5.41,1264.0,1335.0,1
5.43,1264.0,1335.0,1
5.45,1264.0,1337.0,1
5.47,1264.0,1338.0,1
5.49,1264.0,1336.0,1
5.51,1263.0,1336.0,1
5.53,1264.0,1337.0,1
5.551,1248.0,1336.0,1
5.571,1249.0,1333.0,1
5.591,1248.0,1336.0,1
5.611,1248.0,1337.0,1
5.631,1248.0,1351.0,1
5.651,1248.0,1334.0,1
5.671,1248.0,1337.0,1
5.691,1248.0,1321.0,1
5.711,1248.0,1318.0,1
5.731,1248.0,1319.0,1
5.752,1248.0,1320.0,1
5.772,1233.0,1319.0,1
5.792,1248.0,1318.0,1
5.812,1254.0,1320.0,1
5.832,1246.0,1321.0,1
5.852,1248.0,1320.0,1
5.872,1234.0,1352.0,1
5.892,1253.0,1337.0,1
5.912,1247.0,1337.0,1
5.932,1249.0,1352.0,1
5.953,1249.0,1334.0,1
5.973,1250.0,1337.0,1
5.993,1246.0,1336.0,1
6.013,1249.0,1318.0,1
6.033,1248.0,1320.0,1
6.053,1248.0,1320.0,1
6.073,1246.0,1319.0,1
6.093,1234.0,1319.0,1
6.113,1234.0,1320.0,1
6.134,1239.0,1321.0,1
6.154,1233.0,1319.0,1
6.174,1234.0,1335.0,1
6.194,1248.0,1321.0,1
6.214,1239.0,1321.0,1
6.234,1248.0,1336.0,1
6.254,1249.0,1319.0,1
6.274,1248.0,1320.0,1
6.294,1253.0,1336.0,1
6.315,1249.0,1317.0,1
6.335,1249.0,1320.0,1
6.355,1248.0,1321.0,1
6.375,1233.0,1318.0,1
6.395,1249.0,1319.0,1
6.415,1249.0,1321.0,1
6.435,1248.0,1321.0,1
6.455,1247.0,1319.0,1
6.475,1249.0,1319.0,1
6.496,1248.0,1337.0,1
6.516,1247.0,1336.0,1
6.536,1248.0,1351.0,1
6.556,1248.0,1337.0,1
6.576,1247.0,1337.0,1
6.596,1248.0,1336.0,1
6.616,1264.0,1334.0,1
6.636,1248.0,1336.0,1
6.656,1262.0,1337.0,1
6.676,1264.0,1332.0,1
6.697,1264.0,1335.0,1
6.717,1264.0,1337.0,1
6.737,1262.0,1334.0,1
6.757,1263.0,1335.0,1
6.777,1249.0,1336.0,1
6.797,1249.0,1337.0,1
6.817,1247.0,1336.0,1
6.837,1264.0,1335.0,1
6.857,1249.0,1337.0,1
6.877,1249.0,1337.0,1
6.898,1252.0,1336.0,1
6.918,1249.0,1346.0,1
6.938,1233.0,1321.0,1
6.958,1232.0,1321.0,1
6.978,1238.0,1319.0,1
6.998,1233.0,1320.0,1
7.018,1234.0,1320.0,1
7.038,1233.0,1317.0,1
7.058,1239.0,1318.0,1
7.079,1233.0,1320.0,1
7.099,1234.0,1321.0,1
7.119,1232.0,1318.0,1
7.139,1233.0,1319.0,1
7.159,1234.0,1321.0,1
7.179,1248.0,1321.0,1
7.2,1246.0,1316.0,1
7.22,1248.0,1320.0,1
7.24,1249.0,1320.0,1
7.26,1248.0,1316.0,1
7.28,1247.0,1318.0,1
7.301,1249.0,1321.0,1
7.321,1249.0,1321.0,1
7.341,1247.0,1320.0,1
7.361,1248.0,1317.0,1
7.381,1248.0,1320.0,1
7.401,1247.0,1336.0,1
7.421,1248.0,1317.0,1
7.441,1248.0,1320.0,1
7.462,1264.0,1321.0,1
7.482,1262.0,1319.0,1
7.502,1263.0,1335.0,1
7.522,1264.0,1321.0,1
7.542,1264.0,1338.0,1
7.562,1262.0,1320.0,1
7.582,1262.0,1350.0,1
7.602,1264.0,1320.0,1
7.622,1264.0,1321.0,1
7.643,1262.0,1322.0,1
7.663,1263.0,1320.0,1
7.683,1264.0,1321.0,1
7.703,1264.0,1317.0,1
7.723,1270.0,1317.0,1
7.743,1264.0,1305.0,1
7.763,1264.0,1305.0,1
7.783,1264.0,1302.0,1
7.803,1253.0,1303.0,1
7.823,1248.0,1305.0,1
7.844,1248.0,1305.0,1
7.864,1248.0,1303.0,1
7.884,1248.0,1304.0,1
7.904,1248.0,1305.0,1
7.924,1248.0,1303.0,1
7.944,1248.0,1304.0,1
7.964,1248.0,1305.0,1
7.984,1264.0,1305.0,1
8.004,1265.0,1319.0,1
8.024,1277.0,1320.0,1
8.044,1278.0,1337.0,1
8.064,1294.0,1337.0,1
8.085,1310.0,1336.0,1
8.105,1307.0,1347.0,1
8.125,1325.0,1351.0,1
8.145,1325.0,1367.0,1
8.165,1354.0,1384.0,1
8.185,1373.0,1397.0,1
8.205,1385.0,1442.0,1
8.225,1464.0,1485.0,1
8.245,1493.0,1499.0,1
8.265,1541.0,1546.0,1
8.285,1628.0,1624.0,1
8.306,1673.0,1665.0,1
8.326,1723.0,1710.0,1
8.346,1782.0,1817.0,1
8.366,1900.0,1860.0,1
8.386,1958.0,1915.0,1
8.406,2015.0,1973.0,1
8.426,2064.0,2035.0,1
8.446,2064.0,2016.0,1
8.466,2062.0,2016.0,1
8.486,2048.0,2017.0,1
8.506,2049.0,1989.0,1
8.526,2016.0,1987.0,1
8.546,2001.0,1989.0,1
8.567,2014.0,1975.0,1
8.587,2016.0,1990.0,1
8.607,2016.0,1988.0,1
8.627,2001.0,1989.0,1
8.647,1992.0,1960.0,1
8.667,1974.0,1946.0,1
8.687,1945.0,1945.0,1
8.707,1915.0,1902.0,1
8.727,1882.0,1831.0,1
8.747,1783.0,1804.0,1
8.767,1739.0,1753.0,1
8.788,1680.0,1727.0,1
8.808,1657.0,1654.0,1
