t,left,right,valid
0.006,1872.0,2005.0,1
0.026,1844.0,1989.0,1
0.046,1845.0,1995.0,1
0.067,1842.0,1976.0,1
0.087,1901.0,1990.0,1
0.107,1901.0,1985.0,1
0.127,1872.0,1989.0,1
0.148,1872.0,1990.0,1
0.168,1872.0,1991.0,1
0.188,1887.0,1987.0,1
0.209,1871.0,1990.0,1
0.229,1876.0,1976.0,1
0.249,1888.0,1997.0,1
0.27,1872.0,1989.0,1
0.29,1871.0,1990.0,1
0.31,1872.0,1975.0,1
0.331,1888.0,1986.0,1
0.351,1901.0,1975.0,1
0.371,1861.0,1990.0,1
0.391,1866.0,1988.0,1
0.411,1873.0,1988.0,1
0.432,1872.0,1976.0,1
0.452,1848.0,1974.0,1
0.472,1872.0,1974.0,1
0.492,1858.0,1988.0,1
0.512,1857.0,1990.0,1
0.532,1872.0,1974.0,1
0.552,1873.0,1972.0,1
0.572,1872.0,1976.0,1
0.592,1842.0,1975.0,1
0.613,1857.0,1989.0,1
0.633,1888.0,1986.0,1
0.653,1872.0,1991.0,1
0.673,1872.0,1976.0,1
0.693,1887.0,1973.0,1
0.713,1858.0,1974.0,1
0.733,1885.0,1990.0,1
0.753,1857.0,1988.0,1
0.773,1858.0,1988.0,1
0.793,1872.0,1990.0,1
0.814,1870.0,1991.0,1
0.834,1872.0,1988.0,1
0.854,1858.0,1988.0,1
0.874,1844.0,1990.0,1
0.894,1873.0,1990.0,1
0.914,1857.0,1989.0,1
0.934,1858.0,1988.0,1
0.954,1873.0,1976.0,1
0.974,1848.0,1989.0,1
0.994,1872.0,1985.0,1
1.015,1842.0,1975.0,1
1.035,1873.0,1990.0,1
1.055,1876.0,2003.0,1
1.075,1846.0,1987.0,1
1.095,1902.0,1990.0,1
1.115,1872.0,2004.0,1
1.135,1872.0,1986.0,1
1.155,1873.0,1987.0,1
1.175,1888.0,1990.0,1
1.196,1872.0,1987.0,1
1.216,1873.0,1988.0,1
1.236,1858.0,1989.0,1
1.256,1842.0,1976.0,1
1.276,1856.0,1973.0,1
1.296,1873.0,1989.0,1
1.316,1888.0,1989.0,1
1.336,1886.0,1990.0,1
1.356,1901.0,1974.0,1
1.376,1858.0,1985.0,1
1.397,1872.0,1990.0,1
1.417,1826.0,1990.0,1
1.437,1857.0,1990.0,1
1.457,1887.0,1989.0,1
1.477,1873.0,1990.0,1
1.497,1869.0,2003.0,1
1.517,1856.0,1972.0,1
1.537,1858.0,1990.0,1
1.557,1873.0,1992.0,1
1.577,1872.0,1985.0,1
1.598,1858.0,1987.0,1
1.618,1886.0,1990.0,1
1.638,1873.0,1976.0,1
1.658,1864.0,1973.0,1
1.678,1872.0,1988.0,1
1.698,1857.0,1976.0,1
1.718,1887.0,1988.0,1
1.738,1877.0,1989.0,1
1.758,1888.0,1989.0,1
1.778,1873.0,1976.0,1
1.799,1871.0,1988.0,1
1.819,1857.0,1988.0,1
1.839,1888.0,1979.0,1
1.859,1873.0,1990.0,1
1.879,1857.0,1990.0,1
1.899,1857.0,1985.0,1
1.919,1858.0,1975.0,1
1.939,1872.0,1990.0,1
1.959,1872.0,1987.0,1
1.979,1873.0,1975.0,1
2.0,1858.0,1989.0,1
2.02,1856.0,1988.0,1
2.04,1871.0,1987.0,1
