t,left,right,valid
0.001,1357.0,1472.0,1
0.021,1357.0,1472.0,1
0.041,1358.0,1474.0,1
0.061,1358.0,1475.0,1
0.081,1358.0,1489.0,1
0.102,1360.0,1472.0,1
0.122,1344.0,1474.0,1
0.142,1357.0,1474.0,1
0.162,1356.0,1483.0,1
0.183,1358.0,1474.0,1
0.203,1359.0,1475.0,1
0.223,1342.0,1472.0,1
0.243,1357.0,1473.0,1
0.264,1358.0,1475.0,1
0.284,1358.0,1484.0,1
0.304,1359.0,1471.0,1
0.325,1357.0,1473.0,1
0.345,1358.0,1474.0,1
0.365,1358.0,1474.0,1
0.385,1358.0,1472.0,1
0.406,1358.0,1475.0,1
0.426,1342.0,1474.0,1
0.446,1358.0,1473.0,1
0.466,1360.0,1474.0,1
0.487,1357.0,1475.0,1
0.507,1358.0,1490.0,1
0.527,1356.0,1472.0,1
0.547,1357.0,1474.0,1
0.568,1360.0,1474.0,1
0.588,1357.0,1488.0,1
0.608,1357.0,1472.0,1
0.628,1358.0,1474.0,1
0.649,1358.0,1473.0,1
0.669,1364.0,1474.0,1
0.689,1358.0,1475.0,1
0.709,1358.0,1474.0,1
0.729,1359.0,1481.0,1
0.749,1363.0,1471.0,1
0.769,1355.0,1474.0,1
0.79,1357.0,1474.0,1
0.81,1359.0,1471.0,1
0.83,1341.0,1472.0,1
0.85,1357.0,1474.0,1
0.87,1357.0,1474.0,1
0.89,1357.0,1472.0,1
0.91,1357.0,1473.0,1
0.93,1357.0,1474.0,1
0.95,1358.0,1472.0,1
0.97,1356.0,1472.0,1
0.991,1357.0,1474.0,1
1.011,1358.0,1474.0,1
1.031,1358.0,1472.0,1
1.051,1357.0,1486.0,1
1.071,1356.0,1474.0,1
1.091,1357.0,1474.0,1
1.111,1358.0,1472.0,1
1.131,1356.0,1472.0,1
1.151,1357.0,1473.0,1
1.171,1357.0,1474.0,1
1.192,1364.0,1469.0,1
1.212,1341.0,1475.0,1
1.232,1342.0,1475.0,1
1.252,1358.0,1469.0,1
1.272,1363.0,1472.0,1
1.292,1356.0,1473.0,1
1.312,1357.0,1474.0,1
1.332,1358.0,1471.0,1
1.352,1360.0,1473.0,1
1.372,1356.0,1474.0,1
1.393,1342.0,1472.0,1
1.413,1344.0,1473.0,1
1.433,1358.0,1473.0,1
1.453,1356.0,1474.0,1
1.473,1358.0,1472.0,1
1.493,1358.0,1476.0,1
1.513,1357.0,1475.0,1
1.533,1357.0,1475.0,1
1.553,1358.0,1484.0,1
1.573,1358.0,1470.0,1
1.594,1357.0,1474.0,1
1.614,1357.0,1474.0,1
1.634,1359.0,1474.0,1
1.654,1357.0,1473.0,1
1.674,1357.0,1474.0,1
1.694,1342.0,1472.0,1
