t,sequence,vision_timestamp_ms,received_age_ms,valid,reason,frame_width,frame_height,action,target_type,confidence,center_x,center_y,offset_x,offset_y,distance_cm,dt,error_x_normalized,filtered_error,turn_command,state,left_cmd,right_cmd,motor_enabled
0.00967,,,,0,no_data_or_stale,,,search,,,,,,,,,,,0,VISION_STOP,0,0,1
1.99075,1,1786849518135,1.42,1,ok,640,480,push,good,0.800082,263,360,-0.178125,0.5,,1.981079,-0.178125,-0.178125,-400,ALIGN_LEFT,-400,400,1
2.191927,2,1786849518330,7.488,1,ok,640,480,push,good,0.780057,262,358,-0.18125,0.491667,,0.201177,-0.18125,-0.179531,-400,ALIGN_LEFT,-400,400,1
2.393303,3,1786849518529,10.205,1,ok,640,480,push,good,0.901193,258,346,-0.19375,0.441667,,0.201376,-0.19375,-0.18593,-400,ALIGN_LEFT,-400,400,1
2.614814,4,1786849518754,6.303,1,ok,640,480,push,good,0.944681,306,346,-0.04375,0.441667,,0.221511,-0.04375,-0.121949,-400,ALIGN_LEFT,-400,400,1
2.796562,5,1786849518936,6.019,1,ok,640,480,push,good,0.88827,387,343,0.209375,0.429167,,0.181748,0.209375,0.027147,0,ALIGNED,0,0,1
2.997989,6,1786849519142,1.569,1,ok,640,480,search,,,,,,,,0.201428,,,0,SEARCH,0,0,1
3.179513,7,1786849519323,2.569,1,ok,640,480,push,good,0.969924,557,377,0.740625,0.570833,,0.181524,0.740625,0.740625,444,ALIGN_RIGHT,444,-444,1
3.360985,8,1786849519498,8.409,1,ok,640,480,push,good,0.969866,559,378,0.746875,0.575,,0.181472,0.746875,0.743437,446,ALIGN_RIGHT,446,-446,1
3.627881,9,1786849519761,12.597,1,ok,640,480,push,good,0.970756,559,378,0.746875,0.575,,0.266896,0.746875,0.744984,447,ALIGN_RIGHT,447,-447,1
3.849745,10,1786849519985,10.892,1,ok,640,480,push,good,0.724314,529,379,0.653125,0.579167,,0.221864,0.653125,0.703648,422,ALIGN_RIGHT,422,-422,1
4.051027,11,1786849520182,15.19,1,ok,640,480,push,good,0.930881,329,343,0.028125,0.429167,,0.201282,0.028125,0.399662,400,ALIGN_RIGHT,400,-400,1
4.234959,12,1786849520375,5.588,1,ok,640,480,search,,,,,,,,0.183932,,,0,SEARCH,0,0,1
4.417102,13,1786849520547,16.266,1,ok,640,480,search,,,,,,,,0.182143,,,0,SEARCH,0,0,1
4.578062,14,1786849520717,6.726,1,ok,640,480,search,,,,,,,,0.16096,,,0,SEARCH,0,0,1
4.759136,15,1786849520905,0.048,1,ok,640,480,search,,,,,,,,0.181073,,,0,SEARCH,0,0,1
4.965335,16,1786849521104,7.061,1,ok,640,480,search,,,,,,,,0.206199,,,0,SEARCH,0,0,1
5.148723,17,1786849521293,1.813,1,ok,640,480,search,,,,,,,,0.183389,,,0,SEARCH,0,0,1
5.329947,18,1786849521470,6.294,1,ok,640,480,search,,,,,,,,0.181224,,,0,SEARCH,0,0,1
5.511126,19,1786849521640,16.779,1,ok,640,480,search,,,,,,,,0.181179,,,0,SEARCH,0,0,1
5.672227,20,1786849521816,2.439,1,ok,640,480,search,,,,,,,,0.161101,,,0,SEARCH,0,0,1
5.833849,21,1786849521971,8.86,1,ok,640,480,search,,,,,,,,0.161621,,,0,SEARCH,0,0,1
5.995367,22,1786849522130,11.602,1,ok,640,480,search,,,,,,,,0.161518,,,0,SEARCH,0,0,1
6.156321,23,1786849522286,16.466,1,ok,640,480,search,,,,,,,,0.160954,,,0,SEARCH,0,0,1
6.297483,24,1786849522440,3.011,1,ok,640,480,search,,,,,,,,0.141162,,,0,SEARCH,0,0,1
6.559211,25,1786849522686,18.662,1,ok,640,480,search,,,,,,,,0.261728,,,0,SEARCH,0,0,1
6.961844,26,1786849523097,10.737,1,ok,640,480,search,,,,,,,,0.402633,,,0,SEARCH,0,0,1
7.125018,27,1786849523269,1.592,1,ok,640,480,search,,,,,,,,0.163174,,,0,SEARCH,0,0,1
7.286411,28,1786849523422,10.505,1,ok,640,480,search,,,,,,,,0.161393,,,0,SEARCH,0,0,1
7.42774,29,1786849523572,1.207,1,ok,640,480,search,,,,,,,,0.141329,,,0,SEARCH,0,0,1
7.588799,30,1786849523720,14.61,1,ok,640,480,search,,,,,,,,0.161059,,,0,SEARCH,0,0,1
7.729729,31,1786849523861,14.205,1,ok,640,480,search,,,,,,,,0.140931,,,0,SEARCH,0,0,1
7.870876,32,1786849524006,10.657,1,ok,640,480,search,,,,,,,,0.141147,,,0,SEARCH,0,0,1
8.032246,33,1786849524171,7.434,1,ok,640,480,search,,,,,,,,0.161369,,,0,SEARCH,0,0,1
