t,sequence,vision_timestamp_ms,received_age_ms,valid,reason,frame_width,frame_height,action,target_type,confidence,center_x,center_y,offset_x,offset_y,distance_cm,dt,error_x_normalized,turn_command,state,left_cmd,right_cmd,motor_enabled
0.013136,,,,0,no_data_or_stale,,,search,,,,,,,,,,0,VISION_STOP,0,0,1
1.52003,1,1786850610637,1.91,1,ok,640,480,scan_with_ir,bad,0.439687,203,289,-0.365625,0.204167,,1.506895,,0,SEARCH,0,0,1
1.701715,2,1786850610815,5.158,1,ok,640,480,scan_with_ir,bad,0.316069,205,289,-0.359375,0.204167,,0.181685,,0,SEARCH,0,0,1
1.884676,3,1786850610985,18.595,1,ok,640,480,scan_with_ir,bad,0.33674,204,289,-0.3625,0.204167,,0.182961,,0,SEARCH,0,0,1
2.04587,4,1786850611153,11.582,1,ok,640,480,scan_with_ir,bad,0.359211,204,289,-0.3625,0.204167,,0.161194,,0,SEARCH,0,0,1
2.226887,5,1786850611340,5.757,1,ok,640,480,push,good,0.852685,102,296,-0.68125,0.233333,,0.181017,-0.68125,-400,BIG_TURN_LEFT,-400,400,1
2.38875,6,1786850611503,3.497,1,ok,640,480,push,good,0.831282,102,296,-0.68125,0.233333,,0.161863,-0.68125,-400,BIG_TURN_LEFT,-400,400,1
2.570436,7,1786850611675,13.865,1,ok,640,480,push,good,0.87996,102,296,-0.68125,0.233333,,0.181686,-0.68125,-400,BIG_TURN_LEFT,-400,400,1
2.75256,8,1786850611853,18.345,1,ok,640,480,push,good,0.85915,128,296,-0.6,0.233333,,0.182123,-0.6,-400,BIG_TURN_LEFT,-400,400,1
2.933769,9,1786850612036,16.392,1,ok,640,480,push,good,0.848556,199,296,-0.378125,0.233333,,0.181209,-0.378125,-400,BIG_TURN_LEFT,-400,400,1
3.094966,10,1786850612206,7.979,1,ok,640,480,push,good,0.821531,272,298,-0.15,0.241667,,0.161197,-0.15,-100,ARC_LEFT,400,500,1
3.255795,11,1786850612368,6.193,1,ok,640,480,push,good,0.843256,324,298,0.0125,0.241667,,0.160829,0.0125,0,APPROACH,400,400,1
3.416723,12,1786850612533,2.561,1,ok,640,480,push,good,0.861878,368,302,0.15,0.258333,,0.160928,0.15,100,ARC_RIGHT,500,400,1
3.598554,13,1786850612708,9.208,1,ok,640,480,push,good,0.905577,398,302,0.24375,0.258333,,0.181832,0.24375,100,ARC_RIGHT,500,400,1
3.780591,14,1786850612885,14.887,1,ok,640,480,push,good,0.902341,400,303,0.25,0.2625,,0.182037,0.25,100,ARC_RIGHT,500,400,1
3.961872,15,1786850613067,13.923,1,ok,640,480,push,good,0.895813,394,306,0.23125,0.275,,0.181281,0.23125,100,ARC_RIGHT,500,400,1
4.122767,16,1786850613237,4.542,1,ok,640,480,push,good,0.869026,392,310,0.225,0.291667,,0.160894,0.225,100,ARC_RIGHT,500,400,1
4.585673,,,,0,no_data_or_stale,,,search,,,,,,,,0.462906,,0,VISION_STOP,0,0,1
4.746714,17,1786850613856,9.653,1,ok,640,480,push,good,0.920092,388,313,0.2125,0.304167,,0.161041,0.2125,100,ARC_RIGHT,500,400,1
4.907786,18,1786850614015,11.24,1,ok,640,480,push,good,0.931098,380,317,0.1875,0.320833,,0.161073,0.1875,100,ARC_RIGHT,500,400,1
5.350438,,,,0,no_data_or_stale,,,search,,,,,,,,0.442652,,0,VISION_STOP,0,0,1
