t,front,rear,left,right
0.001,762.0,813.0,529.0,1344.0
0.021,764.0,814.0,531.0,1345.0
0.042,764.0,816.0,531.0,1347.0
0.063,762.0,813.0,528.0,1342.0
0.083,762.0,814.0,528.0,1342.0
0.104,761.0,813.0,528.0,1341.0
0.124,763.0,814.0,530.0,1344.0
0.145,763.0,814.0,531.0,1345.0
0.165,764.0,815.0,530.0,1346.0
0.186,765.0,816.0,531.0,1347.0
0.206,765.0,815.0,530.0,1345.0
0.227,765.0,816.0,531.0,1346.0
0.247,765.0,816.0,532.0,1347.0
0.268,764.0,816.0,531.0,1345.0
0.288,764.0,815.0,530.0,1345.0
0.309,762.0,815.0,530.0,1345.0
0.329,764.0,816.0,531.0,1346.0
0.35,765.0,815.0,530.0,1346.0
0.37,765.0,816.0,531.0,1347.0
0.39,765.0,815.0,531.0,1346.0
0.411,765.0,815.0,531.0,1346.0
0.431,764.0,816.0,531.0,1345.0
0.452,765.0,817.0,531.0,1345.0
0.472,765.0,816.0,530.0,1346.0
0.492,765.0,816.0,531.0,1347.0
0.513,765.0,815.0,532.0,1346.0
0.533,764.0,814.0,531.0,1344.0
0.554,766.0,816.0,531.0,1346.0
0.574,766.0,816.0,531.0,1346.0
0.595,765.0,816.0,531.0,1347.0
0.616,765.0,816.0,532.0,1346.0
0.636,765.0,815.0,531.0,1346.0
0.657,765.0,816.0,531.0,1346.0
0.677,765.0,816.0,531.0,1347.0
0.698,764.0,815.0,530.0,1345.0
0.719,765.0,816.0,531.0,1347.0
0.739,765.0,816.0,530.0,1345.0
0.76,764.0,815.0,530.0,1345.0
0.781,765.0,816.0,531.0,1346.0
0.801,765.0,816.0,531.0,1346.0
0.822,764.0,815.0,530.0,1346.0
0.843,765.0,816.0,531.0,1346.0
0.863,765.0,816.0,531.0,1346.0
0.884,764.0,816.0,531.0,1346.0
0.905,765.0,816.0,530.0,1345.0
0.925,765.0,816.0,531.0,1346.0
0.946,766.0,817.0,531.0,1348.0
0.966,765.0,816.0,531.0,1346.0
0.987,765.0,816.0,531.0,1346.0
1.008,764.0,816.0,531.0,1345.0
1.029,765.0,816.0,531.0,1346.0
1.05,765.0,817.0,531.0,1346.0
1.071,764.0,814.0,530.0,1344.0
1.091,762.0,813.0,529.0,1341.0
1.112,763.0,813.0,529.0,1344.0
1.133,762.0,813.0,528.0,1342.0
1.154,763.0,814.0,529.0,1344.0
1.174,763.0,815.0,529.0,1344.0
1.195,764.0,816.0,531.0,1346.0
1.215,764.0,816.0,531.0,1346.0
1.236,763.0,814.0,530.0,1344.0
1.256,765.0,816.0,531.0,1347.0
1.276,765.0,816.0,531.0,1347.0
1.297,766.0,814.0,531.0,1346.0
1.317,764.0,815.0,530.0,1344.0
1.338,763.0,815.0,531.0,1345.0
1.358,765.0,816.0,532.0,1347.0
1.379,762.0,812.0,529.0,1342.0
1.399,765.0,817.0,531.0,1345.0
1.419,765.0,814.0,531.0,1346.0
1.44,766.0,816.0,532.0,1347.0
1.46,765.0,816.0,531.0,1346.0
1.481,765.0,816.0,531.0,1345.0
1.501,765.0,816.0,530.0,1347.0
1.521,766.0,817.0,531.0,1348.0
1.542,765.0,816.0,531.0,1346.0
1.562,766.0,817.0,530.0,1348.0
1.583,764.0,814.0,530.0,1345.0
1.603,764.0,815.0,531.0,1346.0
1.623,765.0,816.0,531.0,1346.0
1.644,764.0,816.0,531.0,1346.0
1.664,764.0,814.0,532.0,1344.0
1.684,765.0,816.0,531.0,1346.0
1.705,765.0,816.0,531.0,1347.0
1.725,764.0,815.0,531.0,1346.0
1.746,765.0,816.0,531.0,1346.0
1.766,765.0,816.0,531.0,1346.0
1.786,766.0,817.0,531.0,1347.0
1.807,765.0,816.0,530.0,1346.0
1.827,764.0,816.0,531.0,1345.0
1.848,764.0,816.0,531.0,1345.0
1.868,765.0,815.0,532.0,1345.0
1.888,765.0,816.0,531.0,1345.0
1.909,764.0,816.0,531.0,1345.0
1.93,766.0,818.0,532.0,1348.0
1.951,766.0,817.0,531.0,1347.0
1.971,766.0,817.0,532.0,1347.0
1.992,767.0,816.0,532.0,1347.0
2.013,765.0,817.0,531.0,1346.0
2.033,765.0,816.0,531.0,1347.0
2.055,765.0,815.0,530.0,1347.0
2.075,764.0,814.0,530.0,1345.0
2.096,763.0,813.0,528.0,1344.0
2.117,763.0,814.0,530.0,1345.0
2.138,764.0,815.0,530.0,1344.0
2.159,763.0,815.0,529.0,1344.0
2.18,764.0,814.0,530.0,1344.0
