t,front,rear,left,right
0.001,693.0,958.0,486.0,1280.0
0.022,693.0,959.0,487.0,1281.0
0.042,694.0,960.0,488.0,1283.0
0.063,692.0,957.0,486.0,1280.0
0.084,694.0,958.0,486.0,1280.0
0.104,693.0,958.0,487.0,1280.0
0.125,693.0,961.0,488.0,1282.0
0.145,696.0,958.0,488.0,1284.0
0.166,695.0,961.0,488.0,1284.0
0.186,696.0,961.0,488.0,1284.0
0.206,695.0,961.0,489.0,1284.0
0.227,695.0,961.0,489.0,1284.0
0.247,695.0,961.0,489.0,1283.0
0.268,696.0,961.0,489.0,1285.0
0.288,696.0,962.0,489.0,1285.0
0.309,695.0,960.0,488.0,1283.0
0.329,694.0,960.0,488.0,1284.0
0.35,696.0,961.0,489.0,1285.0
0.37,694.0,960.0,488.0,1283.0
0.39,695.0,959.0,488.0,1283.0
0.411,696.0,961.0,488.0,1285.0
0.431,696.0,962.0,488.0,1285.0
0.452,694.0,960.0,488.0,1283.0
0.472,695.0,961.0,488.0,1284.0
0.492,696.0,961.0,488.0,1285.0
0.513,695.0,961.0,489.0,1283.0
0.533,695.0,960.0,488.0,1282.0
0.554,695.0,961.0,488.0,1284.0
0.574,697.0,962.0,489.0,1284.0
0.595,696.0,961.0,489.0,1285.0
0.615,696.0,961.0,489.0,1284.0
0.636,694.0,960.0,488.0,1283.0
0.657,695.0,960.0,488.0,1283.0
0.678,695.0,962.0,488.0,1283.0
0.699,694.0,960.0,489.0,1283.0
0.719,694.0,958.0,486.0,1280.0
0.74,693.0,958.0,488.0,1280.0
0.76,694.0,958.0,487.0,1280.0
0.781,693.0,960.0,487.0,1280.0
0.801,693.0,959.0,486.0,1281.0
0.822,694.0,960.0,486.0,1282.0
0.842,693.0,957.0,488.0,1281.0
0.863,693.0,958.0,487.0,1280.0
0.883,694.0,958.0,487.0,1281.0
0.904,693.0,958.0,488.0,1281.0
0.924,693.0,958.0,486.0,1281.0
0.945,693.0,957.0,486.0,1281.0
0.966,693.0,957.0,487.0,1280.0
0.986,694.0,960.0,488.0,1282.0
1.007,693.0,958.0,487.0,1281.0
1.028,693.0,958.0,486.0,1278.0
1.048,693.0,958.0,487.0,1280.0
1.069,691.0,956.0,486.0,1278.0
1.09,692.0,955.0,485.0,1278.0
1.11,690.0,954.0,484.0,1276.0
1.131,693.0,958.0,487.0,1281.0
1.152,693.0,958.0,488.0,1281.0
1.172,693.0,959.0,487.0,1281.0
1.193,693.0,958.0,487.0,1281.0
1.213,694.0,957.0,488.0,1282.0
1.234,695.0,961.0,488.0,1283.0
1.254,694.0,961.0,489.0,1284.0
1.275,694.0,960.0,488.0,1283.0
1.295,695.0,961.0,489.0,1284.0
1.315,694.0,961.0,489.0,1284.0
1.336,694.0,960.0,488.0,1282.0
1.356,696.0,961.0,488.0,1284.0
1.377,696.0,962.0,489.0,1283.0
1.397,696.0,963.0,489.0,1284.0
1.417,695.0,961.0,488.0,1283.0
1.438,695.0,961.0,488.0,1284.0
1.458,694.0,961.0,489.0,1284.0
1.479,696.0,961.0,489.0,1284.0
1.499,695.0,960.0,489.0,1284.0
1.519,696.0,961.0,489.0,1284.0
1.54,697.0,961.0,489.0,1285.0
1.56,696.0,961.0,489.0,1285.0
1.581,696.0,961.0,488.0,1285.0
1.601,696.0,962.0,489.0,1286.0
1.621,695.0,959.0,489.0,1284.0
1.642,695.0,960.0,489.0,1283.0
1.662,695.0,960.0,489.0,1284.0
1.683,695.0,961.0,489.0,1285.0
1.703,696.0,962.0,489.0,1285.0
1.724,695.0,961.0,488.0,1286.0
1.744,695.0,960.0,489.0,1283.0
1.764,694.0,961.0,488.0,1284.0
1.785,696.0,961.0,488.0,1283.0
1.805,696.0,962.0,489.0,1285.0
1.826,695.0,961.0,488.0,1282.0
1.846,695.0,961.0,488.0,1283.0
1.867,697.0,962.0,489.0,1283.0
1.887,695.0,961.0,488.0,1284.0
1.908,695.0,961.0,488.0,1283.0
1.928,695.0,960.0,489.0,1284.0
1.948,696.0,961.0,489.0,1285.0
1.969,695.0,960.0,488.0,1283.0
1.989,695.0,960.0,488.0,1284.0
2.01,695.0,961.0,489.0,1285.0
2.03,696.0,962.0,488.0,1285.0
2.051,694.0,959.0,488.0,1283.0
2.071,695.0,960.0,488.0,1284.0
2.092,693.0,958.0,487.0,1281.0
2.113,691.0,955.0,484.0,1277.0
2.134,694.0,960.0,488.0,1282.0
2.155,694.0,961.0,489.0,1284.0
2.176,695.0,961.0,488.0,1284.0
2.197,696.0,961.0,489.0,1285.0
2.217,696.0,961.0,489.0,1284.0
2.238,696.0,963.0,489.0,1285.0
2.259,696.0,961.0,489.0,1284.0
2.28,695.0,961.0,489.0,1284.0
2.3,695.0,961.0,490.0,1283.0
2.321,693.0,960.0,489.0,1282.0
2.342,696.0,962.0,489.0,1285.0
2.363,696.0,962.0,489.0,1284.0
2.383,695.0,961.0,489.0,1284.0
2.404,696.0,961.0,489.0,1285.0
2.425,696.0,961.0,489.0,1285.0
2.445,695.0,962.0,489.0,1285.0
2.466,696.0,961.0,489.0,1285.0
2.487,697.0,961.0,488.0,1284.0
2.508,695.0,960.0,488.0,1283.0
2.528,695.0,960.0,488.0,1283.0
2.549,694.0,960.0,487.0,1281.0
2.57,695.0,960.0,488.0,1282.0
2.59,696.0,962.0,488.0,1284.0
2.611,696.0,961.0,488.0,1284.0
2.632,695.0,962.0,489.0,1284.0
2.653,696.0,962.0,489.0,1285.0
2.673,695.0,961.0,489.0,1285.0
2.694,696.0,961.0,489.0,1286.0
2.715,695.0,962.0,489.0,1284.0
2.735,695.0,961.0,489.0,1284.0
2.756,696.0,961.0,488.0,1285.0
2.777,695.0,962.0,489.0,1285.0
2.798,694.0,960.0,488.0,1281.0
2.818,696.0,962.0,489.0,1285.0
2.839,696.0,962.0,490.0,1285.0
2.86,696.0,962.0,489.0,1285.0
2.881,694.0,960.0,489.0,1282.0
2.901,696.0,962.0,490.0,1285.0
