t,front,rear,left,right
0.0,646.0,871.0,965.0,881.0
0.021,646.0,870.0,965.0,882.0
0.041,646.0,871.0,965.0,882.0
0.061,644.0,866.0,961.0,877.0
0.081,643.0,867.0,962.0,878.0
0.101,650.0,873.0,971.0,886.0
0.121,646.0,871.0,966.0,882.0
0.141,646.0,871.0,966.0,881.0
0.161,645.0,869.0,964.0,881.0
0.181,646.0,870.0,966.0,883.0
0.201,647.0,871.0,966.0,883.0
0.221,645.0,871.0,964.0,881.0
0.241,646.0,871.0,966.0,882.0
0.262,646.0,870.0,966.0,882.0
0.282,644.0,869.0,963.0,880.0
0.302,647.0,872.0,966.0,882.0
0.322,646.0,870.0,965.0,882.0
0.342,645.0,870.0,964.0,880.0
0.362,647.0,872.0,967.0,883.0
0.382,646.0,870.0,965.0,881.0
0.402,644.0,869.0,963.0,879.0
0.422,646.0,871.0,965.0,882.0
0.442,646.0,871.0,965.0,882.0
0.462,644.0,868.0,963.0,880.0
0.482,647.0,871.0,966.0,881.0
0.502,645.0,870.0,964.0,880.0
0.523,644.0,869.0,964.0,880.0
0.543,647.0,872.0,967.0,883.0
0.563,647.0,871.0,967.0,883.0
0.583,645.0,869.0,963.0,880.0
0.603,646.0,871.0,966.0,881.0
0.623,646.0,872.0,966.0,881.0
0.643,646.0,871.0,965.0,881.0
0.663,646.0,871.0,965.0,882.0
0.683,645.0,869.0,964.0,881.0
0.703,646.0,871.0,965.0,881.0
0.723,645.0,870.0,965.0,881.0
0.743,646.0,871.0,965.0,881.0
0.764,646.0,871.0,965.0,882.0
0.784,645.0,870.0,964.0,881.0
0.804,645.0,869.0,963.0,880.0
0.824,645.0,871.0,965.0,881.0
0.844,647.0,872.0,966.0,882.0
0.864,647.0,872.0,966.0,882.0
0.884,646.0,872.0,966.0,882.0
0.904,646.0,870.0,966.0,881.0
0.924,646.0,871.0,965.0,882.0
0.944,647.0,871.0,965.0,882.0
0.964,645.0,870.0,965.0,881.0
0.985,646.0,871.0,965.0,882.0
1.005,645.0,870.0,964.0,881.0
1.025,646.0,871.0,965.0,882.0
1.045,646.0,872.0,965.0,881.0
1.065,645.0,870.0,964.0,880.0
1.085,645.0,871.0,964.0,880.0
1.105,646.0,871.0,965.0,881.0
1.125,646.0,871.0,965.0,882.0
1.145,647.0,871.0,966.0,882.0
1.165,644.0,869.0,963.0,880.0
1.186,645.0,870.0,964.0,880.0
1.206,646.0,871.0,965.0,882.0
1.226,647.0,872.0,966.0,883.0
1.246,645.0,871.0,965.0,882.0
1.266,646.0,872.0,965.0,882.0
1.286,644.0,869.0,963.0,879.0
1.306,645.0,871.0,965.0,881.0
1.326,646.0,871.0,966.0,882.0
1.346,646.0,870.0,965.0,880.0
1.366,646.0,871.0,966.0,883.0
1.386,646.0,871.0,965.0,882.0
1.407,645.0,869.0,964.0,881.0
1.427,646.0,872.0,966.0,882.0
1.447,645.0,871.0,965.0,882.0
1.467,646.0,871.0,965.0,881.0
1.487,645.0,869.0,964.0,880.0
1.507,646.0,871.0,966.0,882.0
1.527,646.0,872.0,966.0,882.0
1.547,645.0,871.0,966.0,882.0
1.567,646.0,872.0,966.0,883.0
1.587,646.0,871.0,965.0,882.0
1.608,646.0,871.0,965.0,882.0
1.628,645.0,870.0,964.0,881.0
1.648,646.0,871.0,966.0,882.0
1.668,645.0,870.0,965.0,881.0
1.688,647.0,872.0,966.0,883.0
1.708,646.0,871.0,966.0,882.0
1.728,646.0,872.0,966.0,882.0
1.748,647.0,871.0,966.0,882.0
1.768,645.0,869.0,964.0,879.0
1.788,646.0,870.0,965.0,882.0
1.809,646.0,871.0,966.0,882.0
1.829,646.0,870.0,965.0,881.0
1.849,645.0,871.0,965.0,882.0
1.869,644.0,869.0,962.0,878.0
1.889,645.0,870.0,964.0,880.0
1.909,644.0,869.0,963.0,880.0
1.929,645.0,869.0,963.0,880.0
1.949,644.0,869.0,963.0,881.0
1.969,644.0,868.0,963.0,880.0
1.989,644.0,868.0,963.0,879.0
2.01,644.0,869.0,963.0,880.0
2.03,645.0,869.0,964.0,880.0
2.05,644.0,868.0,962.0,879.0
2.07,644.0,869.0,964.0,880.0
2.09,644.0,869.0,964.0,881.0
2.11,643.0,867.0,961.0,877.0
2.13,645.0,870.0,964.0,880.0
2.15,645.0,869.0,964.0,879.0
2.17,644.0,869.0,962.0,879.0
2.19,645.0,870.0,965.0,881.0
2.211,645.0,869.0,964.0,881.0
2.231,643.0,868.0,963.0,880.0
2.251,644.0,869.0,964.0,880.0
2.271,644.0,869.0,964.0,880.0
2.291,646.0,871.0,965.0,882.0
2.311,644.0,868.0,964.0,880.0
2.331,645.0,870.0,965.0,881.0
2.351,645.0,871.0,965.0,882.0
2.371,647.0,872.0,967.0,883.0
2.391,647.0,872.0,967.0,884.0
2.411,645.0,871.0,965.0,881.0
2.432,647.0,872.0,967.0,883.0
2.452,646.0,871.0,966.0,882.0
2.472,645.0,871.0,965.0,882.0
2.492,647.0,871.0,966.0,882.0
2.512,646.0,871.0,966.0,883.0
2.532,648.0,873.0,968.0,881.0
2.552,647.0,873.0,967.0,884.0
2.572,645.0,871.0,965.0,882.0
2.592,648.0,874.0,968.0,884.0
2.612,646.0,870.0,965.0,881.0
2.632,645.0,870.0,965.0,881.0
