t,front,rear,left,right
0.0,684.0,901.0,1036.0,822.0
0.02,685.0,899.0,1036.0,821.0
0.041,686.0,901.0,1033.0,820.0
0.061,686.0,901.0,1037.0,824.0
0.081,685.0,900.0,1037.0,822.0
0.101,687.0,901.0,1037.0,822.0
0.121,690.0,902.0,1036.0,822.0
0.141,690.0,901.0,1038.0,823.0
0.161,689.0,900.0,1037.0,822.0
0.181,689.0,902.0,1038.0,823.0
0.201,690.0,902.0,1038.0,823.0
0.221,686.0,900.0,1036.0,822.0
0.241,685.0,899.0,1036.0,822.0
0.261,685.0,900.0,1037.0,823.0
0.281,689.0,901.0,1037.0,822.0
0.302,690.0,903.0,1039.0,821.0
0.322,686.0,900.0,1037.0,823.0
0.342,684.0,900.0,1036.0,822.0
0.362,686.0,901.0,1036.0,822.0
0.382,687.0,902.0,1037.0,824.0
0.402,688.0,902.0,1038.0,823.0
0.422,689.0,902.0,1038.0,821.0
0.442,692.0,902.0,1040.0,824.0
0.462,694.0,901.0,1038.0,823.0
0.482,694.0,901.0,1036.0,822.0
0.502,693.0,902.0,1040.0,824.0
0.522,689.0,902.0,1038.0,824.0
0.542,686.0,902.0,1037.0,823.0
0.563,687.0,903.0,1040.0,825.0
0.583,686.0,901.0,1036.0,822.0
0.603,689.0,902.0,1038.0,823.0
0.623,689.0,902.0,1038.0,823.0
0.643,689.0,901.0,1037.0,823.0
0.663,691.0,902.0,1038.0,823.0
0.683,689.0,902.0,1037.0,823.0
0.703,688.0,902.0,1038.0,824.0
0.723,688.0,903.0,1038.0,824.0
0.743,688.0,901.0,1038.0,823.0
0.763,690.0,902.0,1039.0,824.0
0.784,689.0,902.0,1037.0,823.0
0.804,689.0,902.0,1040.0,824.0
0.824,686.0,900.0,1036.0,821.0
0.844,688.0,902.0,1038.0,824.0
0.864,689.0,903.0,1040.0,824.0
0.884,688.0,903.0,1039.0,824.0
0.904,687.0,902.0,1038.0,823.0
0.924,685.0,900.0,1036.0,822.0
0.944,686.0,901.0,1036.0,822.0
0.964,688.0,902.0,1038.0,822.0
0.985,688.0,901.0,1038.0,824.0
1.005,685.0,903.0,1039.0,824.0
1.025,685.0,902.0,1039.0,824.0
1.045,684.0,901.0,1037.0,822.0
1.065,686.0,903.0,1038.0,824.0
1.085,685.0,901.0,1037.0,823.0
1.105,683.0,900.0,1035.0,821.0
1.125,683.0,900.0,1037.0,823.0
1.146,683.0,900.0,1036.0,822.0
1.166,684.0,901.0,1038.0,822.0
1.186,684.0,902.0,1037.0,823.0
1.206,684.0,901.0,1036.0,822.0
1.226,683.0,899.0,1035.0,822.0
1.246,683.0,900.0,1036.0,822.0
1.266,683.0,900.0,1037.0,822.0
1.286,684.0,901.0,1037.0,822.0
1.306,683.0,900.0,1036.0,822.0
1.327,684.0,902.0,1038.0,824.0
1.347,684.0,902.0,1039.0,821.0
1.367,682.0,900.0,1036.0,821.0
1.387,681.0,901.0,1036.0,821.0
1.407,683.0,901.0,1038.0,823.0
1.427,683.0,901.0,1038.0,823.0
1.447,685.0,902.0,1038.0,823.0
1.467,682.0,899.0,1034.0,821.0
1.487,684.0,902.0,1038.0,823.0
1.508,683.0,902.0,1037.0,823.0
1.528,684.0,902.0,1038.0,823.0
1.548,682.0,901.0,1037.0,822.0
1.568,683.0,902.0,1038.0,823.0
1.588,683.0,901.0,1037.0,822.0
1.608,682.0,900.0,1036.0,822.0
1.628,682.0,900.0,1037.0,822.0
1.649,682.0,900.0,1036.0,821.0
1.669,684.0,903.0,1039.0,824.0
1.689,684.0,902.0,1038.0,822.0
1.709,684.0,902.0,1039.0,824.0
1.729,684.0,902.0,1038.0,824.0
1.749,683.0,902.0,1037.0,823.0
1.769,683.0,900.0,1036.0,822.0
1.789,684.0,902.0,1038.0,824.0
1.809,684.0,902.0,1038.0,823.0
1.83,684.0,902.0,1039.0,823.0
1.85,683.0,903.0,1038.0,824.0
1.87,682.0,902.0,1036.0,822.0
1.89,684.0,902.0,1037.0,823.0
1.91,683.0,902.0,1037.0,823.0
1.93,684.0,902.0,1038.0,823.0
1.95,684.0,902.0,1038.0,824.0
1.97,684.0,902.0,1038.0,823.0
1.99,683.0,903.0,1038.0,824.0
2.01,684.0,903.0,1040.0,823.0
2.031,684.0,904.0,1040.0,826.0
2.051,682.0,900.0,1037.0,822.0
2.071,682.0,899.0,1036.0,821.0
2.091,688.0,909.0,1045.0,827.0
2.111,683.0,902.0,1035.0,821.0
2.131,684.0,902.0,1039.0,824.0
2.151,683.0,901.0,1037.0,822.0
2.172,681.0,899.0,1035.0,821.0
2.192,683.0,902.0,1038.0,823.0
2.212,683.0,901.0,1038.0,823.0
2.232,685.0,903.0,1040.0,824.0
2.252,681.0,899.0,1035.0,820.0
2.272,696.0,920.0,1057.0,839.0
2.292,695.0,919.0,1056.0,838.0
2.312,683.0,902.0,1037.0,823.0
2.332,683.0,901.0,1037.0,822.0
2.352,684.0,905.0,1040.0,826.0
2.373,684.0,902.0,1039.0,824.0
2.393,682.0,900.0,1036.0,822.0
2.413,683.0,901.0,1037.0,822.0
2.433,683.0,900.0,1036.0,822.0
2.453,693.0,914.0,1051.0,834.0
2.473,683.0,901.0,1037.0,823.0
2.493,683.0,901.0,1034.0,821.0
2.513,684.0,903.0,1038.0,825.0
2.533,682.0,900.0,1033.0,820.0
2.554,684.0,901.0,1038.0,824.0
2.574,685.0,902.0,1038.0,823.0
2.594,689.0,905.0,1041.0,826.0
2.614,687.0,903.0,1040.0,825.0
2.634,686.0,903.0,1040.0,824.0
2.654,686.0,900.0,1037.0,823.0
2.674,688.0,901.0,1037.0,822.0
2.694,688.0,902.0,1039.0,824.0
2.714,686.0,901.0,1037.0,822.0
2.734,688.0,901.0,1037.0,823.0
2.754,688.0,902.0,1038.0,824.0
2.774,685.0,901.0,1037.0,823.0
2.794,682.0,899.0,1035.0,821.0
2.815,685.0,902.0,1039.0,824.0
2.835,687.0,901.0,1037.0,823.0
2.855,688.0,901.0,1038.0,823.0
2.875,689.0,904.0,1040.0,825.0
2.895,688.0,901.0,1037.0,822.0
2.915,686.0,901.0,1037.0,822.0
2.935,687.0,903.0,1039.0,824.0
2.955,686.0,902.0,1039.0,824.0
2.975,685.0,901.0,1038.0,823.0
2.995,684.0,902.0,1039.0,824.0
3.016,685.0,902.0,1038.0,824.0
3.036,686.0,902.0,1037.0,823.0
3.056,686.0,902.0,1038.0,823.0
3.076,687.0,903.0,1039.0,823.0
3.096,684.0,900.0,1037.0,822.0
3.116,685.0,901.0,1037.0,823.0
3.136,685.0,902.0,1038.0,823.0
3.156,683.0,901.0,1036.0,821.0
3.176,684.0,902.0,1038.0,823.0
3.196,684.0,903.0,1038.0,824.0
3.216,683.0,901.0,1037.0,823.0
3.237,684.0,901.0,1037.0,823.0
3.257,683.0,901.0,1036.0,822.0
3.277,683.0,900.0,1037.0,822.0
3.297,685.0,902.0,1039.0,824.0
3.317,683.0,901.0,1037.0,823.0
3.337,683.0,901.0,1037.0,822.0
3.357,683.0,901.0,1038.0,823.0
3.377,682.0,899.0,1034.0,820.0
3.397,684.0,900.0,1037.0,822.0
3.417,686.0,903.0,1039.0,824.0
3.438,685.0,901.0,1037.0,823.0
3.458,683.0,902.0,1038.0,824.0
3.478,683.0,902.0,1039.0,824.0
3.498,682.0,901.0,1037.0,822.0
3.518,683.0,901.0,1036.0,821.0
3.538,685.0,902.0,1039.0,824.0
3.558,685.0,902.0,1039.0,823.0
3.578,684.0,902.0,1037.0,824.0
3.598,684.0,902.0,1038.0,824.0
3.618,683.0,901.0,1037.0,823.0
3.638,684.0,901.0,1037.0,822.0
3.659,684.0,902.0,1038.0,823.0
3.679,683.0,902.0,1038.0,823.0
3.699,684.0,901.0,1038.0,823.0
3.719,684.0,902.0,1038.0,823.0
3.739,683.0,902.0,1038.0,823.0
3.759,684.0,902.0,1038.0,823.0
3.779,683.0,901.0,1038.0,823.0
3.799,683.0,901.0,1037.0,823.0
3.819,682.0,901.0,1037.0,823.0
3.84,683.0,901.0,1037.0,823.0
3.86,683.0,900.0,1036.0,821.0
3.88,682.0,900.0,1037.0,822.0
3.9,682.0,900.0,1036.0,822.0
3.92,681.0,899.0,1036.0,821.0
3.94,681.0,899.0,1035.0,821.0
3.96,680.0,898.0,1035.0,821.0
3.98,680.0,898.0,1034.0,820.0
4.0,682.0,899.0,1036.0,821.0
4.02,682.0,900.0,1036.0,821.0
4.04,682.0,900.0,1035.0,821.0
4.061,681.0,899.0,1034.0,821.0
4.081,679.0,898.0,1032.0,819.0
4.101,681.0,899.0,1034.0,820.0
4.121,682.0,900.0,1036.0,822.0
4.141,682.0,900.0,1036.0,821.0
4.161,681.0,900.0,1035.0,821.0
4.181,681.0,898.0,1035.0,821.0
4.201,682.0,900.0,1037.0,818.0
4.221,681.0,899.0,1035.0,821.0
4.242,682.0,900.0,1036.0,821.0
4.262,681.0,899.0,1034.0,820.0
4.282,680.0,897.0,1033.0,819.0
4.302,681.0,899.0,1036.0,821.0
4.322,682.0,901.0,1036.0,822.0
4.342,683.0,902.0,1038.0,824.0
4.362,683.0,901.0,1038.0,824.0
4.383,681.0,898.0,1035.0,821.0
4.403,682.0,899.0,1035.0,820.0
4.423,684.0,902.0,1039.0,824.0
4.443,683.0,901.0,1038.0,823.0
4.463,683.0,901.0,1037.0,822.0
4.483,685.0,903.0,1040.0,824.0
4.503,683.0,901.0,1038.0,823.0
4.523,682.0,900.0,1036.0,822.0
4.543,685.0,903.0,1040.0,824.0
