t,front,rear,left,right
0.0,706.0,930.0,1025.0,978.0
0.021,704.0,928.0,1021.0,975.0
0.041,702.0,924.0,1018.0,972.0
0.061,703.0,926.0,1019.0,973.0
0.081,705.0,929.0,1024.0,977.0
0.101,706.0,930.0,1022.0,975.0
0.121,706.0,930.0,1025.0,978.0
0.141,705.0,928.0,1022.0,976.0
0.161,704.0,928.0,1024.0,977.0
0.181,705.0,928.0,1024.0,976.0
0.201,704.0,928.0,1021.0,974.0
0.221,705.0,929.0,1024.0,977.0
0.241,706.0,928.0,1024.0,977.0
0.262,706.0,929.0,1025.0,977.0
0.282,704.0,926.0,1021.0,975.0
0.302,706.0,930.0,769.0,975.0
0.322,705.0,928.0,1024.0,978.0
0.342,704.0,928.0,1021.0,975.0
0.362,707.0,930.0,1026.0,978.0
0.382,705.0,929.0,1024.0,977.0
0.402,706.0,929.0,1020.0,974.0
0.422,706.0,929.0,1025.0,978.0
0.442,706.0,930.0,1024.0,978.0
0.462,704.0,928.0,1022.0,976.0
0.482,707.0,933.0,1026.0,981.0
0.502,707.0,932.0,1026.0,980.0
0.523,704.0,928.0,1024.0,977.0
0.543,706.0,929.0,1025.0,978.0
0.563,706.0,930.0,1024.0,976.0
0.583,706.0,930.0,1024.0,977.0
0.603,705.0,929.0,1024.0,977.0
0.623,706.0,930.0,1025.0,977.0
0.643,707.0,930.0,1026.0,978.0
0.663,705.0,928.0,1024.0,976.0
0.683,705.0,928.0,1024.0,976.0
0.703,705.0,929.0,1024.0,977.0
0.723,707.0,931.0,1025.0,978.0
0.744,706.0,930.0,1024.0,977.0
0.764,706.0,928.0,1024.0,976.0
0.784,705.0,928.0,1022.0,976.0
0.804,705.0,928.0,1024.0,976.0
0.824,705.0,928.0,1021.0,974.0
0.844,705.0,928.0,1024.0,976.0
0.864,706.0,930.0,1024.0,976.0
0.884,705.0,929.0,1024.0,978.0
0.904,706.0,929.0,1024.0,977.0
0.925,704.0,927.0,1021.0,974.0
0.945,705.0,928.0,1021.0,976.0
0.965,705.0,929.0,1024.0,977.0
0.985,706.0,929.0,1024.0,977.0
1.005,706.0,929.0,1024.0,976.0
1.025,706.0,931.0,1024.0,977.0
1.045,705.0,928.0,1024.0,977.0
1.065,705.0,929.0,1024.0,977.0
1.085,705.0,929.0,1024.0,977.0
1.105,705.0,928.0,1024.0,976.0
1.126,705.0,928.0,1024.0,976.0
1.146,706.0,930.0,1024.0,978.0
1.166,706.0,929.0,1024.0,976.0
1.186,705.0,928.0,1024.0,977.0
1.206,705.0,929.0,1024.0,976.0
1.226,706.0,930.0,1024.0,977.0
1.246,705.0,928.0,1022.0,975.0
1.266,704.0,927.0,1022.0,976.0
1.286,706.0,928.0,1024.0,976.0
1.306,706.0,929.0,1024.0,977.0
1.327,706.0,929.0,1024.0,977.0
