t,front,rear,left,right
0.0,672.0,966.0,999.0,941.0
0.02,673.0,967.0,1000.0,942.0
0.041,669.0,963.0,996.0,938.0
0.061,672.0,966.0,999.0,941.0
0.081,672.0,968.0,998.0,940.0
0.101,673.0,966.0,1000.0,942.0
0.121,672.0,967.0,999.0,941.0
0.141,673.0,968.0,1001.0,942.0
0.161,672.0,966.0,999.0,941.0
0.181,671.0,965.0,997.0,938.0
0.201,672.0,967.0,999.0,940.0
0.221,672.0,965.0,999.0,940.0
0.241,673.0,968.0,1000.0,940.0
0.261,673.0,966.0,1000.0,941.0
0.282,672.0,966.0,999.0,942.0
0.302,673.0,968.0,1000.0,942.0
0.322,672.0,966.0,998.0,940.0
0.342,672.0,965.0,998.0,940.0
0.362,674.0,969.0,1001.0,943.0
0.382,673.0,967.0,1000.0,941.0
0.402,672.0,967.0,999.0,941.0
0.422,673.0,968.0,1000.0,942.0
0.442,671.0,964.0,997.0,939.0
0.462,671.0,965.0,997.0,939.0
0.482,672.0,966.0,998.0,940.0
0.502,672.0,967.0,1000.0,941.0
0.522,672.0,967.0,999.0,941.0
0.542,673.0,967.0,1000.0,942.0
0.563,673.0,966.0,1000.0,942.0
0.583,672.0,966.0,998.0,941.0
0.603,672.0,968.0,998.0,940.0
0.623,673.0,967.0,1000.0,941.0
0.643,674.0,969.0,1000.0,942.0
0.663,673.0,968.0,1000.0,941.0
0.683,672.0,967.0,999.0,941.0
0.703,672.0,966.0,999.0,941.0
0.723,673.0,967.0,999.0,940.0
0.743,672.0,967.0,999.0,941.0
0.763,673.0,968.0,1001.0,943.0
0.784,673.0,968.0,999.0,941.0
0.804,673.0,967.0,1000.0,941.0
0.824,673.0,966.0,999.0,940.0
0.844,673.0,966.0,999.0,941.0
0.864,673.0,967.0,999.0,941.0
0.884,673.0,967.0,1000.0,942.0
0.904,673.0,967.0,999.0,942.0
0.924,671.0,964.0,996.0,938.0
0.944,672.0,966.0,999.0,941.0
0.964,673.0,968.0,1001.0,942.0
0.985,673.0,967.0,999.0,941.0
1.005,672.0,966.0,999.0,941.0
1.025,672.0,966.0,999.0,942.0
1.045,672.0,966.0,998.0,940.0
1.065,674.0,969.0,1001.0,942.0
1.085,672.0,967.0,999.0,941.0
1.105,673.0,967.0,1000.0,941.0
1.125,672.0,967.0,999.0,941.0
1.145,671.0,965.0,998.0,939.0
1.166,672.0,966.0,999.0,940.0
1.186,672.0,966.0,999.0,941.0
1.206,673.0,968.0,1000.0,942.0
1.226,672.0,967.0,999.0,941.0
1.246,673.0,966.0,999.0,940.0
1.266,673.0,965.0,998.0,940.0
1.286,673.0,968.0,1000.0,942.0
1.306,673.0,967.0,999.0,941.0
1.326,673.0,967.0,999.0,941.0
1.346,672.0,966.0,999.0,940.0
1.367,674.0,969.0,1002.0,942.0
1.387,673.0,968.0,1000.0,941.0
1.407,673.0,968.0,1001.0,941.0
1.427,672.0,967.0,998.0,939.0
1.447,672.0,967.0,1000.0,940.0
1.467,673.0,967.0,1000.0,940.0
1.487,674.0,968.0,1001.0,941.0
1.507,673.0,967.0,1000.0,940.0
1.527,673.0,968.0,1000.0,941.0
1.547,673.0,967.0,1000.0,940.0
1.568,674.0,968.0,1001.0,942.0
1.588,672.0,967.0,999.0,940.0
1.608,673.0,967.0,998.0,939.0
1.628,673.0,967.0,999.0,939.0
1.648,672.0,967.0,1000.0,940.0
