t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-4.3774,-5.3948,-6.5048,-6.0749,-5.7349,,SENSOR_STOP,传感器无效或数据过期,,1,stop,0.0,,0.0,0,0,0
0.02,1504.0,1757.0,700.0,2072.0,-1.1923,-1.6245,-3.7182,-2.1948,-1.9096,,WARMUP,等待滤波窗口,,1,stop,0.0,,0.0,0,0,1
0.041,1505.0,1759.0,702.0,2073.0,1.9928,2.1459,-0.9315,1.6854,1.8391,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.061,1507.0,1761.0,701.0,2074.0,1.997,2.1545,-0.9236,1.6891,1.8431,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.081,1507.0,1762.0,704.0,2078.0,2.0055,2.1631,-0.9156,1.6929,1.8492,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.101,1501.0,1756.0,700.0,2070.0,2.0055,2.1631,-0.9236,1.6929,1.8492,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.121,1505.0,1759.0,702.0,2074.0,1.997,2.1545,-0.9156,1.6929,1.845,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.141,1506.0,1761.0,703.0,2076.0,1.997,2.1545,-0.9156,1.6929,1.845,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.161,1507.0,1761.0,703.0,2076.0,2.0013,2.1631,-0.9076,1.7004,1.8508,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.181,1504.0,1757.0,702.0,2072.0,2.0013,2.1631,-0.9076,1.7004,1.8508,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.201,1506.0,1761.0,702.0,2076.0,2.0013,2.1631,-0.9156,1.7004,1.8508,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.221,1504.0,1760.0,702.0,2074.0,1.9928,2.1588,-0.9156,1.6929,1.8428,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.241,1504.0,1770.0,706.0,2067.0,1.9928,2.1631,-0.9156,1.6929,1.8428,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.261,1497.0,1782.0,709.0,2036.0,1.9928,2.2017,-0.8838,1.6667,1.8297,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.282,1491.0,1793.0,717.0,2027.0,1.9632,2.2532,-0.8599,1.5506,1.7569,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.302,1492.0,1797.0,726.0,2036.0,1.942,2.3004,-0.7962,1.5506,1.7463,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.322,1497.0,1792.0,690.0,2052.0,1.942,2.3004,-0.7962,1.5506,1.7463,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.342,1506.0,1784.0,690.0,2074.0,1.9632,2.2961,-1.0111,1.6105,1.7868,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.362,1528.0,1768.0,870.0,2113.0,2.0013,2.2618,-1.0111,1.6929,1.8471,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
0.382,1548.0,1762.0,1123.0,2182.0,2.0945,2.1931,0.422,1.839,1.9667,,CRUISE,按区域分级巡航,,0,fast,0.0,,0.0,500,400,1
