t,front,rear,left,right
0.0,613.0,1017.0,1052.0,899.0
0.021,612.0,1016.0,1051.0,900.0
0.041,612.0,1016.0,1051.0,899.0
0.061,611.0,1013.0,1049.0,898.0
0.081,615.0,1021.0,1055.0,901.0
0.101,613.0,1018.0,1051.0,899.0
0.121,613.0,1017.0,1053.0,901.0
0.141,612.0,1016.0,1051.0,899.0
0.161,614.0,1019.0,1054.0,901.0
0.181,613.0,1018.0,1053.0,901.0
0.201,614.0,1017.0,1052.0,901.0
0.221,612.0,1016.0,1052.0,900.0
0.241,612.0,1017.0,1051.0,900.0
0.262,614.0,1019.0,1053.0,900.0
0.282,614.0,1018.0,1054.0,901.0
0.302,613.0,1015.0,1052.0,899.0
0.322,612.0,1015.0,1049.0,898.0
0.342,612.0,1014.0,1050.0,898.0
0.362,611.0,1015.0,1051.0,899.0
0.382,613.0,1016.0,1051.0,899.0
0.402,613.0,1017.0,1052.0,899.0
0.422,612.0,1016.0,1051.0,899.0
0.442,611.0,1014.0,1050.0,899.0
0.462,610.0,1014.0,1048.0,896.0
0.483,612.0,1015.0,1050.0,898.0
0.503,612.0,1016.0,1051.0,899.0
0.523,611.0,1015.0,1050.0,898.0
0.543,612.0,1015.0,1050.0,899.0
0.563,611.0,1014.0,1050.0,899.0
0.583,611.0,1014.0,1049.0,897.0
0.603,612.0,1016.0,1050.0,899.0
0.623,612.0,1016.0,1051.0,899.0
0.643,612.0,1016.0,1051.0,899.0
0.663,611.0,1014.0,1050.0,898.0
0.684,611.0,1015.0,1048.0,897.0
0.704,613.0,1019.0,1054.0,903.0
0.724,613.0,1017.0,1052.0,901.0
0.744,612.0,1016.0,1051.0,899.0
0.764,611.0,1013.0,1049.0,897.0
0.784,611.0,1014.0,1048.0,897.0
0.804,613.0,1017.0,1053.0,901.0
0.824,613.0,1018.0,1052.0,900.0
0.844,614.0,1019.0,1054.0,899.0
0.865,613.0,1018.0,1053.0,901.0
0.885,613.0,1017.0,1053.0,901.0
0.905,610.0,1013.0,1049.0,898.0
0.925,612.0,1017.0,1051.0,900.0
0.945,615.0,1019.0,1054.0,902.0
0.965,614.0,1019.0,1054.0,903.0
0.985,614.0,1017.0,1053.0,901.0
1.005,614.0,1018.0,1053.0,901.0
1.025,612.0,1015.0,1052.0,900.0
1.045,613.0,1018.0,1053.0,901.0
1.065,613.0,1018.0,1052.0,900.0
1.085,614.0,1019.0,1054.0,903.0
1.105,614.0,1019.0,1053.0,902.0
1.126,613.0,1017.0,1051.0,900.0
1.146,612.0,1015.0,1051.0,899.0
1.166,615.0,1020.0,1056.0,903.0
1.186,613.0,1016.0,1051.0,901.0
1.206,613.0,1017.0,1053.0,901.0
1.226,613.0,1018.0,1052.0,901.0
1.246,613.0,1019.0,1052.0,901.0
1.266,613.0,1019.0,1054.0,900.0
1.286,614.0,1020.0,1055.0,903.0
1.306,613.0,1016.0,1053.0,901.0
1.326,613.0,1018.0,1053.0,902.0
1.346,613.0,1018.0,1052.0,900.0
1.366,614.0,1020.0,1054.0,899.0
1.387,613.0,1017.0,1051.0,900.0
1.407,612.0,1017.0,1052.0,900.0
1.427,613.0,1019.0,1053.0,901.0
1.447,613.0,1018.0,1054.0,901.0
1.467,613.0,1018.0,1052.0,900.0
1.487,614.0,1018.0,1053.0,901.0
1.507,613.0,1019.0,1053.0,901.0
1.527,614.0,1018.0,1053.0,901.0
1.547,614.0,1019.0,1053.0,901.0
1.567,614.0,1019.0,1053.0,901.0
1.587,613.0,1018.0,1052.0,900.0
1.608,613.0,1018.0,1053.0,901.0
1.628,614.0,1019.0,1053.0,902.0
1.648,613.0,1018.0,1053.0,901.0
1.668,614.0,1019.0,1054.0,901.0
1.688,612.0,1017.0,1052.0,899.0
1.708,614.0,1018.0,1054.0,901.0
1.728,613.0,1017.0,1052.0,901.0
1.748,614.0,1018.0,1054.0,901.0
1.768,613.0,1018.0,1053.0,901.0
1.788,613.0,1017.0,1052.0,899.0
1.809,613.0,1017.0,1053.0,901.0
1.829,613.0,1018.0,1053.0,900.0
1.849,614.0,1018.0,1053.0,901.0
1.869,613.0,1019.0,1054.0,901.0
1.889,612.0,1015.0,1050.0,899.0
1.909,614.0,1018.0,1053.0,900.0
1.929,613.0,1017.0,1052.0,900.0
1.949,613.0,1018.0,1053.0,900.0
1.969,613.0,1018.0,1052.0,900.0
1.989,614.0,1018.0,1053.0,900.0
2.01,612.0,1016.0,1049.0,898.0
