t,left,right,diff,valid
0.003,627.0,20.0,607.0,1
0.023,644.0,19.0,625.0,1
0.043,629.0,22.0,607.0,1
0.063,585.0,22.0,563.0,1
0.083,564.0,20.0,544.0,1
0.103,581.0,22.0,559.0,1
0.123,628.0,20.0,608.0,1
0.143,724.0,21.0,703.0,1
0.164,636.0,20.0,616.0,1
0.184,643.0,19.0,624.0,1
0.204,580.0,21.0,559.0,1
0.224,564.0,20.0,544.0,1
0.244,580.0,20.0,560.0,1
0.264,727.0,19.0,708.0,1
0.284,642.0,20.0,622.0,1
0.304,580.0,20.0,560.0,1
0.324,580.0,20.0,560.0,1
0.344,562.0,20.0,542.0,1
0.364,580.0,99.0,481.0,1
0.384,630.0,208.0,422.0,1
0.405,709.0,20.0,689.0,1
0.425,629.0,21.0,608.0,1
0.445,579.0,20.0,559.0,1
0.465,581.0,20.0,561.0,1
0.485,580.0,20.0,560.0,1
0.505,661.0,20.0,641.0,1
0.525,643.0,20.0,623.0,1
0.545,628.0,20.0,608.0,1
0.565,580.0,20.0,560.0,1
0.585,548.0,31.0,517.0,1
0.605,580.0,22.0,558.0,1
0.625,659.0,32.0,627.0,1
0.646,642.0,20.0,622.0,1
0.666,626.0,20.0,606.0,1
0.686,595.0,20.0,575.0,1
0.706,532.0,20.0,512.0,1
0.726,578.0,21.0,557.0,1
0.746,627.0,20.0,607.0,1
0.766,739.0,20.0,719.0,1
0.786,626.0,20.0,606.0,1
0.806,674.0,19.0,655.0,1
0.826,562.0,20.0,542.0,1
0.847,562.0,19.0,543.0,1
0.867,579.0,20.0,559.0,1
0.887,625.0,20.0,605.0,1
0.907,626.0,21.0,605.0,1
0.927,580.0,27.0,553.0,1
0.947,581.0,32.0,549.0,1
0.967,585.0,20.0,565.0,1
0.987,596.0,21.0,575.0,1
1.007,658.0,20.0,638.0,1
1.028,626.0,19.0,607.0,1
1.048,595.0,21.0,574.0,1
1.068,570.0,20.0,550.0,1
1.088,578.0,19.0,559.0,1
1.108,578.0,20.0,558.0,1
1.128,738.0,20.0,718.0,1
1.148,628.0,20.0,608.0,1
1.168,706.0,20.0,686.0,1
1.188,577.0,20.0,557.0,1
1.208,547.0,207.0,340.0,1
1.229,586.0,20.0,566.0,1
1.249,660.0,22.0,638.0,1
1.269,627.0,32.0,595.0,1
1.289,577.0,20.0,557.0,1
1.309,593.0,20.0,573.0,1
1.329,580.0,20.0,560.0,1
1.349,578.0,21.0,557.0,1
1.369,644.0,21.0,623.0,1
1.389,644.0,20.0,624.0,1
1.41,626.0,20.0,606.0,1
1.43,577.0,20.0,557.0,1
1.45,577.0,20.0,557.0,1
1.47,578.0,20.0,558.0,1
1.49,674.0,20.0,654.0,1
1.51,625.0,20.0,605.0,1
1.53,656.0,20.0,636.0,1
1.55,578.0,20.0,558.0,1
1.57,546.0,20.0,526.0,1
1.59,587.0,30.0,557.0,1
1.611,626.0,22.0,604.0,1
1.631,740.0,20.0,720.0,1
1.651,627.0,20.0,607.0,1
1.671,661.0,33.0,628.0,1
1.691,561.0,20.0,541.0,1
1.711,578.0,20.0,558.0,1
1.731,645.0,59.0,586.0,1
1.751,661.0,20.0,641.0,1
1.772,628.0,20.0,608.0,1
1.792,708.0,21.0,687.0,1
1.812,582.0,20.0,562.0,1
1.832,580.0,20.0,560.0,1
1.852,590.0,21.0,569.0,1
1.872,629.0,21.0,608.0,1
1.892,645.0,21.0,624.0,1
1.912,581.0,20.0,561.0,1
1.932,582.0,21.0,561.0,1
1.953,579.0,20.0,559.0,1
1.973,563.0,208.0,355.0,1
1.993,709.0,21.0,688.0,1
2.013,629.0,29.0,600.0,1
2.033,658.0,20.0,638.0,1
2.053,579.0,21.0,558.0,1
2.073,580.0,20.0,560.0,1
2.093,581.0,21.0,560.0,1
2.113,676.0,20.0,656.0,1
2.133,644.0,19.0,625.0,1
2.154,725.0,274.0,451.0,1
2.174,645.0,20.0,625.0,1
2.194,578.0,20.0,558.0,1
2.214,587.0,20.0,567.0,1
2.234,547.0,21.0,526.0,1
2.254,677.0,208.0,469.0,1
2.275,627.0,20.0,607.0,1
2.295,649.0,20.0,629.0,1
2.315,577.0,20.0,557.0,1
2.335,578.0,20.0,558.0,1
2.355,626.0,20.0,606.0,1
2.376,627.0,19.0,608.0,1
2.396,643.0,21.0,622.0,1
2.416,626.0,19.0,607.0,1
2.436,563.0,20.0,543.0,1
2.457,580.0,32.0,548.0,1
2.477,580.0,204.0,376.0,1
2.497,642.0,29.0,613.0,1
2.517,627.0,20.0,607.0,1
2.537,594.0,20.0,574.0,1
2.557,565.0,20.0,545.0,1
2.577,576.0,20.0,556.0,1
2.597,546.0,21.0,525.0,1
2.617,708.0,20.0,688.0,1
2.638,628.0,20.0,608.0,1
2.658,737.0,21.0,716.0,1
2.678,579.0,21.0,558.0,1
2.698,578.0,21.0,557.0,1
2.718,578.0,21.0,557.0,1
2.738,596.0,20.0,576.0,1
2.758,643.0,20.0,623.0,1
2.779,674.0,21.0,653.0,1
2.799,626.0,21.0,605.0,1
2.819,586.0,20.0,566.0,1
2.839,577.0,20.0,557.0,1
2.859,625.0,21.0,604.0,1
2.879,627.0,19.0,608.0,1
2.899,627.0,19.0,608.0,1
2.919,577.0,19.0,558.0,1
2.939,577.0,20.0,557.0,1
2.959,578.0,20.0,558.0,1
2.979,643.0,55.0,588.0,1
2.999,640.0,20.0,620.0,1
3.019,763.0,21.0,742.0,1
3.04,577.0,20.0,557.0,1
3.06,578.0,20.0,558.0,1
3.08,577.0,44.0,533.0,1
3.1,608.0,19.0,589.0,1
3.12,626.0,20.0,606.0,1
3.14,579.0,20.0,559.0,1
3.16,691.0,20.0,671.0,1
3.18,578.0,21.0,557.0,1
3.2,594.0,20.0,574.0,1
3.22,627.0,20.0,607.0,1
3.24,609.0,20.0,589.0,1
3.26,625.0,19.0,606.0,1
3.28,610.0,160.0,450.0,1
3.301,586.0,20.0,566.0,1
3.321,580.0,32.0,548.0,1
3.341,660.0,22.0,638.0,1
3.361,626.0,20.0,606.0,1
3.381,673.0,20.0,653.0,1
3.401,578.0,19.0,559.0,1
3.421,579.0,19.0,560.0,1
3.441,577.0,20.0,557.0,1
3.461,634.0,20.0,614.0,1
3.481,626.0,21.0,605.0,1
3.501,580.0,21.0,559.0,1
3.522,690.0,20.0,670.0,1
3.542,577.0,17.0,560.0,1
3.562,613.0,21.0,592.0,1
3.582,578.0,20.0,558.0,1
3.602,607.0,20.0,587.0,1
3.622,634.0,20.0,614.0,1
3.642,658.0,33.0,625.0,1
3.662,577.0,30.0,547.0,1
3.683,581.0,33.0,548.0,1
3.703,641.0,20.0,621.0,1
3.723,633.0,192.0,441.0,1
3.743,626.0,22.0,604.0,1
3.763,578.0,20.0,558.0,1
3.783,610.0,20.0,590.0,1
3.803,577.0,20.0,557.0,1
3.823,625.0,20.0,605.0,1
3.843,641.0,21.0,620.0,1
3.863,610.0,20.0,590.0,1
3.884,627.0,20.0,607.0,1
3.904,577.0,21.0,556.0,1
3.924,576.0,20.0,556.0,1
3.944,641.0,19.0,622.0,1
3.964,609.0,22.0,587.0,1
3.984,651.0,33.0,618.0,1
4.004,674.0,24.0,650.0,1
4.024,576.0,19.0,557.0,1
4.044,577.0,20.0,557.0,1
4.065,641.0,20.0,621.0,1
4.085,616.0,20.0,596.0,1
4.105,626.0,20.0,606.0,1
4.125,579.0,20.0,559.0,1
4.145,691.0,20.0,671.0,1
4.165,577.0,191.0,386.0,1
4.185,641.0,20.0,621.0,1
4.205,627.0,20.0,607.0,1
4.225,626.0,19.0,607.0,1
4.245,577.0,20.0,557.0,1
4.266,594.0,21.0,573.0,1
4.286,576.0,21.0,555.0,1
4.306,643.0,30.0,613.0,1
4.326,644.0,31.0,613.0,1
4.346,633.0,20.0,613.0,1
4.366,642.0,45.0,597.0,1
4.386,594.0,19.0,575.0,1
4.406,577.0,20.0,557.0,1
4.426,626.0,207.0,419.0,1
4.446,614.0,20.0,594.0,1
4.467,626.0,20.0,606.0,1
4.487,577.0,20.0,557.0,1
4.507,691.0,208.0,483.0,1
4.527,577.0,19.0,558.0,1
4.547,641.0,20.0,621.0,1
4.567,626.0,19.0,607.0,1
4.587,593.0,21.0,572.0,1
4.607,578.0,19.0,559.0,1
4.627,608.0,21.0,587.0,1
4.648,580.0,30.0,550.0,1
4.668,643.0,31.0,612.0,1
4.688,643.0,21.0,622.0,1
4.708,634.0,21.0,613.0,1
4.728,577.0,20.0,557.0,1
4.748,576.0,19.0,557.0,1
4.768,578.0,20.0,558.0,1
4.788,642.0,21.0,621.0,1
4.808,625.0,20.0,605.0,1
4.828,642.0,20.0,622.0,1
4.849,578.0,20.0,558.0,1
4.869,680.0,20.0,660.0,1
4.889,577.0,20.0,557.0,1
4.909,608.0,21.0,587.0,1
4.929,642.0,20.0,622.0,1
4.949,596.0,32.0,564.0,1
4.969,586.0,21.0,565.0,1
4.989,627.0,33.0,594.0,1
5.009,691.0,20.0,671.0,1
5.03,642.0,19.0,623.0,1
5.05,689.0,19.0,670.0,1
5.07,633.0,20.0,613.0,1
5.09,577.0,20.0,557.0,1
5.11,578.0,20.0,558.0,1
5.13,610.0,21.0,589.0,1
5.15,625.0,20.0,605.0,1
5.17,730.0,20.0,710.0,1
5.19,625.0,21.0,604.0,1
5.21,577.0,19.0,558.0,1
5.231,586.0,20.0,566.0,1
5.251,577.0,20.0,557.0,1
5.271,577.0,20.0,557.0,1
5.291,626.0,27.0,599.0,1
5.311,628.0,21.0,607.0,1
5.331,585.0,20.0,565.0,1
5.351,561.0,20.0,541.0,1
5.371,674.0,20.0,654.0,1
5.391,643.0,19.0,624.0,1
5.412,673.0,20.0,653.0,1
5.432,624.0,20.0,604.0,1
5.452,594.0,19.0,575.0,1
5.472,577.0,19.0,558.0,1
5.492,634.0,20.0,614.0,1
5.512,577.0,20.0,557.0,1
5.532,737.0,20.0,717.0,1
5.552,675.0,19.0,656.0,1
5.572,563.0,20.0,543.0,1
5.593,586.0,20.0,566.0,1
5.613,545.0,20.0,525.0,1
5.633,642.0,20.0,622.0,1
5.653,642.0,54.0,588.0,1
5.673,673.0,21.0,652.0,1
5.693,586.0,20.0,566.0,1
5.713,577.0,20.0,557.0,1
5.733,580.0,48.0,532.0,1
5.753,627.0,20.0,607.0,1
5.773,642.0,35.0,607.0,1
5.794,625.0,19.0,606.0,1
5.814,565.0,21.0,544.0,1
5.834,579.0,20.0,559.0,1
5.854,545.0,20.0,525.0,1
5.874,577.0,20.0,557.0,1
5.894,722.0,20.0,702.0,1
5.914,706.0,20.0,686.0,1
5.934,579.0,21.0,558.0,1
5.954,577.0,20.0,557.0,1
5.974,546.0,23.0,523.0,1
5.995,659.0,20.0,639.0,1
6.015,642.0,20.0,622.0,1
6.035,722.0,20.0,702.0,1
6.055,583.0,21.0,562.0,1
6.075,610.0,207.0,403.0,1
6.095,578.0,20.0,558.0,1
6.115,618.0,20.0,598.0,1
6.135,642.0,19.0,623.0,1
6.155,641.0,20.0,621.0,1
6.176,610.0,20.0,590.0,1
6.196,578.0,20.0,558.0,1
6.216,578.0,21.0,557.0,1
6.236,577.0,20.0,557.0,1
6.256,625.0,19.0,606.0,1
6.276,658.0,21.0,637.0,1
6.296,578.0,20.0,558.0,1
6.316,587.0,20.0,567.0,1
6.336,562.0,20.0,542.0,1
6.356,644.0,208.0,436.0,1
6.377,627.0,32.0,595.0,1
6.397,737.0,20.0,717.0,1
6.417,577.0,32.0,545.0,1
6.437,562.0,20.0,542.0,1
6.457,578.0,20.0,558.0,1
6.477,586.0,20.0,566.0,1
6.497,642.0,20.0,622.0,1
6.517,658.0,20.0,638.0,1
6.537,674.0,20.0,654.0,1
6.558,578.0,191.0,387.0,1
6.578,594.0,21.0,573.0,1
6.598,579.0,583.0,-4.0,1
6.618,628.0,20.0,608.0,1
6.639,626.0,20.0,606.0,1
6.659,588.0,20.0,568.0,1
6.679,580.0,20.0,560.0,1
6.699,579.0,20.0,559.0,1
6.719,625.0,27.0,598.0,1
6.739,628.0,21.0,607.0,1
6.759,708.0,20.0,688.0,1
6.779,628.0,20.0,608.0,1
6.799,579.0,20.0,559.0,1
6.819,581.0,20.0,561.0,1
6.84,564.0,35.0,529.0,1
6.86,653.0,20.0,633.0,1
6.88,646.0,21.0,625.0,1
6.9,692.0,20.0,672.0,1
6.92,565.0,37.0,528.0,1
6.94,645.0,21.0,624.0,1
6.96,577.0,20.0,557.0,1
6.98,612.0,20.0,592.0,1
7.0,629.0,22.0,607.0,1
7.02,693.0,21.0,672.0,1
7.04,579.0,20.0,559.0,1
7.061,582.0,21.0,561.0,1
7.081,581.0,20.0,561.0,1
7.101,627.0,21.0,606.0,1
7.121,643.0,20.0,623.0,1
7.141,629.0,34.0,595.0,1
7.161,580.0,62.0,518.0,1
7.181,578.0,20.0,558.0,1
7.201,578.0,20.0,558.0,1
7.221,578.0,20.0,558.0,1
7.241,627.0,20.0,607.0,1
7.261,707.0,20.0,687.0,1
7.282,577.0,20.0,557.0,1
7.302,577.0,20.0,557.0,1
7.322,579.0,19.0,560.0,1
7.342,611.0,20.0,591.0,1
7.362,631.0,33.0,598.0,1
7.382,708.0,30.0,678.0,1
7.402,577.0,21.0,556.0,1
7.422,578.0,20.0,558.0,1
7.442,594.0,20.0,574.0,1
7.462,604.0,21.0,583.0,1
7.482,626.0,19.0,607.0,1
7.503,627.0,21.0,606.0,1
7.523,674.0,19.0,655.0,1
7.543,578.0,20.0,558.0,1
7.563,598.0,21.0,577.0,1
7.583,579.0,190.0,389.0,1
7.603,643.0,20.0,623.0,1
7.623,629.0,190.0,439.0,1
7.643,577.0,21.0,556.0,1
7.663,577.0,20.0,557.0,1
7.683,579.0,23.0,556.0,1
7.704,611.0,32.0,579.0,1
