t,front,rear,left,right
0.0,1701.0,2137.0,1916.0,1852.0
0.021,1701.0,2138.0,1918.0,1856.0
0.041,1700.0,2139.0,1917.0,1854.0
0.061,1697.0,2134.0,1913.0,1850.0
0.081,1698.0,2135.0,1914.0,1848.0
0.101,1698.0,2136.0,1912.0,1848.0
0.121,1701.0,2139.0,1917.0,1854.0
0.141,1702.0,2140.0,1918.0,1856.0
0.161,1702.0,2141.0,1918.0,1856.0
0.181,1704.0,2144.0,1917.0,1855.0
0.201,1704.0,2141.0,1920.0,1857.0
0.221,1704.0,2144.0,1921.0,1859.0
0.241,1703.0,2138.0,1920.0,1857.0
0.262,1704.0,2141.0,1920.0,1857.0
0.282,1702.0,2141.0,1920.0,1856.0
0.302,1702.0,2140.0,1918.0,1856.0
0.322,1705.0,2144.0,1921.0,1858.0
0.342,1705.0,2144.0,1922.0,1858.0
0.362,1704.0,2142.0,1920.0,1857.0
0.382,1702.0,2138.0,1920.0,1857.0
0.402,1702.0,2141.0,1920.0,1857.0
0.422,1703.0,2141.0,1920.0,1856.0
0.442,1706.0,2145.0,1921.0,1856.0
0.462,1702.0,2142.0,1920.0,1857.0
0.482,1704.0,2142.0,1920.0,1854.0
0.502,1705.0,2141.0,1921.0,1858.0
0.522,1702.0,2140.0,1918.0,1857.0
0.543,1703.0,2141.0,1919.0,1856.0
0.563,1703.0,2142.0,1920.0,1856.0
0.583,1706.0,2146.0,1922.0,1858.0
0.603,1706.0,2144.0,1922.0,1859.0
0.623,1705.0,2144.0,1922.0,1859.0
0.643,1704.0,2142.0,1920.0,1857.0
0.663,1702.0,2138.0,1918.0,1856.0
0.683,1703.0,2140.0,1918.0,1856.0
0.703,1706.0,2145.0,1920.0,1857.0
0.723,1705.0,2144.0,1922.0,1858.0
0.743,1706.0,2144.0,1922.0,1860.0
0.763,1704.0,2143.0,1921.0,1858.0
0.783,1704.0,2141.0,1920.0,1859.0
0.803,1704.0,2142.0,1920.0,1857.0
0.824,1704.0,2142.0,1920.0,1856.0
0.844,1706.0,2144.0,1921.0,1857.0
0.864,1706.0,2144.0,1922.0,1859.0
0.884,1707.0,2145.0,1922.0,1860.0
0.904,1707.0,2145.0,1924.0,1861.0
0.924,1706.0,2144.0,1921.0,1858.0
0.944,1707.0,2146.0,1923.0,1860.0
0.964,1707.0,2146.0,1923.0,1860.0
0.984,1706.0,2144.0,1921.0,1858.0
1.004,1703.0,2141.0,1920.0,1856.0
1.025,1705.0,2144.0,1921.0,1858.0
1.045,1703.0,2140.0,1918.0,1856.0
1.065,1705.0,2142.0,1920.0,1857.0
1.085,1706.0,2144.0,1921.0,1858.0
1.105,1705.0,2144.0,1921.0,1859.0
1.125,1706.0,2144.0,1922.0,1858.0
1.145,1704.0,2142.0,1921.0,1857.0
1.165,1704.0,2140.0,1920.0,1857.0
1.185,1705.0,2144.0,1921.0,1858.0
1.205,1705.0,2144.0,1921.0,1857.0
1.225,1706.0,2144.0,1921.0,1858.0
1.246,1705.0,2143.0,1921.0,1859.0
1.266,1706.0,2144.0,1922.0,1859.0
1.286,1705.0,2145.0,1921.0,1857.0
1.306,1705.0,2144.0,1922.0,1859.0
1.326,1705.0,2144.0,1921.0,1858.0
1.346,1705.0,2144.0,1922.0,1858.0
1.366,1706.0,2145.0,1921.0,1858.0
1.386,1705.0,2145.0,1921.0,1859.0
1.406,1706.0,2144.0,1922.0,1857.0
1.427,1706.0,2144.0,1922.0,1857.0
1.447,1705.0,2144.0,1920.0,1857.0
1.467,1705.0,2143.0,1920.0,1859.0
1.487,1706.0,2144.0,1922.0,1858.0
1.507,1706.0,2144.0,1922.0,1859.0
1.527,1705.0,2144.0,1921.0,1858.0
1.547,1704.0,2144.0,1920.0,1856.0
1.567,1705.0,2144.0,1921.0,1856.0
1.587,1705.0,2144.0,1922.0,1858.0
1.607,1705.0,2144.0,1922.0,1859.0
1.627,1705.0,2144.0,1921.0,1859.0
1.648,1703.0,2141.0,1918.0,1856.0
1.668,1704.0,2144.0,1920.0,1858.0
1.688,1704.0,2144.0,1920.0,1858.0
1.708,1705.0,2144.0,1921.0,1859.0
1.728,1705.0,2144.0,1922.0,1859.0
1.748,1702.0,2141.0,1920.0,1857.0
1.768,1700.0,2139.0,1915.0,1854.0
1.788,1701.0,2141.0,1917.0,1856.0
1.808,1703.0,2141.0,1918.0,1857.0
1.828,1703.0,2143.0,1918.0,1858.0
1.849,1704.0,2144.0,1920.0,1858.0
1.869,1704.0,2144.0,1918.0,1858.0
1.889,1705.0,2144.0,1918.0,1858.0
1.909,1704.0,2144.0,1918.0,1858.0
1.929,1704.0,2144.0,1918.0,1858.0
1.949,1704.0,2144.0,1918.0,1858.0
1.969,1703.0,2143.0,1918.0,1857.0
1.989,1704.0,2144.0,1919.0,1858.0
2.009,1705.0,2142.0,1918.0,1858.0
2.029,1705.0,2144.0,1918.0,1858.0
2.049,1704.0,2142.0,1917.0,1857.0
2.07,1705.0,2144.0,1918.0,1858.0
2.09,1705.0,2144.0,1918.0,1858.0
2.11,1707.0,2146.0,1921.0,1858.0
2.13,1706.0,2144.0,1920.0,1860.0
2.15,1704.0,2142.0,1917.0,1857.0
2.17,1709.0,2148.0,1922.0,1862.0
2.19,1709.0,2149.0,1923.0,1862.0
2.21,1709.0,2148.0,1923.0,1861.0
2.23,1710.0,2148.0,1924.0,1863.0
2.25,1708.0,2146.0,1922.0,1861.0
2.27,1706.0,2145.0,1921.0,1860.0
2.291,1708.0,2146.0,1923.0,1861.0
2.311,1709.0,2148.0,1924.0,1861.0
2.331,1708.0,2147.0,1924.0,1861.0
2.351,1709.0,2147.0,1923.0,1861.0
2.371,1707.0,2146.0,1923.0,1861.0
2.391,1707.0,2145.0,1921.0,1860.0
2.411,1710.0,2147.0,1924.0,1862.0
2.431,1708.0,2147.0,1923.0,1861.0
2.451,1708.0,2146.0,1924.0,1861.0
2.472,1708.0,2147.0,1923.0,1861.0
2.492,1706.0,2145.0,1921.0,1858.0
2.512,1708.0,2147.0,1923.0,1861.0
2.532,1708.0,2146.0,1923.0,1861.0
2.552,1709.0,2148.0,1924.0,1861.0
2.572,1708.0,2146.0,1924.0,1860.0
2.592,1708.0,2146.0,1923.0,1861.0
2.612,1709.0,2148.0,1924.0,1862.0
2.632,1709.0,2149.0,1924.0,1862.0
2.652,1708.0,2146.0,1923.0,1861.0
2.673,1706.0,2144.0,1921.0,1859.0
2.693,1709.0,2147.0,1924.0,1861.0
2.713,1708.0,2147.0,1923.0,1860.0
2.733,1709.0,2146.0,1924.0,1861.0
2.753,1709.0,2148.0,1924.0,1861.0
2.773,1709.0,2148.0,1924.0,1861.0
2.793,1707.0,2147.0,1922.0,1860.0
2.813,1708.0,2146.0,1923.0,1862.0
2.833,1709.0,2149.0,1925.0,1861.0
2.853,1706.0,2146.0,1921.0,1858.0
2.873,1707.0,2146.0,1922.0,1860.0
2.894,1708.0,2148.0,1924.0,1861.0
2.914,1711.0,2149.0,1926.0,1864.0
2.934,1710.0,2149.0,1925.0,1862.0
2.954,1709.0,2148.0,1924.0,1863.0
2.974,1709.0,2147.0,1924.0,1863.0
2.994,1708.0,2146.0,1922.0,1860.0
3.014,1709.0,2148.0,1924.0,1862.0
3.034,1709.0,2148.0,1925.0,1863.0
3.054,1711.0,2149.0,1926.0,1862.0
3.074,1710.0,2149.0,1925.0,1864.0
3.095,1709.0,2146.0,1925.0,1863.0
3.115,1710.0,2148.0,1925.0,1864.0
3.135,1710.0,2149.0,1926.0,1864.0
3.155,1710.0,2148.0,1925.0,1863.0
3.175,1709.0,2148.0,1924.0,1861.0
3.195,1708.0,2145.0,1923.0,1860.0
3.215,1708.0,2147.0,1924.0,1862.0
3.235,1708.0,2146.0,1923.0,1861.0
3.255,1708.0,2147.0,1924.0,1862.0
3.275,1707.0,2144.0,1923.0,1861.0
3.296,1708.0,2147.0,1923.0,1862.0
3.316,1707.0,2144.0,1922.0,1861.0
3.336,1708.0,2147.0,1924.0,1861.0
3.356,1707.0,2146.0,1922.0,1860.0
3.376,1707.0,2145.0,1922.0,1860.0
3.396,1709.0,2147.0,1924.0,1860.0
3.416,1708.0,2146.0,1923.0,1861.0
3.436,1708.0,2146.0,1922.0,1861.0
3.456,1708.0,2146.0,1922.0,1861.0
3.476,1707.0,2146.0,1921.0,1859.0
3.496,1708.0,2146.0,1922.0,1860.0
3.517,1708.0,2146.0,1922.0,1860.0
3.537,1707.0,2145.0,1922.0,1860.0
3.557,1708.0,2146.0,1922.0,1860.0
3.577,1706.0,2144.0,1921.0,1859.0
3.597,1706.0,2144.0,1921.0,1860.0
3.617,1709.0,2148.0,1923.0,1861.0
3.637,1709.0,2149.0,1925.0,1861.0
3.657,1710.0,2148.0,1924.0,1864.0
3.677,1710.0,2148.0,1923.0,1862.0
3.697,1708.0,2147.0,1923.0,1858.0
3.718,1708.0,2147.0,1922.0,1861.0
3.738,1708.0,2147.0,1922.0,1861.0
3.758,1709.0,2148.0,1925.0,1863.0
3.778,1709.0,2146.0,1923.0,1862.0
3.798,1707.0,2145.0,1923.0,1861.0
3.818,1708.0,2146.0,1923.0,1861.0
3.838,1709.0,2147.0,1924.0,1863.0
3.858,1709.0,2147.0,1924.0,1862.0
3.878,1706.0,2145.0,1921.0,1860.0
3.898,1708.0,2146.0,1923.0,1861.0
3.918,1708.0,2147.0,1923.0,1862.0
3.939,1708.0,2147.0,1923.0,1862.0
3.959,1707.0,2145.0,1921.0,1861.0
3.979,1707.0,2146.0,1921.0,1861.0
3.999,1707.0,2144.0,1921.0,1861.0
4.019,1708.0,2146.0,1922.0,1862.0
4.039,1707.0,2146.0,1920.0,1861.0
4.059,1708.0,2146.0,1920.0,1862.0
