t,front,rear,left,right
0.0,339.0,498.0,536.0,458.0
0.02,339.0,498.0,537.0,459.0
0.04,339.0,498.0,537.0,459.0
0.061,339.0,497.0,536.0,457.0
0.081,339.0,496.0,536.0,457.0
0.101,338.0,496.0,536.0,457.0
0.121,339.0,499.0,537.0,459.0
0.141,339.0,499.0,537.0,459.0
0.161,340.0,499.0,538.0,459.0
0.181,340.0,499.0,537.0,460.0
0.201,339.0,498.0,537.0,459.0
0.221,339.0,498.0,537.0,459.0
0.241,341.0,500.0,535.0,459.0
0.261,339.0,499.0,537.0,459.0
0.282,341.0,500.0,539.0,460.0
0.302,340.0,499.0,538.0,460.0
0.322,340.0,499.0,538.0,459.0
0.342,340.0,499.0,538.0,460.0
0.362,341.0,498.0,537.0,459.0
0.382,340.0,499.0,537.0,458.0
0.402,340.0,499.0,537.0,459.0
0.422,340.0,499.0,538.0,458.0
0.442,340.0,499.0,537.0,460.0
0.462,340.0,499.0,538.0,460.0
0.482,340.0,498.0,537.0,459.0
0.502,340.0,498.0,537.0,459.0
0.522,340.0,501.0,538.0,459.0
0.542,341.0,501.0,538.0,460.0
0.563,340.0,501.0,538.0,460.0
0.583,340.0,500.0,538.0,461.0
0.603,341.0,500.0,539.0,459.0
0.623,340.0,499.0,538.0,460.0
0.643,341.0,500.0,539.0,460.0
0.663,341.0,499.0,537.0,459.0
0.683,340.0,499.0,538.0,459.0
0.703,340.0,499.0,538.0,460.0
0.723,340.0,499.0,538.0,460.0
0.743,340.0,499.0,538.0,459.0
0.763,339.0,499.0,538.0,459.0
0.784,340.0,500.0,538.0,460.0
0.804,340.0,499.0,538.0,459.0
0.824,340.0,499.0,538.0,459.0
0.844,340.0,499.0,538.0,460.0
0.864,340.0,500.0,538.0,459.0
0.884,341.0,499.0,538.0,459.0
0.904,340.0,499.0,539.0,459.0
0.924,341.0,500.0,538.0,460.0
0.944,341.0,500.0,538.0,460.0
0.964,341.0,500.0,539.0,460.0
0.985,340.0,500.0,538.0,459.0
1.005,340.0,499.0,538.0,460.0
1.025,341.0,500.0,539.0,460.0
1.045,340.0,500.0,538.0,459.0
1.065,341.0,500.0,539.0,459.0
1.085,341.0,500.0,538.0,459.0
1.105,341.0,499.0,538.0,459.0
1.125,340.0,499.0,538.0,459.0
1.145,340.0,499.0,538.0,459.0
1.165,341.0,499.0,538.0,459.0
1.186,341.0,499.0,538.0,459.0
1.206,341.0,499.0,538.0,459.0
1.226,340.0,499.0,538.0,458.0
1.246,341.0,499.0,539.0,458.0
1.266,340.0,499.0,538.0,458.0
1.286,341.0,499.0,535.0,458.0
1.306,341.0,500.0,538.0,457.0
1.326,340.0,500.0,538.0,459.0
1.346,339.0,499.0,538.0,457.0
1.366,340.0,499.0,537.0,456.0
1.387,341.0,499.0,537.0,457.0
1.407,339.0,497.0,536.0,457.0
1.427,339.0,498.0,537.0,456.0
1.447,339.0,498.0,536.0,456.0
1.467,338.0,496.0,535.0,456.0
1.487,339.0,498.0,533.0,456.0
1.507,339.0,497.0,536.0,456.0
1.527,338.0,497.0,536.0,456.0
1.547,339.0,497.0,536.0,455.0
1.567,338.0,496.0,535.0,456.0
1.587,339.0,497.0,535.0,456.0
1.607,338.0,496.0,535.0,455.0
1.628,339.0,497.0,536.0,456.0
1.648,338.0,496.0,534.0,456.0
1.668,338.0,497.0,536.0,456.0
1.688,338.0,497.0,536.0,456.0
1.708,338.0,497.0,536.0,456.0
1.728,339.0,497.0,536.0,456.0
1.748,338.0,496.0,534.0,454.0
1.768,340.0,499.0,537.0,457.0
1.788,340.0,498.0,536.0,457.0
1.809,339.0,497.0,536.0,456.0
1.829,339.0,497.0,534.0,456.0
1.849,340.0,499.0,536.0,458.0
1.869,340.0,498.0,537.0,458.0
1.889,340.0,497.0,537.0,458.0
1.909,340.0,500.0,539.0,459.0
1.929,341.0,500.0,538.0,458.0
1.949,340.0,499.0,538.0,458.0
1.969,341.0,499.0,539.0,459.0
1.989,340.0,499.0,538.0,458.0
2.009,340.0,499.0,537.0,458.0
2.029,340.0,499.0,538.0,459.0
2.049,341.0,500.0,538.0,458.0
2.07,340.0,500.0,538.0,459.0
2.09,340.0,499.0,538.0,459.0
2.11,340.0,498.0,537.0,459.0
2.13,339.0,498.0,538.0,459.0
2.15,341.0,499.0,538.0,459.0
2.17,341.0,500.0,538.0,459.0
2.19,340.0,499.0,537.0,458.0
2.21,340.0,499.0,537.0,458.0
2.23,340.0,499.0,537.0,458.0
2.25,341.0,499.0,538.0,460.0
2.27,341.0,499.0,539.0,460.0
2.29,340.0,499.0,538.0,460.0
2.31,341.0,500.0,538.0,459.0
2.331,340.0,498.0,538.0,459.0
2.351,340.0,498.0,537.0,458.0
2.371,340.0,498.0,538.0,459.0
2.391,339.0,499.0,537.0,458.0
2.411,340.0,499.0,538.0,459.0
2.431,340.0,499.0,537.0,459.0
2.451,341.0,499.0,537.0,459.0
2.471,341.0,499.0,538.0,459.0
