t,front,rear,left,right
0.0,430.0,642.0,551.0,505.0
0.02,430.0,643.0,550.0,504.0
0.041,430.0,643.0,551.0,506.0
0.061,429.0,642.0,551.0,504.0
0.081,429.0,640.0,549.0,503.0
0.101,428.0,640.0,549.0,503.0
0.121,430.0,642.0,550.0,505.0
0.141,430.0,643.0,552.0,506.0
0.161,431.0,644.0,552.0,506.0
0.181,430.0,642.0,551.0,505.0
0.201,430.0,643.0,552.0,506.0
0.221,431.0,643.0,553.0,506.0
0.241,429.0,644.0,552.0,505.0
0.261,431.0,644.0,551.0,506.0
0.281,431.0,644.0,552.0,506.0
0.302,431.0,644.0,552.0,506.0
0.322,431.0,644.0,552.0,506.0
0.342,431.0,644.0,552.0,506.0
0.362,431.0,644.0,552.0,506.0
0.382,430.0,642.0,550.0,505.0
0.402,430.0,643.0,552.0,506.0
0.422,432.0,645.0,552.0,506.0
0.442,430.0,644.0,552.0,506.0
0.462,431.0,644.0,553.0,507.0
0.482,430.0,644.0,551.0,505.0
0.502,429.0,643.0,552.0,506.0
0.522,430.0,643.0,552.0,506.0
0.542,430.0,642.0,552.0,505.0
0.563,429.0,641.0,550.0,504.0
0.583,430.0,641.0,550.0,504.0
0.603,429.0,641.0,550.0,503.0
0.623,429.0,641.0,549.0,504.0
0.643,429.0,642.0,550.0,504.0
0.663,430.0,643.0,551.0,505.0
0.683,429.0,642.0,553.0,504.0
0.703,431.0,642.0,551.0,505.0
0.723,430.0,642.0,551.0,505.0
0.743,430.0,642.0,551.0,505.0
0.763,429.0,641.0,550.0,504.0
0.784,430.0,642.0,551.0,504.0
0.804,430.0,642.0,550.0,504.0
0.824,429.0,641.0,550.0,504.0
0.844,428.0,640.0,549.0,503.0
0.864,429.0,641.0,549.0,503.0
0.884,429.0,642.0,549.0,504.0
0.904,429.0,641.0,550.0,504.0
0.924,429.0,640.0,549.0,504.0
0.944,428.0,640.0,549.0,503.0
0.964,430.0,643.0,551.0,506.0
0.985,428.0,642.0,550.0,504.0
1.005,429.0,641.0,550.0,505.0
1.025,429.0,642.0,550.0,504.0
1.045,431.0,644.0,553.0,506.0
1.065,431.0,645.0,552.0,506.0
1.085,431.0,644.0,552.0,506.0
1.105,430.0,643.0,551.0,506.0
1.125,429.0,642.0,551.0,505.0
1.145,430.0,643.0,552.0,506.0
1.165,430.0,642.0,552.0,505.0
1.185,430.0,643.0,552.0,506.0
1.205,430.0,644.0,552.0,506.0
1.225,430.0,643.0,551.0,506.0
1.245,431.0,643.0,552.0,506.0
1.266,431.0,644.0,552.0,506.0
1.286,430.0,644.0,551.0,506.0
1.306,431.0,644.0,552.0,506.0
1.326,432.0,644.0,552.0,506.0
1.346,431.0,644.0,551.0,506.0
1.366,431.0,644.0,551.0,506.0
1.386,430.0,644.0,551.0,505.0
1.406,432.0,645.0,552.0,507.0
1.426,431.0,644.0,552.0,507.0
1.446,431.0,645.0,552.0,506.0
1.466,432.0,645.0,552.0,506.0
1.486,431.0,644.0,552.0,506.0
1.506,430.0,644.0,551.0,506.0
1.527,431.0,644.0,552.0,507.0
1.547,432.0,644.0,552.0,506.0
1.567,432.0,645.0,551.0,507.0
1.587,432.0,645.0,552.0,507.0
1.607,432.0,644.0,551.0,506.0
1.627,430.0,644.0,553.0,507.0
1.647,431.0,645.0,553.0,506.0
