t,front,rear,left,right
0.0,459.0,538.0,701.0,618.0
0.021,459.0,537.0,701.0,618.0
0.041,459.0,538.0,703.0,619.0
0.061,458.0,535.0,699.0,616.0
0.081,457.0,535.0,697.0,615.0
0.101,459.0,537.0,701.0,618.0
0.121,459.0,537.0,701.0,618.0
0.141,459.0,539.0,701.0,619.0
0.161,460.0,538.0,702.0,618.0
0.181,460.0,537.0,702.0,619.0
0.201,460.0,539.0,703.0,620.0
0.221,460.0,538.0,702.0,619.0
0.241,459.0,538.0,702.0,618.0
0.262,461.0,539.0,703.0,620.0
0.282,460.0,538.0,703.0,619.0
0.302,460.0,538.0,702.0,620.0
0.322,459.0,538.0,702.0,619.0
0.342,459.0,539.0,701.0,619.0
0.362,461.0,539.0,704.0,618.0
0.382,460.0,538.0,703.0,619.0
0.402,461.0,538.0,701.0,620.0
0.422,460.0,538.0,702.0,619.0
0.442,460.0,538.0,703.0,620.0
0.462,460.0,537.0,702.0,620.0
0.482,461.0,540.0,704.0,620.0
0.502,461.0,539.0,704.0,621.0
0.522,461.0,538.0,702.0,620.0
0.543,460.0,538.0,702.0,620.0
0.563,460.0,538.0,702.0,618.0
0.583,460.0,539.0,701.0,619.0
0.603,460.0,539.0,704.0,620.0
0.623,462.0,539.0,703.0,620.0
0.643,461.0,539.0,704.0,620.0
0.663,460.0,539.0,703.0,619.0
0.683,461.0,539.0,704.0,621.0
0.703,462.0,540.0,704.0,621.0
0.723,461.0,539.0,703.0,620.0
0.743,460.0,539.0,704.0,620.0
0.763,461.0,540.0,704.0,620.0
0.784,461.0,539.0,704.0,620.0
0.804,461.0,538.0,703.0,621.0
0.824,461.0,539.0,703.0,621.0
0.844,462.0,540.0,703.0,620.0
0.864,461.0,540.0,704.0,621.0
0.884,461.0,540.0,704.0,620.0
0.904,461.0,540.0,704.0,620.0
0.924,461.0,539.0,704.0,620.0
0.944,461.0,540.0,703.0,620.0
0.964,461.0,539.0,704.0,621.0
0.985,461.0,540.0,703.0,620.0
1.005,461.0,540.0,704.0,621.0
1.025,461.0,540.0,704.0,620.0
1.045,461.0,540.0,704.0,621.0
