t,left,right,diff,valid
0.005,513.0,511.0,2.0,1
0.025,513.0,308.0,205.0,1
0.045,534.0,242.0,292.0,1
0.065,566.0,307.0,259.0,1
0.085,598.0,316.0,282.0,1
0.105,598.0,286.0,312.0,1
0.125,548.0,322.0,226.0,1
0.145,541.0,275.0,266.0,1
0.165,532.0,306.0,226.0,1
0.186,513.0,306.0,207.0,1
0.206,596.0,256.0,340.0,1
0.226,595.0,304.0,291.0,1
0.246,596.0,242.0,354.0,1
0.266,512.0,306.0,206.0,1
0.286,533.0,305.0,228.0,1
0.306,564.0,256.0,308.0,1
0.326,596.0,307.0,289.0,1
0.346,613.0,257.0,356.0,1
0.366,581.0,306.0,275.0,1
0.386,497.0,306.0,191.0,1
0.406,533.0,256.0,277.0,1
0.426,531.0,304.0,227.0,1
0.447,596.0,305.0,291.0,1
0.467,596.0,306.0,290.0,1
0.487,644.0,289.0,355.0,1
0.507,514.0,241.0,273.0,1
0.527,533.0,323.0,210.0,1
0.547,496.0,304.0,192.0,1
0.567,598.0,308.0,290.0,1
0.587,615.0,305.0,310.0,1
0.607,643.0,240.0,403.0,1
0.627,532.0,319.0,213.0,1
0.647,534.0,316.0,218.0,1
0.668,533.0,569.0,-36.0,1
0.688,589.0,306.0,283.0,1
0.708,610.0,257.0,353.0,1
0.728,597.0,306.0,291.0,1
0.748,512.0,304.0,208.0,1
0.768,530.0,271.0,259.0,1
0.788,516.0,88.0,428.0,1
0.808,532.0,273.0,259.0,1
0.828,610.0,307.0,303.0,1
0.849,595.0,288.0,307.0,1
0.869,531.0,70.0,461.0,1
0.889,532.0,306.0,226.0,1
0.909,531.0,289.0,242.0,1
0.929,611.0,307.0,304.0,1
0.949,606.0,320.0,286.0,1
0.969,661.0,539.0,122.0,1
0.989,597.0,318.0,279.0,1
1.009,512.0,305.0,207.0,1
1.029,532.0,305.0,227.0,1
1.05,500.0,290.0,210.0,1
1.07,610.0,304.0,306.0,1
1.09,596.0,138.0,458.0,1
1.11,563.0,305.0,258.0,1
1.13,530.0,305.0,225.0,1
1.15,529.0,305.0,224.0,1
1.17,552.0,287.0,265.0,1
1.19,595.0,303.0,292.0,1
1.21,619.0,303.0,316.0,1
1.23,594.0,306.0,288.0,1
1.251,511.0,306.0,205.0,1
1.271,533.0,354.0,179.0,1
1.291,549.0,313.0,236.0,1
1.311,597.0,305.0,292.0,1
1.331,630.0,308.0,322.0,1
1.351,549.0,307.0,242.0,1
1.371,482.0,308.0,174.0,1
1.391,534.0,308.0,226.0,1
1.412,533.0,651.0,-118.0,1
1.432,532.0,305.0,227.0,1
1.452,596.0,306.0,290.0,1
1.472,646.0,307.0,339.0,1
1.492,513.0,305.0,208.0,1
1.512,535.0,305.0,230.0,1
1.532,533.0,303.0,230.0,1
1.552,563.0,305.0,258.0,1
1.572,604.0,306.0,298.0,1
1.592,660.0,289.0,371.0,1
1.612,596.0,306.0,290.0,1
1.632,531.0,305.0,226.0,1
1.653,529.0,70.0,459.0,1
1.673,532.0,306.0,226.0,1
