t,left,right,diff,valid
0.003,17.0,21.0,-4.0,1
0.023,16.0,20.0,-4.0,1
0.043,18.0,21.0,-3.0,1
0.063,17.0,21.0,-4.0,1
0.083,20.0,19.0,1.0,1
0.103,17.0,20.0,-3.0,1
0.123,33.0,21.0,12.0,1
0.143,17.0,34.0,-17.0,1
0.163,25.0,20.0,5.0,1
0.184,17.0,20.0,-3.0,1
0.204,17.0,20.0,-3.0,1
0.224,16.0,20.0,-4.0,1
0.244,25.0,19.0,6.0,1
0.264,17.0,19.0,-2.0,1
0.284,16.0,21.0,-5.0,1
0.304,16.0,20.0,-4.0,1
0.324,16.0,20.0,-4.0,1
0.344,17.0,20.0,-3.0,1
0.364,17.0,21.0,-4.0,1
0.384,16.0,20.0,-4.0,1
0.404,22.0,20.0,2.0,1
0.425,17.0,21.0,-4.0,1
0.445,17.0,20.0,-3.0,1
0.465,17.0,20.0,-3.0,1
0.485,16.0,20.0,-4.0,1
0.505,20.0,20.0,0.0,1
0.525,16.0,20.0,-4.0,1
0.545,17.0,21.0,-4.0,1
0.565,16.0,20.0,-4.0,1
0.585,16.0,20.0,-4.0,1
0.605,40.0,20.0,20.0,1
0.625,17.0,21.0,-4.0,1
0.645,16.0,20.0,-4.0,1
0.666,17.0,32.0,-15.0,1
0.686,17.0,24.0,-7.0,1
0.706,16.0,20.0,-4.0,1
0.726,17.0,20.0,-3.0,1
0.746,18.0,19.0,-1.0,1
0.766,17.0,20.0,-3.0,1
0.786,17.0,20.0,-3.0,1
0.806,18.0,20.0,-2.0,1
0.826,16.0,20.0,-4.0,1
0.846,16.0,20.0,-4.0,1
0.867,19.0,20.0,-1.0,1
0.887,16.0,20.0,-4.0,1
0.907,17.0,20.0,-3.0,1
0.927,17.0,20.0,-3.0,1
0.947,17.0,21.0,-4.0,1
0.967,21.0,20.0,1.0,1
0.987,16.0,21.0,-5.0,1
1.007,17.0,33.0,-16.0,1
1.027,18.0,21.0,-3.0,1
1.047,16.0,20.0,-4.0,1
1.068,16.0,20.0,-4.0,1
1.088,16.0,19.0,-3.0,1
1.108,16.0,21.0,-5.0,1
1.128,17.0,20.0,-3.0,1
1.148,17.0,20.0,-3.0,1
1.168,16.0,20.0,-4.0,1
1.188,16.0,19.0,-3.0,1
1.208,17.0,20.0,-3.0,1
1.228,16.0,20.0,-4.0,1
1.249,17.0,20.0,-3.0,1
1.269,16.0,20.0,-4.0,1
1.289,17.0,20.0,-3.0,1
1.309,19.0,21.0,-2.0,1
1.329,17.0,30.0,-13.0,1
1.349,16.0,33.0,-17.0,1
1.369,16.0,21.0,-5.0,1
1.389,84.0,21.0,63.0,1
1.409,25.0,20.0,5.0,1
1.429,17.0,20.0,-3.0,1
1.45,17.0,20.0,-3.0,1
1.47,16.0,20.0,-4.0,1
1.49,17.0,20.0,-3.0,1
1.51,16.0,19.0,-3.0,1
1.53,17.0,20.0,-3.0,1
1.55,16.0,19.0,-3.0,1
1.57,16.0,20.0,-4.0,1
1.59,17.0,20.0,-3.0,1
1.61,41.0,20.0,21.0,1
1.631,17.0,20.0,-3.0,1
1.651,16.0,29.0,-13.0,1
1.671,17.0,21.0,-4.0,1
1.691,18.0,33.0,-15.0,1
1.711,17.0,21.0,-4.0,1
1.731,17.0,20.0,-3.0,1
1.751,22.0,20.0,2.0,1
1.771,16.0,21.0,-5.0,1
1.791,16.0,20.0,-4.0,1
1.812,17.0,20.0,-3.0,1
1.832,17.0,20.0,-3.0,1
1.852,24.0,20.0,4.0,1
1.872,19.0,19.0,0.0,1
1.892,17.0,19.0,-2.0,1
1.912,17.0,20.0,-3.0,1
1.932,17.0,21.0,-4.0,1
1.952,17.0,20.0,-3.0,1
1.972,19.0,20.0,-1.0,1
1.992,16.0,30.0,-14.0,1
2.013,16.0,22.0,-6.0,1
2.033,17.0,21.0,-4.0,1
2.053,17.0,20.0,-3.0,1
2.073,17.0,20.0,-3.0,1
2.093,16.0,20.0,-4.0,1
2.113,19.0,20.0,-1.0,1
2.133,16.0,21.0,-5.0,1
2.153,17.0,20.0,-3.0,1
2.173,17.0,20.0,-3.0,1
2.194,17.0,21.0,-4.0,1
2.214,24.0,20.0,4.0,1
2.234,17.0,20.0,-3.0,1
2.254,16.0,20.0,-4.0,1
2.274,17.0,20.0,-3.0,1
2.294,17.0,20.0,-3.0,1
2.314,18.0,20.0,-2.0,1
2.334,17.0,20.0,-3.0,1
2.355,17.0,20.0,-3.0,1
2.375,16.0,20.0,-4.0,1
2.395,17.0,19.0,-2.0,1
2.415,16.0,20.0,-4.0,1
2.435,16.0,20.0,-4.0,1
2.456,16.0,20.0,-4.0,1
2.476,16.0,21.0,-5.0,1
2.496,16.0,20.0,-4.0,1
2.516,16.0,20.0,-4.0,1
