t,front,rear,left,right
0.0,338.0,478.0,520.0,503.0
0.02,337.0,479.0,521.0,503.0
0.04,338.0,480.0,521.0,503.0
0.061,337.0,478.0,520.0,502.0
0.081,337.0,477.0,520.0,503.0
0.101,337.0,480.0,521.0,504.0
0.121,338.0,480.0,522.0,503.0
0.141,337.0,479.0,520.0,503.0
0.161,337.0,478.0,520.0,503.0
0.181,337.0,479.0,520.0,503.0
0.201,339.0,480.0,520.0,504.0
0.221,338.0,480.0,522.0,505.0
0.241,338.0,479.0,522.0,504.0
0.261,338.0,480.0,522.0,505.0
0.282,338.0,480.0,522.0,505.0
0.302,337.0,479.0,521.0,504.0
0.322,338.0,480.0,520.0,504.0
0.342,339.0,482.0,523.0,505.0
0.362,338.0,480.0,522.0,504.0
0.382,338.0,480.0,522.0,505.0
0.402,338.0,480.0,522.0,505.0
0.422,338.0,480.0,522.0,505.0
0.442,337.0,480.0,523.0,504.0
0.462,339.0,481.0,523.0,505.0
0.482,338.0,480.0,523.0,505.0
0.502,338.0,481.0,523.0,505.0
0.522,338.0,482.0,522.0,505.0
0.543,337.0,479.0,522.0,505.0
0.563,338.0,480.0,521.0,504.0
0.583,338.0,481.0,522.0,505.0
0.603,339.0,481.0,523.0,506.0
0.623,338.0,482.0,522.0,505.0
0.643,338.0,481.0,523.0,506.0
0.663,338.0,481.0,522.0,505.0
0.683,338.0,481.0,522.0,505.0
0.703,338.0,481.0,523.0,505.0
0.723,338.0,480.0,522.0,505.0
0.743,339.0,481.0,523.0,505.0
0.763,338.0,480.0,522.0,505.0
0.784,338.0,480.0,523.0,505.0
0.804,337.0,480.0,522.0,505.0
0.824,338.0,480.0,522.0,504.0
0.844,339.0,480.0,522.0,505.0
0.864,339.0,480.0,523.0,505.0
0.884,338.0,481.0,522.0,505.0
0.904,338.0,480.0,522.0,505.0
0.924,338.0,479.0,522.0,504.0
0.944,339.0,481.0,523.0,505.0
0.964,338.0,481.0,522.0,505.0
0.985,339.0,481.0,522.0,505.0
1.005,338.0,481.0,522.0,506.0
1.025,338.0,481.0,523.0,505.0
1.045,338.0,480.0,522.0,505.0
1.065,338.0,481.0,523.0,504.0
1.085,338.0,480.0,523.0,505.0
1.105,339.0,481.0,522.0,505.0
1.125,339.0,481.0,523.0,506.0
1.145,338.0,481.0,523.0,506.0
1.165,338.0,480.0,524.0,505.0
1.185,339.0,481.0,523.0,505.0
1.206,338.0,481.0,523.0,505.0
1.226,338.0,481.0,524.0,505.0
1.246,337.0,481.0,523.0,505.0
1.266,339.0,480.0,523.0,505.0
1.286,338.0,481.0,523.0,505.0
1.306,338.0,481.0,523.0,505.0
1.326,339.0,481.0,523.0,505.0
1.346,338.0,481.0,523.0,505.0
1.366,338.0,480.0,523.0,505.0
1.386,338.0,481.0,523.0,505.0
1.407,338.0,480.0,524.0,505.0
1.427,337.0,480.0,524.0,505.0
1.447,338.0,481.0,525.0,506.0
1.467,338.0,480.0,524.0,506.0
1.487,338.0,480.0,523.0,505.0
1.507,338.0,480.0,524.0,505.0
1.527,338.0,480.0,523.0,505.0
1.547,338.0,481.0,524.0,505.0
1.567,338.0,480.0,524.0,505.0
1.587,339.0,481.0,524.0,505.0
1.608,338.0,481.0,524.0,505.0
1.628,338.0,480.0,524.0,505.0
1.648,337.0,480.0,524.0,505.0
1.668,339.0,481.0,524.0,505.0
1.688,338.0,481.0,524.0,504.0
1.708,338.0,480.0,525.0,505.0
1.728,338.0,481.0,525.0,505.0
1.748,337.0,480.0,523.0,505.0
1.768,338.0,480.0,524.0,505.0
1.788,339.0,481.0,524.0,503.0
1.809,338.0,480.0,524.0,505.0
1.829,338.0,481.0,524.0,505.0
1.849,338.0,481.0,525.0,506.0
