t,front,rear,left,right
0.0,382.0,511.0,575.0,508.0
0.02,382.0,511.0,576.0,509.0
0.041,382.0,512.0,576.0,508.0
0.061,381.0,510.0,574.0,507.0
0.081,380.0,510.0,574.0,506.0
0.101,380.0,510.0,574.0,507.0
0.121,381.0,511.0,576.0,508.0
0.141,382.0,512.0,577.0,509.0
0.161,382.0,512.0,577.0,509.0
0.181,382.0,511.0,576.0,509.0
0.201,381.0,511.0,576.0,508.0
0.221,383.0,512.0,578.0,508.0
0.241,383.0,512.0,577.0,509.0
0.261,383.0,512.0,577.0,508.0
0.281,382.0,511.0,576.0,509.0
0.302,382.0,511.0,576.0,508.0
0.322,382.0,512.0,577.0,509.0
0.342,382.0,512.0,577.0,509.0
0.362,382.0,512.0,577.0,509.0
0.382,382.0,512.0,577.0,509.0
0.402,382.0,512.0,576.0,509.0
0.422,382.0,513.0,576.0,509.0
0.442,381.0,513.0,577.0,509.0
0.462,383.0,513.0,577.0,509.0
0.482,382.0,512.0,576.0,508.0
0.502,382.0,513.0,577.0,509.0
0.522,382.0,512.0,577.0,509.0
0.542,383.0,513.0,578.0,509.0
0.563,384.0,512.0,579.0,510.0
0.583,383.0,512.0,576.0,509.0
0.603,382.0,512.0,576.0,508.0
0.623,382.0,512.0,577.0,509.0
0.643,382.0,512.0,577.0,509.0
0.663,383.0,512.0,578.0,509.0
0.683,382.0,513.0,577.0,507.0
0.703,383.0,512.0,578.0,509.0
0.723,383.0,513.0,578.0,509.0
0.743,382.0,513.0,578.0,509.0
0.763,382.0,513.0,577.0,509.0
0.784,382.0,512.0,578.0,509.0
0.804,383.0,512.0,578.0,508.0
0.824,383.0,513.0,577.0,509.0
0.844,382.0,512.0,577.0,508.0
0.864,382.0,512.0,577.0,508.0
0.884,382.0,512.0,577.0,507.0
0.904,383.0,513.0,578.0,509.0
0.924,383.0,513.0,577.0,508.0
0.944,383.0,513.0,577.0,509.0
0.964,384.0,512.0,578.0,510.0
0.985,384.0,513.0,578.0,509.0
1.005,383.0,513.0,577.0,509.0
1.025,384.0,513.0,578.0,509.0
1.045,383.0,513.0,578.0,509.0
1.065,383.0,513.0,577.0,508.0
1.085,382.0,512.0,577.0,508.0
1.105,383.0,513.0,577.0,509.0
1.125,383.0,513.0,578.0,507.0
1.145,383.0,513.0,578.0,508.0
1.165,383.0,512.0,578.0,509.0
1.186,382.0,512.0,577.0,508.0
1.206,383.0,512.0,578.0,508.0
1.226,383.0,513.0,578.0,508.0
1.246,383.0,512.0,577.0,508.0
1.266,383.0,513.0,577.0,507.0
1.286,383.0,513.0,578.0,509.0
1.306,383.0,513.0,578.0,508.0
1.326,383.0,513.0,577.0,508.0
1.346,382.0,513.0,577.0,508.0
1.366,382.0,512.0,577.0,508.0
1.386,383.0,512.0,578.0,508.0
1.407,383.0,512.0,578.0,508.0
1.427,383.0,513.0,577.0,508.0
1.447,383.0,513.0,578.0,508.0
1.467,383.0,513.0,578.0,508.0
1.487,382.0,513.0,578.0,508.0
1.507,382.0,513.0,577.0,508.0
1.527,383.0,513.0,578.0,509.0
1.547,383.0,513.0,578.0,508.0
1.567,383.0,512.0,578.0,508.0
1.587,383.0,513.0,578.0,509.0
1.608,383.0,513.0,577.0,509.0
1.628,382.0,513.0,577.0,508.0
1.648,383.0,511.0,577.0,508.0
1.668,382.0,513.0,577.0,508.0
1.688,383.0,512.0,577.0,508.0
1.708,383.0,513.0,578.0,508.0
1.728,383.0,513.0,578.0,509.0
1.748,383.0,513.0,578.0,507.0
1.768,383.0,513.0,577.0,508.0
1.788,382.0,513.0,577.0,507.0
1.809,382.0,512.0,577.0,507.0
1.829,383.0,513.0,577.0,508.0
1.849,384.0,512.0,578.0,508.0
1.869,383.0,513.0,578.0,508.0
1.889,383.0,513.0,578.0,507.0
1.909,383.0,512.0,578.0,507.0
1.929,383.0,513.0,578.0,507.0
1.949,382.0,512.0,577.0,507.0
1.969,384.0,513.0,578.0,507.0
1.989,383.0,512.0,577.0,507.0
2.009,382.0,512.0,578.0,506.0
2.03,382.0,513.0,577.0,507.0
2.05,383.0,513.0,578.0,507.0
2.07,382.0,513.0,577.0,505.0
2.09,383.0,513.0,578.0,508.0
2.11,382.0,512.0,577.0,507.0
2.13,383.0,513.0,577.0,507.0
2.15,382.0,512.0,577.0,507.0
2.17,383.0,512.0,577.0,507.0
2.19,384.0,514.0,578.0,509.0
