t,front,rear,left,right
0.001,1112.0,1145.0,716.0,1764.0
0.021,1113.0,1147.0,719.0,1767.0
0.042,1114.0,1147.0,718.0,1766.0
0.063,1110.0,1144.0,716.0,1762.0
0.083,1110.0,1143.0,715.0,1762.0
0.104,1112.0,1145.0,717.0,1764.0
0.124,1115.0,1149.0,718.0,1768.0
0.145,1113.0,1147.0,718.0,1766.0
0.165,1113.0,1148.0,718.0,1766.0
0.186,1114.0,1148.0,719.0,1767.0
0.206,1113.0,1148.0,717.0,1765.0
0.227,1113.0,1147.0,718.0,1766.0
0.247,1113.0,1147.0,717.0,1765.0
0.267,1113.0,1147.0,718.0,1765.0
0.288,1114.0,1148.0,719.0,1767.0
0.308,1115.0,1148.0,720.0,1768.0
0.329,1113.0,1147.0,718.0,1766.0
0.349,1113.0,1148.0,718.0,1767.0
0.37,1114.0,1148.0,718.0,1768.0
0.39,1113.0,1149.0,719.0,1767.0
0.411,1113.0,1147.0,718.0,1765.0
0.431,1114.0,1147.0,718.0,1768.0
0.452,1113.0,1147.0,717.0,1766.0
0.472,1113.0,1148.0,718.0,1766.0
0.492,1112.0,1147.0,717.0,1764.0
0.513,1112.0,1146.0,717.0,1764.0
0.533,1114.0,1147.0,719.0,1766.0
0.554,1115.0,1149.0,719.0,1768.0
0.574,1116.0,1150.0,719.0,1767.0
0.595,1113.0,1148.0,718.0,1766.0
0.615,1114.0,1147.0,720.0,1767.0
0.636,1115.0,1148.0,718.0,1768.0
0.657,1114.0,1149.0,719.0,1768.0
0.677,1115.0,1149.0,719.0,1768.0
0.698,1115.0,1148.0,718.0,1767.0
0.719,1114.0,1148.0,719.0,1766.0
0.739,1114.0,1148.0,718.0,1767.0
0.76,1114.0,1148.0,718.0,1767.0
0.781,1114.0,1148.0,719.0,1767.0
0.801,1114.0,1148.0,718.0,1767.0
0.822,1112.0,1146.0,717.0,1764.0
0.843,1114.0,1148.0,719.0,1766.0
0.864,1114.0,1148.0,718.0,1766.0
0.884,1113.0,1147.0,718.0,1766.0
0.905,1114.0,1147.0,718.0,1766.0
0.926,1112.0,1146.0,717.0,1764.0
0.947,1112.0,1146.0,717.0,1764.0
0.968,1113.0,1146.0,717.0,1765.0
0.988,1113.0,1146.0,717.0,1766.0
1.009,1111.0,1145.0,716.0,1762.0
1.031,1110.0,1144.0,715.0,1760.0
1.051,1110.0,1144.0,715.0,1760.0
1.085,1108.0,1142.0,714.0,1760.0
1.106,1109.0,1143.0,714.0,1760.0
1.126,1111.0,1144.0,715.0,1763.0
1.147,1109.0,1144.0,715.0,1760.0
1.167,1110.0,1144.0,716.0,1761.0
1.188,1110.0,1144.0,716.0,1762.0
1.209,1110.0,1144.0,715.0,1762.0
1.229,1110.0,1145.0,716.0,1763.0
1.251,1112.0,1146.0,717.0,1765.0
1.272,1113.0,1148.0,718.0,1766.0
1.292,1110.0,1143.0,715.0,1760.0
1.313,1111.0,1144.0,716.0,1762.0
1.333,1110.0,1144.0,716.0,1763.0
1.354,1112.0,1146.0,717.0,1764.0
1.375,1111.0,1146.0,716.0,1762.0
1.396,1109.0,1142.0,714.0,1759.0
1.416,1112.0,1145.0,716.0,1763.0
1.437,1111.0,1145.0,715.0,1762.0
1.458,1111.0,1144.0,715.0,1762.0
1.478,1114.0,1148.0,718.0,1766.0
1.499,1115.0,1148.0,719.0,1767.0
1.519,1114.0,1149.0,719.0,1768.0
1.54,1113.0,1148.0,719.0,1767.0
1.56,1114.0,1148.0,718.0,1767.0
1.581,1114.0,1149.0,720.0,1768.0
1.601,1114.0,1147.0,717.0,1766.0
1.622,1113.0,1148.0,718.0,1766.0
1.642,1114.0,1148.0,718.0,1767.0
1.663,1114.0,1148.0,719.0,1766.0
1.683,1114.0,1148.0,718.0,1767.0
1.704,1114.0,1149.0,720.0,1767.0
1.724,1112.0,1146.0,717.0,1763.0
1.745,1114.0,1149.0,718.0,1768.0
1.765,1114.0,1148.0,718.0,1768.0
1.786,1113.0,1147.0,718.0,1765.0
1.807,1113.0,1147.0,718.0,1765.0
1.827,1114.0,1146.0,718.0,1768.0
1.848,1115.0,1149.0,719.0,1768.0
1.869,1115.0,1149.0,719.0,1768.0
1.889,1115.0,1149.0,720.0,1769.0
1.91,1114.0,1148.0,718.0,1767.0
1.931,1115.0,1149.0,719.0,1768.0
1.952,1114.0,1149.0,719.0,1768.0
1.973,1115.0,1149.0,719.0,1768.0
1.993,1115.0,1148.0,719.0,1768.0
2.014,1114.0,1148.0,718.0,1767.0
2.035,1115.0,1149.0,719.0,1767.0
2.056,1114.0,1148.0,718.0,1767.0
2.077,1113.0,1146.0,717.0,1765.0
2.098,1115.0,1149.0,719.0,1768.0
2.119,1112.0,1146.0,717.0,1764.0
2.14,1112.0,1147.0,717.0,1765.0
2.161,1114.0,1148.0,718.0,1767.0
2.181,1114.0,1148.0,718.0,1768.0
2.202,1115.0,1149.0,719.0,1768.0
2.223,1114.0,1149.0,719.0,1767.0
2.244,1114.0,1148.0,718.0,1768.0
2.264,1115.0,1149.0,718.0,1767.0
2.285,1114.0,1149.0,719.0,1768.0
2.306,1115.0,1150.0,719.0,1769.0
2.326,1113.0,1149.0,718.0,1765.0
2.347,1114.0,1149.0,719.0,1768.0
2.368,1114.0,1149.0,719.0,1767.0
2.388,1115.0,1148.0,719.0,1768.0
2.409,1114.0,1148.0,719.0,1768.0
2.43,1113.0,1148.0,718.0,1766.0
2.451,1114.0,1148.0,719.0,1767.0
2.472,1114.0,1148.0,719.0,1768.0
2.492,1116.0,1150.0,720.0,1768.0
2.513,1114.0,1149.0,718.0,1768.0
2.534,1114.0,1149.0,718.0,1768.0
2.555,1115.0,1149.0,719.0,1768.0
2.575,1116.0,1149.0,718.0,1767.0
2.596,1113.0,1148.0,718.0,1766.0
2.617,1113.0,1147.0,718.0,1766.0
2.638,1115.0,1150.0,719.0,1768.0
2.658,1114.0,1148.0,718.0,1766.0
2.679,1114.0,1149.0,719.0,1768.0
2.7,1114.0,1148.0,718.0,1767.0
2.721,1114.0,1148.0,719.0,1767.0
2.741,1114.0,1148.0,719.0,1767.0
2.762,1114.0,1148.0,718.0,1766.0
2.783,1113.0,1148.0,720.0,1767.0
2.804,1113.0,1147.0,718.0,1766.0
2.824,1114.0,1149.0,719.0,1768.0
2.845,1114.0,1147.0,718.0,1765.0
2.866,1114.0,1148.0,718.0,1767.0
2.886,1115.0,1149.0,719.0,1768.0
2.908,1114.0,1148.0,718.0,1767.0
2.928,1114.0,1148.0,719.0,1768.0
2.949,1115.0,1148.0,719.0,1768.0
2.97,1115.0,1148.0,718.0,1768.0
2.991,1113.0,1148.0,718.0,1767.0
3.012,1113.0,1147.0,717.0,1765.0
3.032,1114.0,1148.0,719.0,1768.0
3.053,1114.0,1148.0,718.0,1765.0
3.074,1114.0,1149.0,719.0,1768.0
3.095,1115.0,1149.0,719.0,1768.0
3.116,1113.0,1148.0,716.0,1766.0
3.137,1114.0,1149.0,718.0,1767.0
3.158,1112.0,1146.0,717.0,1765.0
3.179,1111.0,1145.0,717.0,1764.0
3.2,1112.0,1146.0,716.0,1764.0
3.221,1114.0,1148.0,719.0,1767.0
3.242,1114.0,1148.0,717.0,1765.0
3.262,1114.0,1148.0,718.0,1767.0
3.282,1114.0,1148.0,718.0,1767.0
3.303,1113.0,1148.0,718.0,1766.0
3.324,1112.0,1147.0,717.0,1765.0
3.344,1113.0,1148.0,719.0,1767.0
3.365,1114.0,1148.0,719.0,1766.0
3.385,1112.0,1146.0,717.0,1764.0
3.405,1112.0,1147.0,717.0,1765.0
3.426,1115.0,1149.0,719.0,1769.0
3.446,1113.0,1148.0,718.0,1766.0
3.467,1114.0,1148.0,718.0,1766.0
3.487,1114.0,1149.0,718.0,1768.0
3.508,1113.0,1148.0,719.0,1766.0
3.528,1112.0,1146.0,717.0,1764.0
3.549,1114.0,1148.0,718.0,1767.0
3.569,1115.0,1149.0,719.0,1768.0
3.59,1111.0,1145.0,716.0,1763.0
3.61,1113.0,1146.0,718.0,1766.0
3.631,1114.0,1147.0,718.0,1767.0
3.651,1115.0,1148.0,720.0,1768.0
3.672,1113.0,1147.0,718.0,1765.0
3.692,1114.0,1149.0,718.0,1768.0
3.713,1113.0,1147.0,718.0,1766.0
3.733,1114.0,1147.0,718.0,1766.0
3.753,1114.0,1147.0,718.0,1766.0
3.774,1115.0,1148.0,718.0,1769.0
3.794,1111.0,1144.0,717.0,1764.0
3.815,1113.0,1146.0,717.0,1765.0
3.835,1112.0,1146.0,716.0,1764.0
3.856,1113.0,1146.0,718.0,1765.0
3.876,1112.0,1146.0,715.0,1765.0
3.897,1113.0,1147.0,718.0,1766.0
3.917,1116.0,1149.0,719.0,1769.0
3.938,1113.0,1147.0,718.0,1767.0
3.959,1115.0,1149.0,719.0,1769.0
3.979,1115.0,1150.0,718.0,1768.0
4.0,1115.0,1149.0,720.0,1768.0
4.021,1115.0,1149.0,719.0,1768.0
4.042,1116.0,1150.0,720.0,1769.0
4.063,1114.0,1148.0,718.0,1768.0
4.083,1114.0,1148.0,718.0,1767.0
4.104,1115.0,1149.0,718.0,1768.0
4.125,1115.0,1149.0,718.0,1768.0
