t,front,rear,left,right
0.001,1113.0,1153.0,852.0,1597.0
0.021,1113.0,1154.0,855.0,1600.0
0.042,1116.0,1156.0,854.0,1602.0
0.062,1113.0,1153.0,852.0,1597.0
0.083,1111.0,1152.0,851.0,1595.0
0.103,1116.0,1156.0,855.0,1600.0
0.124,1115.0,1155.0,854.0,1601.0
0.145,1117.0,1157.0,856.0,1602.0
0.165,1116.0,1157.0,856.0,1602.0
0.186,1116.0,1156.0,854.0,1600.0
0.206,1117.0,1157.0,856.0,1602.0
0.227,1116.0,1157.0,856.0,1602.0
0.247,1117.0,1156.0,854.0,1603.0
0.267,1116.0,1156.0,855.0,1600.0
0.288,1116.0,1156.0,857.0,1602.0
0.309,1116.0,1156.0,856.0,1602.0
0.329,1117.0,1157.0,856.0,1602.0
0.35,1116.0,1156.0,855.0,1601.0
0.37,1117.0,1157.0,855.0,1602.0
0.39,1115.0,1154.0,853.0,1599.0
0.411,1116.0,1156.0,856.0,1602.0
0.431,1115.0,1155.0,855.0,1600.0
0.452,1116.0,1157.0,855.0,1601.0
0.472,1116.0,1155.0,855.0,1602.0
0.493,1117.0,1157.0,856.0,1601.0
0.513,1116.0,1156.0,856.0,1601.0
0.534,1117.0,1157.0,854.0,1603.0
0.554,1116.0,1157.0,856.0,1603.0
0.575,1117.0,1157.0,856.0,1604.0
0.596,1116.0,1156.0,855.0,1601.0
0.616,1116.0,1157.0,856.0,1602.0
0.637,1117.0,1158.0,857.0,1604.0
0.658,1116.0,1157.0,856.0,1601.0
0.679,1116.0,1155.0,855.0,1602.0
0.7,1117.0,1158.0,856.0,1604.0
0.72,1117.0,1158.0,856.0,1604.0
0.741,1116.0,1157.0,855.0,1601.0
0.762,1117.0,1158.0,856.0,1602.0
0.783,1117.0,1157.0,856.0,1602.0
0.803,1116.0,1157.0,856.0,1602.0
0.824,1118.0,1157.0,856.0,1602.0
0.845,1117.0,1158.0,856.0,1603.0
0.866,1117.0,1158.0,855.0,1604.0
0.886,1116.0,1157.0,855.0,1601.0
0.907,1118.0,1158.0,857.0,1603.0
0.928,1117.0,1157.0,856.0,1602.0
0.949,1114.0,1154.0,854.0,1599.0
0.97,1117.0,1157.0,856.0,1603.0
0.99,1116.0,1157.0,855.0,1602.0
1.011,1115.0,1157.0,855.0,1602.0
1.032,1115.0,1156.0,855.0,1600.0
1.053,1117.0,1157.0,856.0,1603.0
1.074,1115.0,1155.0,854.0,1600.0
1.095,1115.0,1155.0,855.0,1601.0
1.115,1110.0,1152.0,850.0,1594.0
