t,front,rear,left,right
0.001,1140.0,1169.0,749.0,1785.0
0.021,1143.0,1171.0,752.0,1789.0
0.042,1141.0,1170.0,750.0,1787.0
0.063,1140.0,1169.0,749.0,1785.0
0.084,1139.0,1168.0,748.0,1785.0
0.104,1141.0,1171.0,750.0,1786.0
0.125,1142.0,1171.0,752.0,1789.0
0.146,1142.0,1171.0,751.0,1788.0
0.166,1140.0,1170.0,750.0,1786.0
0.187,1142.0,1172.0,751.0,1787.0
0.207,1140.0,1170.0,750.0,1786.0
0.228,1140.0,1168.0,749.0,1785.0
0.249,1143.0,1172.0,753.0,1792.0
0.269,1142.0,1172.0,752.0,1790.0
0.29,1140.0,1169.0,749.0,1786.0
0.311,1142.0,1170.0,751.0,1788.0
0.331,1142.0,1171.0,752.0,1788.0
0.352,1140.0,1170.0,751.0,1788.0
0.373,1141.0,1170.0,749.0,1787.0
0.393,1143.0,1173.0,752.0,1790.0
0.414,1143.0,1173.0,753.0,1790.0
0.434,1143.0,1172.0,751.0,1789.0
0.455,1141.0,1170.0,751.0,1788.0
0.475,1145.0,1175.0,754.0,1793.0
0.496,1143.0,1173.0,753.0,1790.0
0.516,1145.0,1175.0,753.0,1793.0
0.537,1145.0,1174.0,754.0,1792.0
0.557,1145.0,1174.0,753.0,1794.0
0.578,1145.0,1174.0,753.0,1792.0
0.598,1144.0,1173.0,753.0,1792.0
0.619,1144.0,1173.0,754.0,1792.0
0.639,1144.0,1173.0,754.0,1792.0
0.66,1144.0,1174.0,753.0,1792.0
0.68,1145.0,1174.0,754.0,1793.0
0.701,1144.0,1173.0,753.0,1792.0
0.721,1145.0,1175.0,754.0,1793.0
0.742,1146.0,1175.0,753.0,1794.0
0.762,1144.0,1173.0,753.0,1792.0
0.782,1145.0,1174.0,754.0,1793.0
0.803,1145.0,1174.0,753.0,1793.0
0.823,1145.0,1174.0,754.0,1793.0
0.844,1144.0,1175.0,753.0,1791.0
0.864,1142.0,1173.0,753.0,1792.0
0.885,1146.0,1175.0,754.0,1793.0
0.905,1144.0,1174.0,753.0,1792.0
0.926,1145.0,1174.0,754.0,1794.0
0.946,1145.0,1174.0,754.0,1793.0
0.967,1145.0,1175.0,754.0,1793.0
0.987,1145.0,1176.0,753.0,1794.0
1.007,1144.0,1173.0,753.0,1792.0
1.028,1144.0,1173.0,753.0,1792.0
1.049,1145.0,1174.0,754.0,1793.0
1.069,1142.0,1171.0,751.0,1789.0
