t,front,rear,left,right
0.0,768.0,1114.0,1153.0,935.0
0.02,768.0,1115.0,1153.0,936.0
0.041,768.0,1114.0,1153.0,936.0
0.061,766.0,1113.0,1152.0,934.0
0.081,766.0,1113.0,1149.0,933.0
0.101,765.0,1110.0,1150.0,933.0
0.121,768.0,1115.0,1154.0,937.0
0.141,768.0,1116.0,1155.0,938.0
0.161,769.0,1117.0,1155.0,938.0
0.181,768.0,1117.0,1155.0,938.0
0.201,769.0,1117.0,1154.0,936.0
0.221,768.0,1116.0,1154.0,937.0
0.242,770.0,1119.0,1156.0,936.0
0.262,770.0,1118.0,1157.0,938.0
0.282,769.0,1118.0,1156.0,939.0
0.302,769.0,1116.0,1155.0,938.0
0.322,769.0,1116.0,1155.0,938.0
0.342,769.0,1116.0,1155.0,938.0
0.362,768.0,1116.0,1154.0,936.0
0.382,769.0,1117.0,1155.0,938.0
0.402,770.0,1119.0,1156.0,939.0
0.422,770.0,1118.0,1157.0,940.0
0.442,770.0,1118.0,1156.0,940.0
0.462,769.0,1118.0,1155.0,938.0
0.482,770.0,1118.0,1156.0,939.0
0.502,768.0,1116.0,1155.0,938.0
0.523,769.0,1115.0,1154.0,937.0
0.543,769.0,1118.0,1154.0,937.0
0.563,769.0,1117.0,1155.0,936.0
0.583,769.0,1117.0,1155.0,938.0
0.603,770.0,1118.0,1156.0,938.0
0.623,769.0,1117.0,1155.0,938.0
0.643,769.0,1117.0,1155.0,939.0
0.663,769.0,1118.0,1156.0,938.0
0.683,769.0,1118.0,1156.0,939.0
0.703,770.0,1118.0,1156.0,939.0
0.723,770.0,1117.0,1155.0,939.0
0.744,770.0,1118.0,1156.0,938.0
0.764,770.0,1118.0,1155.0,938.0
0.784,769.0,1117.0,1156.0,939.0
0.804,770.0,1117.0,1157.0,939.0
0.824,770.0,1119.0,1157.0,939.0
0.844,770.0,1120.0,1156.0,940.0
0.864,770.0,1117.0,1156.0,939.0
0.884,768.0,1117.0,1155.0,937.0
0.904,769.0,1118.0,1155.0,937.0
0.924,769.0,1118.0,1156.0,938.0
0.945,769.0,1117.0,1155.0,937.0
0.965,768.0,1116.0,1154.0,937.0
0.985,768.0,1114.0,1152.0,935.0
1.005,768.0,1114.0,1153.0,936.0
1.025,767.0,1114.0,1152.0,934.0
1.045,768.0,1114.0,1153.0,935.0
1.065,767.0,1115.0,1153.0,936.0
1.085,768.0,1115.0,1153.0,934.0
1.105,767.0,1113.0,1152.0,934.0
1.125,768.0,1115.0,1153.0,935.0
1.145,767.0,1114.0,1152.0,934.0
1.166,768.0,1115.0,1153.0,935.0
1.186,767.0,1114.0,1152.0,936.0
1.207,765.0,1110.0,1150.0,933.0
1.227,765.0,1112.0,1152.0,934.0
1.247,767.0,1114.0,1150.0,934.0
1.267,766.0,1114.0,1152.0,935.0
1.287,767.0,1114.0,1152.0,935.0
