t,left,right,diff,valid
0.0,1348.0,1361.0,-13.0,1
0.02,1336.0,1368.0,-32.0,1
0.041,1336.0,1362.0,-26.0,1
0.061,1337.0,1362.0,-25.0,1
0.081,1352.0,1346.0,6.0,1
0.101,1364.0,1346.0,18.0,1
0.121,1349.0,1369.0,-20.0,1
0.141,1337.0,1347.0,-10.0,1
0.161,1336.0,1362.0,-26.0,1
0.181,1350.0,1361.0,-11.0,1
0.201,1336.0,1360.0,-24.0,1
0.221,1348.0,1362.0,-14.0,1
0.241,1351.0,1362.0,-11.0,1
0.261,1337.0,1362.0,-25.0,1
0.281,1347.0,1332.0,15.0,1
0.302,1334.0,1363.0,-29.0,1
0.322,1351.0,1363.0,-12.0,1
0.342,1353.0,1353.0,0.0,1
0.362,1353.0,1363.0,-10.0,1
0.382,1350.0,1362.0,-12.0,1
0.402,1336.0,1348.0,-12.0,1
0.422,1336.0,1367.0,-31.0,1
0.442,1337.0,1362.0,-25.0,1
0.462,1337.0,1362.0,-25.0,1
0.482,1350.0,1362.0,-12.0,1
0.502,1352.0,1364.0,-12.0,1
0.522,1351.0,1362.0,-11.0,1
0.542,1352.0,1345.0,7.0,1
0.562,1363.0,1363.0,0.0,1
0.583,1333.0,1363.0,-30.0,1
0.603,1350.0,1364.0,-14.0,1
0.623,1336.0,1362.0,-26.0,1
0.643,1337.0,1363.0,-26.0,1
0.663,1336.0,1362.0,-26.0,1
0.683,1353.0,1362.0,-9.0,1
0.703,1334.0,1360.0,-26.0,1
0.723,1337.0,1363.0,-26.0,1
0.743,1336.0,1362.0,-26.0,1
0.763,1351.0,1363.0,-12.0,1
0.783,1347.0,1362.0,-15.0,1
0.804,1351.0,1363.0,-12.0,1
0.824,1336.0,1362.0,-26.0,1
0.844,1337.0,1368.0,-31.0,1
0.864,1335.0,1362.0,-27.0,1
0.884,1336.0,1362.0,-26.0,1
0.904,1337.0,1363.0,-26.0,1
0.924,1336.0,1363.0,-27.0,1
0.944,1350.0,1361.0,-11.0,1
0.964,1349.0,1363.0,-14.0,1
0.984,1351.0,1364.0,-13.0,1
1.004,1352.0,1363.0,-11.0,1
1.025,1337.0,1361.0,-24.0,1
1.045,1334.0,1360.0,-26.0,1
1.065,1349.0,1363.0,-14.0,1
1.085,1335.0,1362.0,-27.0,1
1.105,1352.0,1361.0,-9.0,1
1.125,1337.0,1362.0,-25.0,1
1.145,1336.0,1362.0,-26.0,1
1.165,1363.0,1364.0,-1.0,1
1.185,1336.0,1362.0,-26.0,1
1.205,1351.0,1361.0,-10.0,1
1.226,1336.0,1363.0,-27.0,1
1.246,1336.0,1363.0,-27.0,1
1.266,1350.0,1361.0,-11.0,1
1.286,1336.0,1368.0,-32.0,1
1.306,1352.0,1346.0,6.0,1
1.326,1348.0,1362.0,-14.0,1
1.346,1334.0,1363.0,-29.0,1
1.366,1350.0,1346.0,4.0,1
1.386,1337.0,1361.0,-24.0,1
1.406,1337.0,1363.0,-26.0,1
1.427,1355.0,1363.0,-8.0,1
1.447,1334.0,1362.0,-28.0,1
1.467,1334.0,1361.0,-27.0,1
1.487,1352.0,1363.0,-11.0,1
