t,left,right,diff,valid
0.003,711.0,239.0,472.0,1
0.023,709.0,274.0,435.0,1
0.043,660.0,225.0,435.0,1
0.063,646.0,280.0,366.0,1
0.083,646.0,274.0,372.0,1
0.103,709.0,47.0,662.0,1
0.123,724.0,273.0,451.0,1
0.144,709.0,242.0,467.0,1
0.164,645.0,274.0,371.0,1
0.184,645.0,274.0,371.0,1
0.204,646.0,472.0,174.0,1
0.224,646.0,272.0,374.0,1
0.244,709.0,209.0,500.0,1
0.264,709.0,273.0,436.0,1
0.284,678.0,274.0,404.0,1
0.304,644.0,238.0,406.0,1
0.324,661.0,282.0,379.0,1
0.344,646.0,241.0,405.0,1
0.365,710.0,275.0,435.0,1
0.385,708.0,274.0,434.0,1
0.405,725.0,208.0,517.0,1
0.425,644.0,273.0,371.0,1
0.445,644.0,272.0,372.0,1
0.465,644.0,273.0,371.0,1
0.485,708.0,274.0,434.0,1
0.505,715.0,224.0,491.0,1
0.525,709.0,287.0,422.0,1
0.545,647.0,288.0,359.0,1
0.565,646.0,273.0,373.0,1
0.585,645.0,275.0,370.0,1
0.606,710.0,28.0,682.0,1
0.626,709.0,274.0,435.0,1
0.646,724.0,272.0,452.0,1
0.666,663.0,28.0,635.0,1
0.686,643.0,273.0,370.0,1
0.706,643.0,224.0,419.0,1
0.726,644.0,272.0,372.0,1
0.746,707.0,272.0,435.0,1
0.766,707.0,240.0,467.0,1
0.787,661.0,273.0,388.0,1
0.807,644.0,225.0,419.0,1
0.827,669.0,275.0,394.0,1
0.847,643.0,277.0,366.0,1
0.867,692.0,221.0,471.0,1
0.887,724.0,272.0,452.0,1
0.907,709.0,224.0,485.0,1
0.927,650.0,275.0,375.0,1
0.948,661.0,273.0,388.0,1
0.968,645.0,229.0,416.0,1
0.988,726.0,285.0,441.0,1
1.008,708.0,224.0,484.0,1
1.028,709.0,274.0,435.0,1
1.048,661.0,275.0,386.0,1
1.068,644.0,207.0,437.0,1
1.088,652.0,271.0,381.0,1
1.108,645.0,209.0,436.0,1
1.129,707.0,274.0,433.0,1
1.149,723.0,274.0,449.0,1
1.169,645.0,223.0,422.0,1
1.189,659.0,273.0,386.0,1
1.209,643.0,271.0,372.0,1
1.229,692.0,274.0,418.0,1
1.249,708.0,273.0,435.0,1
1.269,724.0,223.0,501.0,1
1.289,707.0,270.0,437.0,1
1.31,660.0,271.0,389.0,1
1.33,660.0,275.0,385.0,1
1.35,645.0,274.0,371.0,1
1.37,712.0,571.0,141.0,1
1.39,711.0,288.0,423.0,1
1.41,677.0,273.0,404.0,1
1.43,645.0,241.0,404.0,1
1.45,660.0,274.0,386.0,1
1.47,645.0,504.0,141.0,1
1.491,645.0,123.0,522.0,1
1.511,725.0,273.0,452.0,1
1.531,708.0,240.0,468.0,1
1.551,659.0,274.0,385.0,1
1.571,643.0,224.0,419.0,1
1.591,644.0,274.0,370.0,1
1.611,691.0,70.0,621.0,1
1.631,691.0,222.0,469.0,1
1.652,707.0,272.0,435.0,1
1.672,644.0,223.0,421.0,1
1.692,662.0,275.0,387.0,1
1.712,644.0,273.0,371.0,1
1.732,647.0,222.0,425.0,1
1.752,708.0,271.0,437.0,1
1.772,692.0,224.0,468.0,1
1.793,665.0,279.0,386.0,1
1.813,662.0,285.0,377.0,1
1.833,645.0,253.0,392.0,1
1.853,645.0,273.0,372.0,1
1.873,708.0,88.0,620.0,1
1.893,716.0,274.0,442.0,1
1.913,707.0,273.0,434.0,1
1.933,644.0,256.0,388.0,1
1.953,661.0,273.0,388.0,1
