t,left,right,diff,valid
0.003,1312.0,1070.0,242.0,1
0.023,1314.0,1293.0,21.0,1
0.043,1315.0,1274.0,41.0,1
0.063,1316.0,1067.0,249.0,1
0.083,1312.0,1065.0,247.0,1
0.103,1313.0,1069.0,244.0,1
0.123,1313.0,1085.0,228.0,1
0.143,1313.0,1054.0,259.0,1
0.163,1314.0,1068.0,246.0,1
0.183,1313.0,1068.0,245.0,1
0.203,1314.0,1291.0,23.0,1
0.224,1313.0,1068.0,245.0,1
0.244,1312.0,1070.0,242.0,1
0.264,1318.0,1067.0,251.0,1
0.284,1313.0,1066.0,247.0,1
0.304,1314.0,1196.0,118.0,1
0.324,1313.0,1071.0,242.0,1
0.344,1312.0,1069.0,243.0,1
0.364,1321.0,1099.0,222.0,1
0.384,1313.0,1068.0,245.0,1
0.404,1313.0,1068.0,245.0,1
0.424,1313.0,1068.0,245.0,1
0.444,1312.0,1292.0,20.0,1
0.464,1313.0,1069.0,244.0,1
0.485,1313.0,1083.0,230.0,1
0.505,1320.0,1228.0,92.0,1
0.525,1312.0,1065.0,247.0,1
0.545,1311.0,1069.0,242.0,1
0.565,1313.0,1084.0,229.0,1
0.585,1313.0,1069.0,244.0,1
0.605,1320.0,1082.0,238.0,1
0.625,1312.0,1077.0,235.0,1
0.645,1313.0,1068.0,245.0,1
0.665,1313.0,1086.0,227.0,1
0.685,1314.0,1465.0,-151.0,1
0.705,1312.0,1306.0,6.0,1
0.726,1313.0,1321.0,-8.0,1
0.746,1313.0,1068.0,245.0,1
0.766,1312.0,1069.0,243.0,1
0.786,1312.0,1069.0,243.0,1
0.806,1312.0,1276.0,36.0,1
0.826,1312.0,1068.0,244.0,1
0.846,1312.0,1067.0,245.0,1
0.866,1321.0,1068.0,253.0,1
0.886,1313.0,1087.0,226.0,1
0.907,1314.0,1323.0,-9.0,1
0.927,1314.0,1288.0,26.0,1
0.947,1314.0,1065.0,249.0,1
0.967,1322.0,1183.0,139.0,1
0.987,1312.0,1307.0,5.0,1
1.007,1312.0,1069.0,243.0,1
1.027,1313.0,1068.0,245.0,1
1.048,1315.0,1235.0,80.0,1
1.068,1313.0,1096.0,217.0,1
1.088,1312.0,1069.0,243.0,1
1.108,1317.0,1725.0,-408.0,1
1.128,1312.0,1069.0,243.0,1
1.148,1314.0,1084.0,230.0,1
1.168,1312.0,1068.0,244.0,1
1.188,1313.0,1069.0,244.0,1
1.208,1313.0,1085.0,228.0,1
1.229,1313.0,1231.0,82.0,1
1.249,1315.0,1068.0,247.0,1
1.269,1314.0,1244.0,70.0,1
1.289,1312.0,1066.0,246.0,1
1.309,1312.0,1069.0,243.0,1
1.329,1312.0,1085.0,227.0,1
1.349,1312.0,1068.0,244.0,1
1.369,1314.0,1289.0,25.0,1
1.389,1312.0,1081.0,231.0,1
1.41,1312.0,1069.0,243.0,1
1.43,1312.0,1069.0,243.0,1
1.45,1313.0,1148.0,165.0,1
1.47,1313.0,1068.0,245.0,1
1.49,1309.0,1068.0,241.0,1
1.51,1316.0,1067.0,249.0,1
1.53,1313.0,1070.0,243.0,1
1.55,1317.0,1512.0,-195.0,1
1.57,1313.0,1307.0,6.0,1
1.591,1314.0,1525.0,-211.0,1
1.611,1320.0,1290.0,30.0,1
1.631,1314.0,1292.0,22.0,1
1.651,1313.0,1070.0,243.0,1
1.671,1313.0,1102.0,211.0,1
1.691,1312.0,1082.0,230.0,1
1.711,1313.0,1305.0,8.0,1
1.731,1314.0,1290.0,24.0,1
1.751,1312.0,1069.0,243.0,1
1.771,1315.0,1633.0,-318.0,1
1.792,1312.0,1069.0,243.0,1
1.812,1313.0,1079.0,234.0,1
1.832,1314.0,1321.0,-7.0,1
1.852,1312.0,1069.0,243.0,1
1.872,1313.0,1434.0,-121.0,1
1.892,1312.0,1054.0,258.0,1
1.912,1313.0,1068.0,245.0,1
1.932,1313.0,1383.0,-70.0,1
1.952,1312.0,1101.0,211.0,1
1.973,1312.0,1230.0,82.0,1
1.993,1312.0,1069.0,243.0,1
2.013,1314.0,1084.0,230.0,1
2.033,1313.0,1065.0,248.0,1
2.053,1312.0,1050.0,262.0,1
2.073,1314.0,1069.0,245.0,1
2.093,1313.0,1054.0,259.0,1
2.113,1311.0,1066.0,245.0,1
2.133,1314.0,1082.0,232.0,1
2.153,1313.0,1070.0,243.0,1
2.174,1314.0,1101.0,213.0,1
2.194,1312.0,1053.0,259.0,1
2.214,1311.0,1069.0,242.0,1
2.234,1313.0,1306.0,7.0,1
2.254,1313.0,1052.0,261.0,1
2.274,1313.0,1068.0,245.0,1
2.294,1312.0,1053.0,259.0,1
2.314,1312.0,1069.0,243.0,1
2.334,1314.0,1367.0,-53.0,1
2.354,1313.0,1051.0,262.0,1
2.375,1312.0,1066.0,246.0,1
2.395,1312.0,1068.0,244.0,1
2.415,1311.0,1069.0,242.0,1
2.435,1313.0,1069.0,244.0,1
2.455,1313.0,1097.0,216.0,1
2.475,1311.0,1068.0,243.0,1
2.495,1312.0,1068.0,244.0,1
2.515,1315.0,1479.0,-164.0,1
2.535,1313.0,1069.0,244.0,1
2.556,1313.0,1085.0,228.0,1
2.576,1312.0,1292.0,20.0,1
2.596,1313.0,1337.0,-24.0,1
2.616,1312.0,1069.0,243.0,1
2.636,1315.0,1309.0,6.0,1
2.656,1313.0,1071.0,242.0,1
2.676,1313.0,1068.0,245.0,1
2.696,1315.0,1288.0,27.0,1
2.716,1314.0,1069.0,245.0,1
