t,left,right,diff,valid
0.003,201.0,20.0,181.0,1
0.023,216.0,20.0,196.0,1
0.043,216.0,20.0,196.0,1
0.063,217.0,19.0,198.0,1
0.083,152.0,20.0,132.0,1
0.103,183.0,20.0,163.0,1
0.123,183.0,20.0,163.0,1
0.143,183.0,20.0,163.0,1
0.163,217.0,19.0,198.0,1
0.184,118.0,20.0,98.0,1
0.204,150.0,20.0,130.0,1
0.224,509.0,21.0,488.0,1
0.244,184.0,21.0,163.0,1
0.264,233.0,20.0,213.0,1
0.284,397.0,30.0,367.0,1
0.304,134.0,32.0,102.0,1
0.324,168.0,20.0,148.0,1
0.344,186.0,20.0,166.0,1
0.364,16.0,21.0,-5.0,1
0.384,234.0,22.0,212.0,1
0.405,528.0,22.0,506.0,1
0.425,429.0,21.0,408.0,1
0.445,168.0,20.0,148.0,1
0.465,184.0,20.0,164.0,1
0.485,168.0,20.0,148.0,1
0.505,184.0,21.0,163.0,1
0.525,202.0,22.0,180.0,1
0.545,219.0,20.0,199.0,1
0.565,151.0,21.0,130.0,1
0.585,168.0,20.0,148.0,1
0.606,33.0,21.0,12.0,1
0.626,234.0,33.0,201.0,1
0.646,314.0,24.0,290.0,1
0.666,215.0,20.0,195.0,1
0.686,560.0,19.0,541.0,1
0.707,315.0,20.0,295.0,1
0.727,168.0,21.0,147.0,1
0.748,201.0,33.0,168.0,1
0.768,17.0,20.0,-3.0,1
0.788,17.0,20.0,-3.0,1
0.808,168.0,20.0,148.0,1
0.828,233.0,20.0,213.0,1
0.848,167.0,19.0,148.0,1
0.868,234.0,20.0,214.0,1
0.888,363.0,20.0,343.0,1
0.908,216.0,20.0,196.0,1
0.928,160.0,21.0,139.0,1
0.948,51.0,20.0,31.0,1
0.969,25.0,22.0,3.0,1
0.989,251.0,20.0,231.0,1
1.009,265.0,20.0,245.0,1
1.029,226.0,21.0,205.0,1
1.049,184.0,20.0,164.0,1
1.069,84.0,20.0,64.0,1
1.089,183.0,20.0,163.0,1
1.109,331.0,20.0,311.0,1
1.129,217.0,21.0,196.0,1
1.149,168.0,20.0,148.0,1
1.169,184.0,20.0,164.0,1
1.189,151.0,20.0,131.0,1
1.21,183.0,21.0,162.0,1
1.23,216.0,20.0,196.0,1
1.25,17.0,20.0,-3.0,1
1.27,159.0,20.0,139.0,1
1.29,346.0,24.0,322.0,1
1.31,185.0,32.0,153.0,1
1.33,232.0,20.0,212.0,1
1.35,346.0,20.0,326.0,1
1.37,200.0,21.0,179.0,1
1.39,166.0,20.0,146.0,1
1.41,183.0,20.0,163.0,1
1.43,17.0,21.0,-4.0,1
1.451,238.0,21.0,217.0,1
1.471,353.0,21.0,332.0,1
1.491,264.0,20.0,244.0,1
1.511,183.0,20.0,163.0,1
1.531,189.0,20.0,169.0,1
1.551,183.0,21.0,162.0,1
1.571,266.0,20.0,246.0,1
1.591,314.0,20.0,294.0,1
1.611,200.0,21.0,179.0,1
1.632,190.0,20.0,170.0,1
1.652,150.0,20.0,130.0,1
1.672,17.0,20.0,-3.0,1
1.692,217.0,20.0,197.0,1
1.712,73.0,34.0,39.0,1
1.732,209.0,28.0,181.0,1
1.752,492.0,21.0,471.0,1
1.772,607.0,20.0,587.0,1
1.792,183.0,20.0,163.0,1
1.813,346.0,21.0,325.0,1
1.833,182.0,20.0,162.0,1
1.853,17.0,20.0,-3.0,1
1.873,184.0,21.0,163.0,1
1.893,25.0,20.0,5.0,1
1.913,183.0,20.0,163.0,1
1.933,475.0,20.0,455.0,1
1.953,298.0,20.0,278.0,1
1.974,157.0,22.0,135.0,1
1.994,186.0,21.0,165.0,1
2.014,167.0,20.0,147.0,1
