t,front,rear,left,right
0.002,1484.0,1254.0,1148.0,1540.0
0.022,1489.0,1260.0,1154.0,1545.0
0.043,1488.0,1260.0,1154.0,1545.0
0.063,1485.0,1255.0,1150.0,1541.0
0.084,1487.0,1259.0,1153.0,1544.0
0.104,1484.0,1257.0,1152.0,1541.0
0.125,1489.0,1260.0,1154.0,1546.0
0.145,1490.0,1261.0,1154.0,1546.0
0.165,1491.0,1262.0,1153.0,1547.0
0.186,1488.0,1259.0,1152.0,1544.0
0.206,1488.0,1258.0,1152.0,1544.0
0.227,1488.0,1259.0,1153.0,1545.0
0.247,1488.0,1259.0,1153.0,1544.0
0.267,1490.0,1260.0,1154.0,1546.0
0.288,1490.0,1260.0,1153.0,1545.0
0.308,1489.0,1259.0,1154.0,1545.0
0.329,1489.0,1260.0,1154.0,1546.0
0.349,1488.0,1259.0,1153.0,1545.0
0.369,1488.0,1259.0,1153.0,1545.0
0.39,1490.0,1261.0,1154.0,1546.0
0.41,1489.0,1260.0,1152.0,1546.0
0.431,1492.0,1262.0,1153.0,1544.0
0.451,1490.0,1261.0,1153.0,1544.0
0.471,1489.0,1260.0,1155.0,1546.0
0.492,1491.0,1261.0,1155.0,1548.0
0.512,1490.0,1260.0,1154.0,1547.0
0.533,1490.0,1260.0,1152.0,1546.0
0.553,1491.0,1261.0,1154.0,1547.0
0.573,1490.0,1261.0,1155.0,1547.0
0.594,1490.0,1261.0,1152.0,1546.0
0.614,1488.0,1259.0,1152.0,1544.0
0.635,1490.0,1261.0,1153.0,1546.0
0.655,1490.0,1261.0,1154.0,1546.0
0.675,1490.0,1262.0,1155.0,1547.0
0.696,1490.0,1261.0,1154.0,1546.0
0.716,1491.0,1262.0,1154.0,1547.0
0.737,1488.0,1259.0,1153.0,1544.0
0.757,1489.0,1260.0,1153.0,1546.0
0.777,1488.0,1260.0,1153.0,1545.0
0.798,1489.0,1259.0,1154.0,1545.0
0.819,1491.0,1262.0,1155.0,1548.0
0.84,1490.0,1262.0,1155.0,1547.0
0.86,1490.0,1261.0,1155.0,1547.0
0.881,1492.0,1263.0,1155.0,1548.0
0.902,1490.0,1261.0,1154.0,1546.0
0.922,1491.0,1262.0,1155.0,1547.0
0.943,1489.0,1260.0,1153.0,1545.0
0.964,1488.0,1260.0,1152.0,1544.0
0.984,1489.0,1260.0,1153.0,1545.0
1.005,1487.0,1259.0,1152.0,1543.0
1.027,1487.0,1258.0,1152.0,1543.0
1.048,1488.0,1260.0,1154.0,1545.0
1.069,1485.0,1258.0,1150.0,1542.0
1.09,1488.0,1258.0,1152.0,1544.0
1.11,1482.0,1254.0,1148.0,1539.0
1.131,1488.0,1259.0,1153.0,1545.0
1.152,1489.0,1261.0,1153.0,1545.0
1.173,1490.0,1260.0,1154.0,1545.0
1.193,1489.0,1260.0,1152.0,1545.0
1.214,1489.0,1259.0,1152.0,1544.0
1.235,1490.0,1260.0,1154.0,1547.0
1.255,1489.0,1260.0,1154.0,1545.0
1.276,1490.0,1261.0,1153.0,1545.0
1.296,1489.0,1261.0,1153.0,1546.0
1.317,1490.0,1260.0,1154.0,1545.0
1.338,1488.0,1259.0,1152.0,1544.0
1.359,1488.0,1259.0,1152.0,1544.0
1.379,1490.0,1261.0,1154.0,1547.0
1.4,1490.0,1262.0,1154.0,1546.0
1.421,1490.0,1261.0,1154.0,1546.0
1.441,1488.0,1259.0,1153.0,1545.0
1.462,1488.0,1260.0,1152.0,1544.0
1.483,1491.0,1261.0,1155.0,1547.0
1.503,1488.0,1260.0,1154.0,1545.0
1.524,1490.0,1262.0,1154.0,1547.0
1.545,1488.0,1259.0,1152.0,1544.0
1.565,1486.0,1261.0,1152.0,1542.0
1.586,1490.0,1261.0,1154.0,1547.0
1.607,1490.0,1261.0,1154.0,1546.0
1.627,1489.0,1261.0,1153.0,1546.0
1.648,1489.0,1260.0,1154.0,1545.0
1.669,1489.0,1260.0,1153.0,1545.0
1.689,1490.0,1260.0,1154.0,1545.0
1.71,1489.0,1261.0,1154.0,1545.0
1.731,1489.0,1260.0,1153.0,1546.0
1.751,1488.0,1259.0,1153.0,1544.0
1.772,1488.0,1260.0,1153.0,1545.0
1.793,1490.0,1261.0,1154.0,1546.0
1.813,1490.0,1260.0,1154.0,1546.0
1.834,1490.0,1261.0,1154.0,1546.0
1.855,1489.0,1261.0,1154.0,1546.0
1.875,1490.0,1260.0,1154.0,1546.0
1.896,1489.0,1261.0,1154.0,1546.0
1.917,1489.0,1260.0,1152.0,1545.0
1.938,1488.0,1259.0,1152.0,1545.0
1.958,1486.0,1258.0,1152.0,1544.0
1.979,1488.0,1258.0,1152.0,1544.0
2.0,1489.0,1260.0,1154.0,1546.0
2.02,1489.0,1260.0,1153.0,1545.0
2.041,1489.0,1260.0,1153.0,1544.0
2.062,1489.0,1260.0,1154.0,1545.0
2.083,1488.0,1260.0,1153.0,1545.0
2.104,1486.0,1257.0,1151.0,1542.0
2.124,1487.0,1257.0,1152.0,1544.0
2.145,1486.0,1257.0,1152.0,1544.0
2.166,1489.0,1260.0,1154.0,1545.0
2.187,1489.0,1260.0,1153.0,1545.0
2.207,1488.0,1259.0,1152.0,1545.0
2.228,1489.0,1260.0,1153.0,1546.0
2.248,1490.0,1261.0,1155.0,1547.0
2.269,1489.0,1260.0,1154.0,1545.0
2.289,1490.0,1261.0,1153.0,1546.0
2.31,1489.0,1260.0,1154.0,1545.0
2.331,1491.0,1261.0,1154.0,1546.0
2.351,1490.0,1261.0,1154.0,1546.0
2.372,1490.0,1261.0,1154.0,1546.0
2.393,1490.0,1261.0,1154.0,1546.0
2.414,1489.0,1260.0,1153.0,1544.0
2.434,1488.0,1258.0,1152.0,1543.0
2.455,1490.0,1261.0,1155.0,1546.0
2.476,1490.0,1260.0,1154.0,1546.0
2.496,1489.0,1260.0,1154.0,1545.0
2.517,1490.0,1261.0,1154.0,1547.0
2.538,1490.0,1261.0,1154.0,1546.0
2.559,1489.0,1260.0,1153.0,1546.0
2.579,1489.0,1260.0,1153.0,1545.0
2.6,1490.0,1261.0,1155.0,1546.0
2.621,1490.0,1261.0,1154.0,1546.0
2.641,1489.0,1261.0,1154.0,1546.0
2.662,1490.0,1261.0,1154.0,1546.0
2.683,1489.0,1260.0,1154.0,1545.0
2.703,1489.0,1259.0,1153.0,1546.0
2.724,1489.0,1260.0,1153.0,1546.0
2.745,1490.0,1261.0,1154.0,1547.0
2.765,1490.0,1261.0,1154.0,1546.0
2.786,1488.0,1260.0,1154.0,1545.0
2.807,1489.0,1261.0,1154.0,1546.0
2.827,1489.0,1260.0,1153.0,1545.0
2.848,1490.0,1261.0,1154.0,1545.0
2.869,1490.0,1260.0,1153.0,1546.0
2.889,1488.0,1259.0,1154.0,1545.0
2.91,1489.0,1260.0,1153.0,1545.0
2.931,1489.0,1261.0,1154.0,1545.0
2.952,1490.0,1261.0,1154.0,1547.0
2.972,1490.0,1260.0,1154.0,1546.0
2.993,1490.0,1261.0,1154.0,1546.0
3.014,1490.0,1260.0,1154.0,1546.0
3.034,1490.0,1261.0,1154.0,1546.0
3.055,1489.0,1260.0,1153.0,1544.0
3.076,1489.0,1260.0,1153.0,1545.0
3.097,1488.0,1259.0,1153.0,1544.0
3.118,1488.0,1259.0,1153.0,1545.0
3.138,1488.0,1258.0,1152.0,1543.0
3.159,1485.0,1257.0,1150.0,1541.0
3.18,1486.0,1257.0,1150.0,1542.0
3.201,1484.0,1256.0,1150.0,1540.0
3.222,1488.0,1259.0,1153.0,1544.0
3.242,1488.0,1259.0,1153.0,1545.0
3.263,1490.0,1261.0,1154.0,1545.0
3.283,1488.0,1259.0,1153.0,1544.0
3.304,1488.0,1258.0,1153.0,1544.0
3.325,1490.0,1260.0,1153.0,1546.0
3.345,1490.0,1260.0,1154.0,1546.0
3.366,1491.0,1261.0,1154.0,1546.0
3.387,1488.0,1260.0,1154.0,1545.0
3.407,1490.0,1260.0,1154.0,1545.0
3.428,1488.0,1259.0,1153.0,1544.0
3.449,1488.0,1259.0,1153.0,1544.0
3.469,1490.0,1261.0,1154.0,1545.0
3.49,1490.0,1261.0,1154.0,1546.0
3.511,1489.0,1260.0,1154.0,1547.0
3.531,1488.0,1259.0,1153.0,1545.0
3.552,1488.0,1260.0,1152.0,1544.0
3.573,1489.0,1260.0,1154.0,1546.0
3.593,1489.0,1259.0,1153.0,1545.0
3.614,1490.0,1261.0,1153.0,1546.0
3.635,1489.0,1260.0,1153.0,1545.0
3.655,1489.0,1260.0,1154.0,1546.0
3.676,1489.0,1259.0,1153.0,1546.0
3.696,1491.0,1262.0,1155.0,1547.0
3.717,1489.0,1260.0,1153.0,1545.0
3.738,1490.0,1260.0,1153.0,1546.0
3.759,1490.0,1261.0,1154.0,1547.0
3.779,1489.0,1261.0,1153.0,1544.0
3.8,1490.0,1260.0,1153.0,1545.0
3.821,1491.0,1261.0,1155.0,1546.0
3.841,1488.0,1260.0,1153.0,1545.0
3.862,1489.0,1260.0,1154.0,1545.0
3.883,1490.0,1260.0,1153.0,1545.0
3.903,1489.0,1261.0,1153.0,1545.0
3.924,1489.0,1260.0,1153.0,1546.0
3.945,1488.0,1259.0,1153.0,1545.0
3.965,1489.0,1260.0,1154.0,1545.0
3.986,1490.0,1262.0,1154.0,1546.0
4.007,1489.0,1260.0,1153.0,1546.0
4.027,1491.0,1262.0,1153.0,1547.0
4.048,1490.0,1260.0,1154.0,1546.0
4.069,1490.0,1260.0,1154.0,1546.0
4.089,1489.0,1260.0,1153.0,1546.0
4.11,1487.0,1260.0,1152.0,1544.0
4.132,1487.0,1259.0,1152.0,1543.0
4.153,1490.0,1260.0,1153.0,1546.0
4.174,1485.0,1256.0,1151.0,1542.0
4.195,1488.0,1258.0,1152.0,1544.0
4.215,1486.0,1258.0,1152.0,1542.0
4.236,1489.0,1258.0,1153.0,1544.0
4.258,1483.0,1254.0,1147.0,1538.0
4.279,1484.0,1255.0,1149.0,1540.0
4.3,1483.0,1255.0,1148.0,1540.0
4.321,1481.0,1253.0,1146.0,1537.0
4.341,1483.0,1253.0,1147.0,1538.0
4.362,1483.0,1254.0,1148.0,1538.0
4.383,1482.0,1256.0,1145.0,1538.0
4.403,1488.0,1258.0,1141.0,1542.0
4.424,1488.0,1259.0,1137.0,1544.0
4.445,1490.0,1258.0,1139.0,1544.0
4.465,1487.0,1258.0,1136.0,1542.0
4.486,1490.0,1259.0,1138.0,1544.0
4.507,1487.0,1257.0,1137.0,1542.0
4.527,1488.0,1258.0,1137.0,1541.0
4.548,1489.0,1259.0,1137.0,1543.0
4.568,1490.0,1259.0,1139.0,1545.0
4.589,1492.0,1261.0,1141.0,1547.0
4.61,1490.0,1259.0,1138.0,1545.0
4.63,1490.0,1260.0,1138.0,1544.0
4.651,1489.0,1258.0,1138.0,1544.0
4.671,1488.0,1258.0,1137.0,1543.0
4.692,1484.0,1254.0,1133.0,1539.0
