t,front,rear,left,right
0.001,1652.0,2005.0,992.0,2140.0
0.022,1658.0,2013.0,997.0,2149.0
0.042,1658.0,2013.0,995.0,2145.0
0.063,1655.0,2008.0,993.0,2144.0
0.084,1657.0,2011.0,995.0,2145.0
0.104,1656.0,2010.0,996.0,2146.0
0.124,1657.0,2012.0,997.0,2148.0
0.145,1656.0,2011.0,996.0,2147.0
0.165,1658.0,2012.0,997.0,2147.0
0.186,1655.0,2008.0,995.0,2144.0
0.207,1653.0,2006.0,992.0,2141.0
0.227,1654.0,2008.0,993.0,2144.0
0.248,1656.0,2009.0,994.0,2144.0
0.269,1654.0,2007.0,993.0,2144.0
0.289,1654.0,2008.0,994.0,2144.0
0.31,1653.0,2008.0,993.0,2143.0
0.33,1653.0,2006.0,994.0,2142.0
0.351,1654.0,2008.0,993.0,2144.0
0.372,1654.0,2012.0,994.0,2144.0
0.392,1655.0,2008.0,994.0,2144.0
0.413,1656.0,2008.0,994.0,2144.0
0.433,1656.0,2008.0,994.0,2144.0
0.454,1654.0,2007.0,993.0,2142.0
0.475,1652.0,2007.0,993.0,2141.0
0.495,1656.0,2009.0,994.0,2144.0
0.516,1658.0,2012.0,997.0,2147.0
0.536,1653.0,2007.0,993.0,2142.0
0.557,1655.0,2009.0,994.0,2144.0
0.578,1655.0,2008.0,994.0,2144.0
0.598,1655.0,2008.0,994.0,2144.0
0.619,1652.0,2006.0,992.0,2140.0
0.64,1657.0,2011.0,996.0,2147.0
0.66,1657.0,2009.0,995.0,2145.0
0.681,1654.0,2007.0,992.0,2141.0
0.701,1655.0,2009.0,994.0,2144.0
0.722,1658.0,2013.0,997.0,2148.0
0.742,1659.0,2013.0,998.0,2148.0
0.763,1658.0,2010.0,996.0,2145.0
0.783,1657.0,2011.0,996.0,2146.0
0.804,1659.0,2014.0,997.0,2148.0
0.824,1660.0,2013.0,998.0,2148.0
0.845,1661.0,2016.0,999.0,2151.0
0.865,1657.0,2010.0,996.0,2145.0
0.885,1659.0,2011.0,996.0,2146.0
0.906,1659.0,2014.0,997.0,2148.0
0.926,1659.0,2013.0,998.0,2148.0
0.947,1659.0,2013.0,995.0,2144.0
0.967,1657.0,2012.0,996.0,2147.0
0.988,1657.0,2011.0,996.0,2146.0
1.008,1659.0,2012.0,996.0,2148.0
1.03,1658.0,2012.0,996.0,2147.0
1.051,1658.0,2012.0,997.0,2146.0
1.072,1652.0,2006.0,992.0,2140.0
1.092,1653.0,2006.0,994.0,2142.0
1.113,1656.0,2011.0,996.0,2145.0
1.133,1658.0,2012.0,995.0,2144.0
1.154,1657.0,2010.0,996.0,2146.0
1.174,1658.0,2011.0,997.0,2147.0
1.194,1658.0,2012.0,997.0,2147.0
1.215,1659.0,2012.0,998.0,2149.0
1.235,1658.0,2011.0,996.0,2146.0
1.256,1658.0,2014.0,996.0,2146.0
1.276,1658.0,2014.0,996.0,2146.0
1.297,1659.0,2014.0,996.0,2148.0
1.317,1659.0,2013.0,997.0,2148.0
1.338,1659.0,2013.0,998.0,2148.0
1.359,1660.0,2013.0,996.0,2148.0
1.379,1660.0,2014.0,998.0,2149.0
1.4,1659.0,2015.0,998.0,2148.0
1.421,1659.0,2014.0,998.0,2148.0
1.441,1660.0,2014.0,997.0,2146.0
1.462,1659.0,2014.0,997.0,2149.0
1.483,1659.0,2014.0,997.0,2148.0
1.503,1658.0,2012.0,997.0,2146.0
1.524,1658.0,2013.0,996.0,2147.0
1.545,1659.0,2013.0,998.0,2148.0
1.565,1655.0,2009.0,994.0,2144.0
1.586,1660.0,2015.0,998.0,2148.0
1.607,1661.0,2015.0,998.0,2150.0
1.627,1659.0,2013.0,997.0,2148.0
1.648,1657.0,2011.0,996.0,2144.0
1.669,1659.0,2014.0,998.0,2148.0
1.689,1660.0,2014.0,997.0,2148.0
1.71,1658.0,2012.0,997.0,2147.0
1.731,1659.0,2013.0,998.0,2149.0
1.751,1656.0,2011.0,995.0,2144.0
1.772,1658.0,2011.0,997.0,2147.0
1.793,1659.0,2013.0,998.0,2148.0
1.814,1662.0,2016.0,997.0,2150.0
1.834,1659.0,2014.0,997.0,2149.0
1.855,1659.0,2013.0,997.0,2148.0
1.875,1659.0,2013.0,997.0,2147.0
1.896,1658.0,2012.0,997.0,2147.0
1.917,1660.0,2014.0,996.0,2148.0
1.938,1661.0,2016.0,999.0,2149.0
1.958,1658.0,2012.0,997.0,2147.0
1.979,1658.0,2012.0,996.0,2147.0
2.0,1660.0,2014.0,998.0,2149.0
2.02,1659.0,2014.0,998.0,2149.0
2.041,1658.0,2013.0,996.0,2146.0
2.062,1656.0,2009.0,995.0,2144.0
2.083,1660.0,2016.0,998.0,2149.0
2.104,1657.0,2009.0,995.0,2146.0
2.124,1656.0,2010.0,995.0,2144.0
2.145,1656.0,2010.0,995.0,2144.0
2.166,1659.0,2012.0,997.0,2147.0
2.186,1659.0,2013.0,997.0,2148.0
2.207,1659.0,2013.0,998.0,2149.0
2.228,1658.0,2012.0,996.0,2146.0
2.248,1659.0,2012.0,998.0,2148.0
2.269,1660.0,2014.0,996.0,2148.0
2.289,1660.0,2014.0,998.0,2148.0
2.31,1658.0,2010.0,997.0,2147.0
2.331,1659.0,2014.0,998.0,2149.0
2.351,1659.0,2014.0,998.0,2149.0
2.372,1656.0,2010.0,997.0,2146.0
2.393,1658.0,2013.0,996.0,2148.0
2.413,1657.0,2011.0,996.0,2147.0
2.434,1660.0,2016.0,997.0,2149.0
2.455,1659.0,2018.0,996.0,2147.0
2.475,1659.0,2023.0,995.0,2145.0
2.496,1656.0,2029.0,992.0,2137.0
2.517,1653.0,2030.0,994.0,2138.0
2.537,1657.0,2032.0,995.0,2141.0
2.558,1655.0,2029.0,992.0,2137.0
2.579,1652.0,2032.0,992.0,2136.0
2.599,1653.0,2029.0,992.0,2136.0
2.62,1655.0,2030.0,993.0,2138.0
2.641,1654.0,2032.0,994.0,2137.0
2.661,1657.0,2034.0,994.0,2141.0
2.682,1656.0,2033.0,994.0,2140.0
2.703,1654.0,2032.0,993.0,2137.0
2.723,1656.0,2032.0,992.0,2135.0
2.744,1655.0,2033.0,995.0,2138.0
2.765,1655.0,2032.0,994.0,2138.0
2.785,1657.0,2034.0,994.0,2140.0
2.806,1656.0,2034.0,994.0,2139.0
2.827,1656.0,2033.0,994.0,2140.0
2.847,1654.0,2032.0,994.0,2138.0
2.868,1655.0,2032.0,994.0,2138.0
2.889,1656.0,2033.0,993.0,2138.0
2.909,1656.0,2032.0,994.0,2140.0
2.93,1656.0,2033.0,994.0,2139.0
2.951,1656.0,2034.0,994.0,2139.0
2.971,1656.0,2033.0,994.0,2138.0
2.992,1656.0,2033.0,994.0,2140.0
3.013,1654.0,2032.0,993.0,2137.0
3.033,1656.0,2035.0,994.0,2140.0
3.054,1654.0,2032.0,993.0,2136.0
3.075,1656.0,2034.0,993.0,2138.0
3.096,1654.0,2033.0,992.0,2135.0
3.116,1656.0,2036.0,994.0,2138.0
3.137,1654.0,2034.0,992.0,2135.0
3.158,1651.0,2032.0,991.0,2132.0
3.179,1653.0,2034.0,990.0,2131.0
3.2,1654.0,2040.0,993.0,2134.0
3.22,1653.0,2039.0,993.0,2134.0
3.241,1652.0,2037.0,990.0,2130.0
3.261,1654.0,2040.0,993.0,2134.0
3.282,1655.0,2041.0,993.0,2134.0
3.302,1653.0,2040.0,992.0,2133.0
3.323,1654.0,2040.0,993.0,2135.0
3.344,1654.0,2039.0,993.0,2134.0
3.364,1655.0,2041.0,994.0,2136.0
3.385,1656.0,2048.0,994.0,2137.0
3.406,1654.0,2040.0,992.0,2135.0
3.426,1654.0,2040.0,992.0,2135.0
3.447,1657.0,2048.0,993.0,2137.0
3.468,1656.0,2041.0,993.0,2136.0
3.488,1656.0,2041.0,994.0,2136.0
3.509,1654.0,2040.0,993.0,2133.0
3.53,1653.0,2039.0,992.0,2133.0
3.551,1654.0,2039.0,992.0,2134.0
3.571,1654.0,2040.0,994.0,2136.0
3.592,1654.0,2040.0,994.0,2136.0
3.613,1652.0,2036.0,993.0,2134.0
3.633,1653.0,2032.0,995.0,2136.0
3.654,1655.0,2030.0,995.0,2137.0
3.675,1656.0,2023.0,998.0,2142.0
3.695,1657.0,2014.0,999.0,2145.0
3.716,1658.0,2004.0,998.0,2147.0
3.737,1656.0,1992.0,1000.0,2149.0
3.757,1660.0,1988.0,1002.0,2155.0
3.778,1661.0,1986.0,1003.0,2157.0
3.799,1660.0,1987.0,1004.0,2156.0
3.819,1658.0,1984.0,1003.0,2154.0
3.84,1660.0,1984.0,1003.0,2156.0
3.861,1661.0,1982.0,1003.0,2158.0
3.881,1659.0,1980.0,1003.0,2155.0
3.902,1658.0,1980.0,1002.0,2153.0
3.923,1657.0,1981.0,1002.0,2153.0
3.943,1661.0,1982.0,1003.0,2157.0
3.964,1660.0,1981.0,1003.0,2157.0
3.985,1661.0,1982.0,1004.0,2158.0
4.005,1662.0,1986.0,1004.0,2157.0
4.026,1661.0,1990.0,1003.0,2155.0
4.047,1657.0,1989.0,1003.0,2152.0
4.067,1659.0,1982.0,1005.0,2158.0
4.088,1661.0,1979.0,1003.0,2157.0
4.109,1661.0,1982.0,1002.0,2157.0
4.13,1657.0,1984.0,1000.0,2152.0
4.151,1659.0,1985.0,1005.0,2155.0
4.172,1658.0,1976.0,1005.0,2156.0
4.193,1657.0,1971.0,1003.0,2156.0
4.214,1658.0,1971.0,1004.0,2157.0
4.234,1659.0,1972.0,1004.0,2157.0
4.255,1660.0,1976.0,1006.0,2158.0
4.276,1659.0,1973.0,1005.0,2156.0
4.296,1659.0,1973.0,1005.0,2158.0
4.317,1658.0,1969.0,1005.0,2157.0
4.337,1657.0,1969.0,1006.0,2158.0
4.358,1659.0,1969.0,1006.0,2158.0
4.379,1660.0,1971.0,1007.0,2160.0
4.399,1659.0,1969.0,1008.0,2161.0
4.42,1658.0,1967.0,1006.0,2159.0
4.441,1659.0,1968.0,1007.0,2160.0
4.462,1658.0,1966.0,1008.0,2161.0
4.482,1654.0,1962.0,1007.0,2157.0
4.503,1655.0,1963.0,1006.0,2159.0
4.524,1656.0,1964.0,1007.0,2160.0
4.545,1656.0,1965.0,1008.0,2160.0
4.565,1656.0,1964.0,1006.0,2158.0
4.586,1656.0,1963.0,1007.0,2160.0
4.607,1656.0,1964.0,1007.0,2159.0
4.628,1657.0,1964.0,1008.0,2161.0
4.648,1655.0,1963.0,1007.0,2159.0
4.669,1655.0,1962.0,1005.0,2157.0
4.69,1656.0,1964.0,1006.0,2160.0
4.71,1656.0,1963.0,1007.0,2160.0
4.731,1654.0,1965.0,1006.0,2156.0
4.752,1654.0,1962.0,1007.0,2158.0
4.773,1656.0,1964.0,1007.0,2160.0
4.793,1657.0,1965.0,1007.0,2160.0
4.814,1657.0,1965.0,1007.0,2160.0
4.835,1657.0,1964.0,1008.0,2160.0
4.855,1658.0,1967.0,1006.0,2160.0
4.876,1655.0,1964.0,1006.0,2156.0
4.897,1658.0,1968.0,1006.0,2160.0
4.917,1658.0,1969.0,1006.0,2158.0
4.938,1659.0,1970.0,1005.0,2160.0
4.959,1658.0,1969.0,1006.0,2160.0
4.98,1658.0,1969.0,1006.0,2160.0
5.0,1659.0,1970.0,1007.0,2161.0
5.021,1660.0,1971.0,1007.0,2161.0
5.042,1658.0,1968.0,1005.0,2159.0
5.062,1658.0,1968.0,1006.0,2160.0
5.083,1657.0,1967.0,1006.0,2158.0
5.104,1658.0,1969.0,1005.0,2158.0
5.125,1656.0,1966.0,1006.0,2160.0
5.145,1659.0,1969.0,1007.0,2161.0
5.167,1658.0,1968.0,1007.0,2160.0
5.187,1659.0,1968.0,1008.0,2160.0
5.216,1652.0,1959.0,1000.0,2151.0
5.237,1651.0,1958.0,1000.0,2152.0
5.258,1654.0,1963.0,1002.0,2156.0
5.278,1654.0,1964.0,1000.0,2155.0
5.299,1647.0,1952.0,996.0,2147.0
5.32,1660.0,1963.0,1004.0,2162.0
5.341,1656.0,1959.0,1001.0,2156.0
5.361,1655.0,1958.0,998.0,2155.0
5.382,1659.0,1959.0,998.0,2160.0
5.402,1652.0,1949.0,992.0,2151.0
