t,front,rear,left,right
0.002,1274.0,1842.0,747.0,1563.0
0.023,1271.0,1837.0,745.0,1560.0
0.043,1270.0,1835.0,744.0,1558.0
0.064,1268.0,1834.0,744.0,1557.0
0.085,1271.0,1836.0,744.0,1560.0
0.105,1276.0,1846.0,749.0,1568.0
0.126,1273.0,1844.0,746.0,1563.0
0.147,1275.0,1843.0,747.0,1565.0
0.167,1276.0,1845.0,749.0,1567.0
0.188,1277.0,1847.0,749.0,1568.0
0.208,1276.0,1844.0,749.0,1565.0
0.229,1276.0,1846.0,748.0,1566.0
0.25,1276.0,1845.0,748.0,1566.0
0.27,1275.0,1845.0,748.0,1565.0
0.291,1277.0,1846.0,749.0,1568.0
0.312,1277.0,1846.0,749.0,1567.0
0.333,1276.0,1844.0,748.0,1566.0
0.353,1277.0,1845.0,748.0,1566.0
0.374,1277.0,1846.0,749.0,1568.0
0.395,1276.0,1845.0,749.0,1567.0
0.415,1275.0,1844.0,747.0,1564.0
0.436,1275.0,1843.0,749.0,1565.0
0.456,1277.0,1845.0,748.0,1566.0
0.477,1276.0,1845.0,748.0,1565.0
0.498,1275.0,1844.0,747.0,1564.0
0.519,1277.0,1846.0,749.0,1568.0
0.539,1275.0,1844.0,747.0,1565.0
0.56,1276.0,1845.0,748.0,1566.0
0.581,1277.0,1845.0,749.0,1568.0
0.601,1277.0,1846.0,748.0,1568.0
0.622,1275.0,1844.0,747.0,1564.0
0.643,1276.0,1845.0,749.0,1566.0
0.664,1275.0,1844.0,747.0,1564.0
0.684,1275.0,1844.0,748.0,1565.0
0.705,1276.0,1845.0,749.0,1567.0
0.726,1277.0,1845.0,748.0,1568.0
0.747,1275.0,1844.0,748.0,1565.0
0.767,1276.0,1844.0,748.0,1566.0
0.788,1276.0,1845.0,748.0,1567.0
0.808,1276.0,1845.0,748.0,1566.0
0.829,1276.0,1844.0,748.0,1566.0
0.85,1277.0,1846.0,749.0,1568.0
0.87,1277.0,1846.0,749.0,1568.0
0.891,1276.0,1846.0,749.0,1567.0
0.912,1277.0,1846.0,749.0,1566.0
0.932,1276.0,1844.0,748.0,1565.0
0.953,1275.0,1842.0,748.0,1564.0
0.974,1277.0,1844.0,749.0,1567.0
0.994,1276.0,1844.0,748.0,1566.0
1.015,1277.0,1846.0,748.0,1566.0
1.036,1275.0,1843.0,747.0,1565.0
1.057,1275.0,1842.0,747.0,1564.0
1.078,1273.0,1840.0,746.0,1563.0
1.099,1272.0,1840.0,746.0,1561.0
1.12,1273.0,1840.0,745.0,1562.0
1.14,1275.0,1844.0,747.0,1565.0
1.161,1275.0,1843.0,747.0,1565.0
1.182,1275.0,1844.0,748.0,1566.0
1.202,1276.0,1845.0,748.0,1565.0
1.223,1277.0,1846.0,749.0,1568.0
1.243,1276.0,1845.0,748.0,1566.0
1.264,1275.0,1844.0,747.0,1564.0
1.285,1277.0,1846.0,748.0,1566.0
1.305,1275.0,1844.0,748.0,1566.0
1.326,1277.0,1845.0,749.0,1567.0
1.346,1277.0,1845.0,748.0,1568.0
1.367,1277.0,1846.0,748.0,1567.0
1.388,1275.0,1844.0,748.0,1565.0
1.408,1276.0,1845.0,747.0,1566.0
1.429,1276.0,1844.0,748.0,1565.0
1.45,1277.0,1846.0,749.0,1568.0
1.47,1274.0,1842.0,747.0,1564.0
1.491,1277.0,1845.0,748.0,1566.0
1.512,1277.0,1845.0,749.0,1568.0
1.533,1277.0,1845.0,748.0,1567.0
1.553,1275.0,1842.0,747.0,1564.0
1.574,1277.0,1845.0,748.0,1566.0
1.595,1277.0,1845.0,749.0,1566.0
1.615,1276.0,1845.0,748.0,1566.0
1.636,1275.0,1843.0,747.0,1565.0
1.657,1276.0,1845.0,748.0,1566.0
1.677,1275.0,1844.0,749.0,1565.0
1.698,1276.0,1845.0,748.0,1566.0
1.719,1277.0,1845.0,749.0,1566.0
1.739,1277.0,1845.0,749.0,1568.0
1.76,1275.0,1842.0,748.0,1566.0
1.781,1276.0,1844.0,748.0,1566.0
1.801,1277.0,1845.0,748.0,1566.0
1.822,1275.0,1844.0,748.0,1565.0
1.843,1275.0,1843.0,749.0,1565.0
1.863,1276.0,1845.0,748.0,1566.0
1.884,1277.0,1844.0,749.0,1566.0
1.905,1276.0,1846.0,749.0,1565.0
1.925,1276.0,1845.0,748.0,1566.0
1.946,1276.0,1845.0,748.0,1566.0
1.967,1276.0,1844.0,748.0,1566.0
1.987,1277.0,1844.0,748.0,1566.0
2.008,1277.0,1845.0,748.0,1567.0
2.029,1274.0,1842.0,747.0,1564.0
2.049,1276.0,1845.0,748.0,1567.0
2.071,1275.0,1843.0,747.0,1564.0
2.092,1275.0,1844.0,748.0,1566.0
2.113,1275.0,1843.0,747.0,1565.0
2.133,1273.0,1840.0,745.0,1562.0
2.154,1275.0,1842.0,747.0,1564.0
2.175,1275.0,1843.0,748.0,1565.0
2.196,1276.0,1843.0,748.0,1564.0
2.216,1274.0,1842.0,746.0,1564.0
2.237,1275.0,1843.0,747.0,1564.0
2.257,1276.0,1844.0,748.0,1567.0
2.278,1276.0,1844.0,748.0,1566.0
2.298,1276.0,1845.0,747.0,1566.0
2.319,1276.0,1844.0,748.0,1566.0
2.34,1277.0,1846.0,749.0,1568.0
2.36,1276.0,1845.0,747.0,1566.0
2.381,1277.0,1845.0,749.0,1568.0
2.402,1276.0,1844.0,747.0,1565.0
2.422,1276.0,1843.0,747.0,1566.0
2.443,1278.0,1845.0,749.0,1568.0
2.464,1278.0,1846.0,748.0,1565.0
2.484,1275.0,1843.0,746.0,1563.0
2.505,1276.0,1843.0,747.0,1565.0
2.526,1276.0,1845.0,748.0,1566.0
2.546,1275.0,1843.0,747.0,1565.0
2.567,1274.0,1843.0,748.0,1564.0
2.588,1277.0,1846.0,747.0,1566.0
2.608,1275.0,1842.0,746.0,1565.0
2.629,1277.0,1846.0,748.0,1565.0
2.65,1277.0,1846.0,748.0,1566.0
2.67,1277.0,1846.0,748.0,1567.0
2.691,1276.0,1844.0,747.0,1566.0
2.712,1274.0,1842.0,746.0,1563.0
2.732,1277.0,1844.0,749.0,1567.0
2.753,1276.0,1843.0,748.0,1568.0
2.774,1275.0,1845.0,748.0,1566.0
2.794,1276.0,1843.0,747.0,1565.0
2.815,1276.0,1844.0,748.0,1565.0
2.835,1275.0,1844.0,747.0,1566.0
2.856,1276.0,1844.0,747.0,1565.0
2.877,1276.0,1845.0,748.0,1565.0
2.897,1276.0,1845.0,748.0,1566.0
2.918,1276.0,1844.0,748.0,1566.0
2.939,1277.0,1845.0,748.0,1568.0
2.959,1276.0,1845.0,747.0,1565.0
2.98,1277.0,1845.0,748.0,1566.0
3.001,1276.0,1845.0,748.0,1566.0
3.021,1276.0,1845.0,748.0,1566.0
3.042,1275.0,1843.0,748.0,1565.0
3.063,1276.0,1845.0,748.0,1567.0
3.083,1276.0,1843.0,748.0,1566.0
3.105,1274.0,1842.0,746.0,1564.0
3.126,1276.0,1844.0,747.0,1565.0
3.147,1274.0,1842.0,747.0,1564.0
3.168,1272.0,1840.0,745.0,1561.0
3.188,1274.0,1841.0,746.0,1563.0
3.209,1275.0,1844.0,748.0,1566.0
3.23,1277.0,1845.0,748.0,1566.0
3.25,1276.0,1844.0,748.0,1566.0
3.271,1277.0,1845.0,748.0,1567.0
3.292,1277.0,1845.0,749.0,1568.0
3.312,1274.0,1843.0,747.0,1564.0
3.333,1276.0,1845.0,749.0,1567.0
3.354,1277.0,1845.0,749.0,1566.0
3.374,1275.0,1843.0,747.0,1565.0
3.395,1276.0,1844.0,748.0,1565.0
3.416,1276.0,1845.0,748.0,1566.0
3.436,1277.0,1846.0,749.0,1567.0
3.457,1274.0,1843.0,749.0,1565.0
3.478,1276.0,1846.0,749.0,1566.0
