t,front,rear,left,right
0.0,1420.0,1666.0,1499.0,1091.0
0.021,1420.0,1666.0,1500.0,1092.0
0.041,1418.0,1664.0,1498.0,1091.0
0.061,1417.0,1662.0,1497.0,1090.0
0.081,1416.0,1661.0,1496.0,1090.0
0.101,1417.0,1664.0,1496.0,1089.0
0.121,1423.0,1669.0,1502.0,1095.0
0.141,1423.0,1670.0,1504.0,1095.0
0.161,1422.0,1668.0,1502.0,1094.0
0.181,1421.0,1667.0,1501.0,1094.0
0.201,1422.0,1668.0,1501.0,1093.0
0.221,1423.0,1669.0,1504.0,1095.0
0.241,1423.0,1669.0,1503.0,1095.0
0.262,1423.0,1668.0,1503.0,1095.0
0.282,1421.0,1667.0,1502.0,1094.0
0.302,1421.0,1669.0,1502.0,1094.0
0.322,1422.0,1671.0,1501.0,1093.0
0.342,1424.0,1668.0,1504.0,1096.0
0.362,1422.0,1668.0,1502.0,1094.0
0.382,1422.0,1668.0,1502.0,1095.0
0.402,1422.0,1668.0,1502.0,1094.0
0.422,1423.0,1670.0,1502.0,1094.0
0.442,1424.0,1670.0,1504.0,1096.0
0.462,1424.0,1669.0,1504.0,1096.0
0.482,1420.0,1668.0,1502.0,1095.0
0.502,1424.0,1669.0,1503.0,1095.0
0.522,1422.0,1669.0,1501.0,1094.0
0.543,1422.0,1671.0,1501.0,1095.0
0.563,1424.0,1671.0,1504.0,1096.0
0.583,1424.0,1670.0,1502.0,1095.0
0.603,1424.0,1670.0,1502.0,1095.0
0.623,1423.0,1669.0,1502.0,1095.0
0.643,1424.0,1670.0,1502.0,1095.0
0.663,1424.0,1669.0,1502.0,1095.0
0.683,1424.0,1670.0,1501.0,1095.0
0.703,1424.0,1670.0,1503.0,1096.0
0.723,1425.0,1671.0,1503.0,1096.0
0.743,1424.0,1670.0,1502.0,1096.0
0.764,1424.0,1670.0,1502.0,1095.0
0.784,1425.0,1672.0,1503.0,1096.0
0.804,1425.0,1672.0,1504.0,1096.0
0.824,1424.0,1671.0,1504.0,1096.0
0.844,1425.0,1672.0,1502.0,1096.0
0.864,1425.0,1672.0,1504.0,1096.0
0.884,1422.0,1670.0,1501.0,1095.0
0.904,1424.0,1672.0,1504.0,1096.0
0.924,1424.0,1670.0,1502.0,1096.0
0.944,1424.0,1670.0,1503.0,1095.0
0.964,1424.0,1670.0,1502.0,1096.0
0.985,1426.0,1672.0,1503.0,1097.0
1.005,1425.0,1671.0,1504.0,1096.0
1.025,1425.0,1672.0,1504.0,1097.0
1.045,1424.0,1671.0,1502.0,1096.0
1.065,1424.0,1670.0,1502.0,1096.0
1.085,1425.0,1671.0,1503.0,1096.0
1.105,1425.0,1671.0,1503.0,1096.0
1.125,1423.0,1671.0,1502.0,1096.0
1.145,1426.0,1671.0,1504.0,1096.0
1.165,1423.0,1669.0,1503.0,1095.0
1.185,1425.0,1671.0,1503.0,1096.0
1.206,1424.0,1670.0,1503.0,1097.0
1.226,1425.0,1671.0,1503.0,1097.0
1.246,1424.0,1671.0,1503.0,1096.0
1.266,1424.0,1669.0,1502.0,1096.0
1.286,1424.0,1670.0,1502.0,1096.0
1.306,1424.0,1671.0,1503.0,1096.0
1.326,1425.0,1672.0,1504.0,1097.0
1.346,1425.0,1672.0,1504.0,1097.0
1.366,1425.0,1672.0,1504.0,1096.0
1.386,1424.0,1670.0,1504.0,1096.0
1.407,1424.0,1670.0,1503.0,1096.0
1.427,1424.0,1671.0,1503.0,1096.0
1.447,1424.0,1671.0,1503.0,1096.0
1.467,1424.0,1670.0,1502.0,1095.0
1.487,1424.0,1669.0,1502.0,1095.0
1.507,1422.0,1669.0,1500.0,1094.0
1.527,1422.0,1669.0,1502.0,1094.0
1.547,1422.0,1669.0,1502.0,1093.0
1.567,1422.0,1668.0,1501.0,1094.0
1.587,1425.0,1671.0,1504.0,1096.0
1.607,1425.0,1671.0,1503.0,1095.0
1.628,1424.0,1671.0,1504.0,1095.0
1.648,1426.0,1672.0,1505.0,1098.0
1.668,1422.0,1668.0,1502.0,1095.0
1.688,1424.0,1670.0,1504.0,1096.0
1.708,1424.0,1670.0,1504.0,1096.0
1.728,1425.0,1671.0,1504.0,1096.0
1.748,1426.0,1672.0,1504.0,1097.0
1.768,1426.0,1671.0,1504.0,1096.0
1.788,1425.0,1670.0,1505.0,1096.0
1.808,1425.0,1670.0,1503.0,1095.0
1.829,1425.0,1671.0,1504.0,1095.0
1.849,1425.0,1672.0,1505.0,1096.0
1.869,1425.0,1672.0,1505.0,1096.0
1.889,1426.0,1671.0,1504.0,1096.0
1.909,1422.0,1669.0,1502.0,1094.0
1.929,1425.0,1670.0,1505.0,1096.0
1.949,1425.0,1671.0,1505.0,1096.0
1.969,1425.0,1672.0,1504.0,1096.0
1.989,1426.0,1672.0,1505.0,1096.0
2.009,1425.0,1672.0,1504.0,1096.0
2.03,1425.0,1671.0,1504.0,1097.0
2.05,1425.0,1672.0,1504.0,1096.0
2.07,1426.0,1671.0,1504.0,1096.0
2.09,1425.0,1672.0,1505.0,1096.0
2.11,1424.0,1670.0,1504.0,1096.0
2.13,1423.0,1670.0,1504.0,1096.0
2.15,1422.0,1670.0,1502.0,1096.0
2.17,1425.0,1672.0,1504.0,1097.0
2.19,1425.0,1673.0,1504.0,1097.0
2.21,1426.0,1673.0,1505.0,1098.0
2.231,1425.0,1672.0,1505.0,1098.0
2.251,1424.0,1672.0,1505.0,1098.0
2.271,1426.0,1673.0,1505.0,1098.0
2.291,1424.0,1672.0,1503.0,1096.0
2.311,1425.0,1673.0,1505.0,1097.0
2.331,1426.0,1674.0,1505.0,1098.0
2.351,1422.0,1670.0,1503.0,1096.0
2.371,1422.0,1670.0,1502.0,1096.0
2.391,1420.0,1668.0,1500.0,1095.0
2.412,1417.0,1664.0,1497.0,1092.0
2.432,1418.0,1667.0,1497.0,1093.0
2.452,1416.0,1667.0,1496.0,1093.0
2.472,1412.0,1664.0,1492.0,1090.0
2.492,1400.0,1661.0,1486.0,1086.0
2.512,1388.0,1658.0,1478.0,1082.0
2.532,1386.0,1652.0,1473.0,1080.0
2.552,1386.0,1655.0,1473.0,1081.0
2.572,1390.0,1657.0,1477.0,1083.0
2.592,1390.0,1657.0,1477.0,1082.0
2.612,1387.0,1657.0,1477.0,1082.0
2.633,1386.0,1656.0,1475.0,1082.0
2.653,1388.0,1656.0,1476.0,1081.0
2.673,1393.0,1657.0,1479.0,1083.0
2.693,1396.0,1658.0,1482.0,1085.0
2.713,1397.0,1658.0,1483.0,1085.0
2.733,1396.0,1657.0,1481.0,1084.0
2.753,1393.0,1655.0,1480.0,1083.0
2.773,1397.0,1658.0,1483.0,1086.0
2.793,1399.0,1662.0,1484.0,1086.0
2.814,1399.0,1660.0,1484.0,1086.0
2.834,1401.0,1664.0,1487.0,1089.0
2.854,1401.0,1664.0,1488.0,1089.0
2.874,1399.0,1662.0,1484.0,1088.0
2.894,1396.0,1664.0,1482.0,1086.0
2.914,1391.0,1660.0,1480.0,1084.0
2.934,1393.0,1664.0,1482.0,1086.0
2.954,1392.0,1661.0,1480.0,1085.0
2.974,1391.0,1660.0,1480.0,1085.0
2.994,1390.0,1660.0,1479.0,1084.0
3.014,1390.0,1660.0,1479.0,1085.0
3.034,1390.0,1660.0,1478.0,1084.0
3.054,1394.0,1664.0,1482.0,1086.0
3.074,1392.0,1662.0,1480.0,1086.0
3.095,1391.0,1661.0,1480.0,1084.0
3.115,1390.0,1661.0,1480.0,1084.0
3.135,1390.0,1660.0,1481.0,1084.0
3.155,1390.0,1660.0,1481.0,1084.0
3.175,1394.0,1666.0,1485.0,1084.0
3.195,1393.0,1664.0,1484.0,1086.0
3.215,1392.0,1662.0,1484.0,1084.0
3.235,1388.0,1659.0,1479.0,1082.0
3.255,1388.0,1661.0,1480.0,1082.0
3.275,1390.0,1664.0,1480.0,1081.0
3.295,1389.0,1662.0,1482.0,1082.0
3.315,1389.0,1664.0,1482.0,1082.0
3.335,1388.0,1661.0,1480.0,1081.0
3.355,1388.0,1662.0,1480.0,1079.0
3.376,1389.0,1664.0,1482.0,1079.0
3.396,1386.0,1659.0,1479.0,1076.0
3.416,1387.0,1661.0,1481.0,1076.0
3.436,1386.0,1660.0,1479.0,1075.0
3.456,1382.0,1656.0,1476.0,1071.0
3.476,1382.0,1656.0,1476.0,1072.0
3.496,1383.0,1658.0,1475.0,1072.0
3.516,1386.0,1660.0,1478.0,1073.0
3.536,1383.0,1656.0,1475.0,1072.0
3.556,1385.0,1659.0,1477.0,1072.0
3.576,1384.0,1658.0,1476.0,1073.0
3.596,1383.0,1658.0,1476.0,1074.0
3.616,1383.0,1657.0,1474.0,1072.0
3.637,1384.0,1659.0,1476.0,1072.0
3.657,1385.0,1660.0,1476.0,1073.0
3.677,1385.0,1659.0,1475.0,1074.0
3.697,1386.0,1656.0,1471.0,1072.0
3.717,1386.0,1654.0,1463.0,1069.0
3.737,1388.0,1652.0,1449.0,1062.0
3.757,1392.0,1649.0,1434.0,1052.0
3.777,1393.0,1643.0,1412.0,1041.0
3.797,1394.0,1636.0,1385.0,1021.0
3.817,1399.0,1627.0,1348.0,1005.0
3.837,1399.0,1609.0,1307.0,988.0
3.857,1398.0,1591.0,1268.0,973.0
3.878,1396.0,1571.0,1236.0,960.0
3.898,1396.0,1550.0,1208.0,949.0
3.918,1395.0,1529.0,1182.0,939.0
3.938,1392.0,1509.0,1161.0,934.0
3.958,1395.0,1498.0,1150.0,930.0
3.978,1394.0,1485.0,1140.0,929.0
3.998,1393.0,1475.0,1133.0,927.0
4.018,1393.0,1469.0,1126.0,926.0
4.038,1394.0,1467.0,1122.0,926.0
4.058,1395.0,1465.0,1119.0,925.0
4.079,1395.0,1467.0,1116.0,925.0
4.099,1395.0,1472.0,1115.0,924.0
4.119,1395.0,1480.0,1115.0,924.0
4.139,1396.0,1495.0,1117.0,924.0
4.159,1395.0,1511.0,1119.0,925.0
4.179,1396.0,1526.0,1122.0,927.0
4.199,1396.0,1543.0,1127.0,932.0
4.219,1396.0,1560.0,1132.0,937.0
4.239,1397.0,1582.0,1141.0,945.0
4.259,1398.0,1602.0,1152.0,950.0
