t,front,rear,left,right
0.0,526.0,571.0,759.0,594.0
0.02,526.0,573.0,758.0,595.0
0.041,527.0,574.0,759.0,595.0
0.061,527.0,575.0,759.0,595.0
0.081,528.0,576.0,761.0,596.0
0.101,527.0,574.0,760.0,595.0
0.121,527.0,574.0,760.0,595.0
0.141,527.0,573.0,759.0,595.0
0.161,527.0,574.0,759.0,595.0
0.181,528.0,575.0,759.0,595.0
0.201,528.0,575.0,761.0,596.0
0.221,529.0,575.0,761.0,596.0
0.241,528.0,576.0,761.0,597.0
0.261,528.0,575.0,762.0,596.0
0.281,528.0,574.0,758.0,595.0
0.302,528.0,576.0,760.0,595.0
0.322,529.0,576.0,761.0,597.0
0.342,528.0,576.0,761.0,597.0
0.362,527.0,574.0,759.0,595.0
0.382,526.0,573.0,758.0,594.0
0.402,526.0,572.0,758.0,594.0
0.422,527.0,574.0,758.0,595.0
0.442,529.0,575.0,761.0,596.0
0.462,527.0,576.0,761.0,597.0
0.482,527.0,574.0,761.0,596.0
0.502,528.0,575.0,760.0,595.0
0.522,527.0,574.0,759.0,595.0
0.542,528.0,575.0,760.0,596.0
0.562,528.0,576.0,761.0,596.0
0.583,529.0,576.0,761.0,596.0
0.603,528.0,575.0,761.0,596.0
0.623,528.0,576.0,760.0,596.0
0.643,529.0,576.0,760.0,596.0
0.663,529.0,576.0,761.0,596.0
0.683,528.0,576.0,761.0,596.0
0.703,529.0,577.0,762.0,597.0
0.723,529.0,576.0,762.0,597.0
0.743,530.0,577.0,762.0,597.0
0.763,530.0,576.0,762.0,597.0
0.784,528.0,575.0,761.0,596.0
0.804,529.0,574.0,760.0,595.0
0.824,527.0,574.0,758.0,594.0
0.844,526.0,573.0,759.0,595.0
0.864,526.0,574.0,759.0,595.0
0.884,528.0,575.0,760.0,595.0
0.904,527.0,573.0,759.0,594.0
0.924,528.0,575.0,759.0,595.0
0.945,528.0,575.0,761.0,596.0
0.965,528.0,576.0,761.0,597.0
0.985,528.0,575.0,760.0,596.0
1.005,528.0,576.0,760.0,595.0
1.025,528.0,574.0,760.0,595.0
1.045,528.0,576.0,760.0,595.0
1.065,529.0,575.0,761.0,597.0
1.085,528.0,574.0,761.0,596.0
1.105,529.0,575.0,761.0,596.0
1.125,528.0,575.0,760.0,595.0
1.145,528.0,575.0,761.0,596.0
1.165,529.0,576.0,762.0,598.0
1.185,529.0,576.0,761.0,597.0
1.205,529.0,575.0,762.0,597.0
1.226,528.0,575.0,761.0,597.0
1.246,528.0,574.0,760.0,596.0
1.266,528.0,576.0,761.0,596.0
1.286,529.0,577.0,762.0,597.0
1.306,528.0,576.0,761.0,597.0
1.326,528.0,575.0,760.0,596.0
1.346,528.0,575.0,760.0,596.0
1.366,528.0,575.0,760.0,596.0
1.386,529.0,576.0,761.0,596.0
1.406,528.0,576.0,761.0,596.0
1.426,529.0,575.0,761.0,596.0
1.446,529.0,576.0,761.0,597.0
1.466,528.0,575.0,761.0,596.0
1.486,529.0,576.0,761.0,597.0
1.507,528.0,576.0,761.0,596.0
1.527,529.0,576.0,762.0,598.0
1.547,529.0,576.0,762.0,596.0
1.567,528.0,576.0,761.0,596.0
1.587,528.0,575.0,761.0,596.0
1.607,529.0,576.0,762.0,598.0
1.627,530.0,577.0,762.0,596.0
1.647,529.0,577.0,762.0,597.0
1.667,530.0,576.0,762.0,597.0
1.687,530.0,577.0,762.0,595.0
1.707,529.0,576.0,761.0,597.0
1.728,529.0,576.0,761.0,596.0
1.748,529.0,576.0,761.0,596.0
1.768,529.0,576.0,761.0,596.0
1.788,529.0,575.0,760.0,596.0
1.808,528.0,576.0,760.0,596.0
1.828,529.0,576.0,761.0,596.0
1.848,528.0,576.0,760.0,597.0
1.868,529.0,576.0,762.0,597.0
1.888,529.0,576.0,762.0,597.0
1.909,529.0,576.0,762.0,597.0
1.929,530.0,577.0,762.0,596.0
1.949,529.0,576.0,761.0,597.0
1.969,529.0,576.0,762.0,596.0
1.989,529.0,576.0,762.0,598.0
2.009,530.0,576.0,761.0,596.0
2.029,529.0,576.0,762.0,597.0
2.049,529.0,571.0,761.0,596.0
2.069,529.0,576.0,761.0,596.0
2.089,529.0,576.0,762.0,597.0
2.11,531.0,577.0,764.0,598.0
2.13,530.0,576.0,763.0,597.0
2.15,530.0,577.0,763.0,598.0
2.17,531.0,578.0,764.0,598.0
2.19,532.0,577.0,763.0,598.0
2.21,532.0,578.0,764.0,598.0
2.23,532.0,577.0,763.0,599.0
2.25,532.0,577.0,764.0,598.0
2.27,532.0,577.0,764.0,599.0
2.29,531.0,577.0,763.0,598.0
2.311,531.0,577.0,763.0,598.0
2.331,531.0,577.0,763.0,598.0
2.351,530.0,576.0,763.0,598.0
2.371,531.0,578.0,763.0,598.0
2.391,530.0,577.0,763.0,598.0
2.411,531.0,577.0,763.0,598.0
2.431,530.0,576.0,763.0,597.0
2.451,530.0,577.0,764.0,598.0
2.471,530.0,576.0,763.0,597.0
2.491,530.0,577.0,762.0,598.0
2.511,531.0,577.0,763.0,598.0
2.532,531.0,577.0,763.0,598.0
2.552,531.0,577.0,764.0,599.0
2.572,530.0,576.0,763.0,598.0
2.592,529.0,577.0,763.0,598.0
2.612,529.0,576.0,762.0,597.0
2.632,530.0,577.0,762.0,598.0
2.652,530.0,576.0,763.0,598.0
2.672,530.0,576.0,763.0,598.0
2.692,530.0,577.0,763.0,598.0
2.712,529.0,576.0,762.0,597.0
2.733,530.0,576.0,763.0,597.0
2.753,530.0,576.0,763.0,598.0
2.773,531.0,576.0,763.0,598.0
2.793,530.0,576.0,763.0,597.0
2.813,531.0,577.0,764.0,598.0
2.833,532.0,577.0,764.0,598.0
2.853,531.0,577.0,764.0,598.0
2.873,531.0,577.0,764.0,599.0
2.893,532.0,578.0,764.0,599.0
2.913,531.0,576.0,763.0,598.0
2.934,530.0,577.0,763.0,599.0
2.954,530.0,576.0,762.0,597.0
2.974,530.0,577.0,761.0,597.0
2.994,530.0,576.0,763.0,598.0
3.014,530.0,576.0,763.0,597.0
3.034,528.0,576.0,764.0,598.0
3.054,529.0,576.0,763.0,597.0
3.074,530.0,576.0,763.0,598.0
3.094,530.0,576.0,763.0,597.0
3.114,529.0,576.0,762.0,597.0
3.134,529.0,575.0,762.0,596.0
3.155,530.0,576.0,762.0,596.0
3.175,530.0,576.0,762.0,596.0
3.195,529.0,575.0,762.0,597.0
3.215,530.0,576.0,761.0,597.0
3.235,529.0,576.0,764.0,597.0
3.255,529.0,576.0,765.0,598.0
3.275,526.0,576.0,765.0,597.0
3.295,525.0,573.0,766.0,598.0
