t,front,rear,left,right
0.0,392.0,669.0,545.0,462.0
0.02,392.0,669.0,543.0,459.0
0.041,392.0,671.0,545.0,459.0
0.061,392.0,670.0,544.0,460.0
0.081,391.0,668.0,543.0,458.0
0.101,392.0,670.0,545.0,459.0
0.121,392.0,669.0,545.0,460.0
0.141,393.0,670.0,544.0,460.0
0.161,393.0,670.0,544.0,459.0
0.181,393.0,669.0,544.0,459.0
0.201,393.0,672.0,546.0,461.0
0.221,394.0,672.0,546.0,462.0
0.242,393.0,671.0,546.0,460.0
0.262,392.0,671.0,545.0,461.0
0.282,393.0,672.0,546.0,461.0
0.302,392.0,674.0,548.0,462.0
0.322,394.0,673.0,548.0,462.0
0.342,394.0,674.0,547.0,461.0
0.362,392.0,673.0,550.0,461.0
0.382,392.0,673.0,549.0,461.0
0.402,391.0,674.0,550.0,460.0
0.422,389.0,673.0,551.0,459.0
0.442,389.0,673.0,552.0,460.0
0.462,387.0,675.0,553.0,461.0
0.482,387.0,675.0,555.0,461.0
0.503,385.0,673.0,555.0,460.0
0.523,384.0,673.0,555.0,462.0
0.543,384.0,672.0,554.0,461.0
0.563,382.0,672.0,554.0,460.0
0.583,381.0,672.0,554.0,460.0
0.603,382.0,673.0,553.0,460.0
0.623,383.0,672.0,552.0,460.0
0.643,383.0,672.0,551.0,461.0
0.663,383.0,672.0,549.0,461.0
0.683,383.0,672.0,549.0,461.0
0.704,383.0,673.0,550.0,460.0
0.724,383.0,674.0,550.0,460.0
0.744,383.0,673.0,549.0,460.0
0.764,382.0,672.0,550.0,459.0
0.784,384.0,672.0,549.0,459.0
0.804,382.0,672.0,549.0,459.0
0.824,382.0,671.0,548.0,459.0
0.845,382.0,670.0,547.0,459.0
0.865,382.0,669.0,546.0,458.0
0.885,382.0,670.0,545.0,459.0
0.905,384.0,671.0,545.0,459.0
0.925,383.0,671.0,545.0,459.0
0.945,384.0,671.0,543.0,459.0
0.965,385.0,672.0,545.0,459.0
0.985,385.0,673.0,545.0,459.0
1.005,385.0,672.0,545.0,460.0
1.025,385.0,672.0,544.0,459.0
1.045,384.0,671.0,544.0,459.0
1.066,385.0,672.0,545.0,459.0
1.086,385.0,672.0,545.0,459.0
1.106,385.0,671.0,545.0,459.0
1.126,385.0,670.0,543.0,459.0
1.146,386.0,669.0,542.0,459.0
1.166,385.0,667.0,541.0,458.0
1.186,385.0,666.0,542.0,458.0
1.206,386.0,667.0,543.0,459.0
1.226,387.0,667.0,543.0,459.0
1.246,388.0,669.0,542.0,458.0
1.267,390.0,671.0,542.0,457.0
1.287,392.0,673.0,541.0,458.0
1.307,393.0,671.0,542.0,460.0
1.327,394.0,672.0,544.0,462.0
1.347,394.0,674.0,545.0,464.0
1.367,396.0,679.0,545.0,462.0
1.387,397.0,685.0,546.0,462.0
1.407,400.0,690.0,546.0,465.0
1.427,401.0,692.0,547.0,469.0
1.447,402.0,691.0,545.0,473.0
1.468,405.0,697.0,546.0,475.0
1.488,409.0,702.0,547.0,477.0
1.508,410.0,699.0,544.0,478.0
1.528,408.0,693.0,538.0,475.0
1.548,409.0,692.0,537.0,471.0
1.568,412.0,690.0,536.0,469.0
1.588,415.0,689.0,533.0,467.0
1.608,413.0,688.0,532.0,466.0
1.628,406.0,686.0,533.0,465.0
1.649,403.0,686.0,535.0,467.0
1.669,405.0,686.0,535.0,466.0
1.689,407.0,689.0,535.0,467.0
1.709,405.0,692.0,534.0,466.0
1.729,402.0,691.0,534.0,467.0
1.749,401.0,692.0,534.0,468.0
1.769,401.0,689.0,534.0,469.0
1.789,402.0,685.0,534.0,468.0
1.809,403.0,686.0,533.0,466.0
1.829,403.0,688.0,532.0,464.0
1.85,403.0,690.0,531.0,460.0
1.87,402.0,689.0,529.0,458.0
1.89,402.0,688.0,524.0,456.0
1.91,402.0,693.0,524.0,453.0
1.93,402.0,696.0,522.0,450.0
1.95,403.0,694.0,520.0,452.0
1.97,403.0,694.0,516.0,453.0
1.99,400.0,692.0,517.0,456.0
2.01,398.0,698.0,524.0,460.0
2.03,393.0,702.0,534.0,463.0
2.051,388.0,704.0,544.0,468.0
2.071,387.0,705.0,564.0,474.0
2.091,387.0,698.0,598.0,478.0
2.111,391.0,696.0,610.0,481.0
2.131,393.0,691.0,645.0,480.0
