t,left,right,diff,valid
0.003,17.0,20.0,-3.0,1
0.023,16.0,21.0,-5.0,1
0.043,25.0,21.0,4.0,1
0.063,69.0,21.0,48.0,1
0.084,17.0,22.0,-5.0,1
0.104,138.0,23.0,115.0,1
0.124,16.0,20.0,-4.0,1
0.144,19.0,34.0,-15.0,1
0.164,17.0,21.0,-4.0,1
0.184,17.0,21.0,-4.0,1
0.204,41.0,20.0,21.0,1
0.224,185.0,34.0,151.0,1
0.244,33.0,21.0,12.0,1
0.265,18.0,20.0,-2.0,1
0.285,18.0,22.0,-4.0,1
0.305,26.0,21.0,5.0,1
0.325,53.0,21.0,32.0,1
0.345,16.0,20.0,-4.0,1
0.365,119.0,20.0,99.0,1
0.385,16.0,20.0,-4.0,1
0.405,18.0,21.0,-3.0,1
0.425,52.0,20.0,32.0,1
0.446,14.0,20.0,-6.0,1
0.466,52.0,20.0,32.0,1
0.486,17.0,20.0,-3.0,1
0.506,28.0,20.0,8.0,1
0.526,17.0,20.0,-3.0,1
0.546,168.0,30.0,138.0,1
0.566,85.0,20.0,65.0,1
0.586,101.0,20.0,81.0,1
0.606,28.0,21.0,7.0,1
0.626,17.0,19.0,-2.0,1
0.646,33.0,19.0,14.0,1
0.667,16.0,20.0,-4.0,1
0.687,41.0,20.0,21.0,1
0.707,249.0,20.0,229.0,1
0.727,84.0,20.0,64.0,1
0.747,16.0,21.0,-5.0,1
0.767,17.0,25.0,-8.0,1
0.787,17.0,32.0,-15.0,1
0.807,53.0,20.0,33.0,1
0.827,85.0,20.0,65.0,1
0.847,118.0,21.0,97.0,1
0.868,33.0,20.0,13.0,1
0.888,18.0,27.0,-9.0,1
0.908,53.0,20.0,33.0,1
0.928,25.0,21.0,4.0,1
0.948,68.0,20.0,48.0,1
0.968,19.0,21.0,-2.0,1
0.988,18.0,20.0,-2.0,1
1.008,43.0,20.0,23.0,1
1.028,183.0,20.0,163.0,1
1.048,32.0,20.0,12.0,1
1.069,19.0,20.0,-1.0,1
1.089,25.0,32.0,-7.0,1
1.109,17.0,21.0,-4.0,1
1.129,52.0,20.0,32.0,1
1.149,16.0,20.0,-4.0,1
1.169,282.0,20.0,262.0,1
1.189,25.0,19.0,6.0,1
1.209,68.0,21.0,47.0,1
1.229,16.0,20.0,-4.0,1
1.249,18.0,19.0,-1.0,1
1.269,41.0,19.0,22.0,1
1.289,52.0,20.0,32.0,1
1.31,100.0,20.0,80.0,1
1.33,26.0,19.0,7.0,1
1.35,17.0,20.0,-3.0,1
1.37,17.0,20.0,-3.0,1
1.39,32.0,21.0,11.0,1
1.41,18.0,20.0,-2.0,1
1.43,17.0,20.0,-3.0,1
1.45,17.0,19.0,-2.0,1
1.47,17.0,21.0,-4.0,1
1.491,32.0,20.0,12.0,1
1.511,54.0,20.0,34.0,1
1.531,85.0,20.0,65.0,1
1.551,26.0,21.0,5.0,1
1.571,19.0,19.0,0.0,1
1.591,23.0,21.0,2.0,1
1.611,17.0,20.0,-3.0,1
1.631,33.0,20.0,13.0,1
1.651,251.0,20.0,231.0,1
1.671,25.0,20.0,5.0,1
1.692,17.0,20.0,-3.0,1
1.712,41.0,20.0,21.0,1
1.732,16.0,20.0,-4.0,1
1.752,70.0,20.0,50.0,1
1.772,297.0,20.0,277.0,1
1.792,26.0,20.0,6.0,1
1.812,25.0,20.0,5.0,1
1.832,83.0,19.0,64.0,1
1.852,24.0,20.0,4.0,1
1.873,68.0,20.0,48.0,1
1.893,20.0,20.0,0.0,1
1.913,26.0,20.0,6.0,1
1.933,17.0,21.0,-4.0,1
1.953,19.0,20.0,-1.0,1
1.973,152.0,21.0,131.0,1
1.993,53.0,29.0,24.0,1
2.013,90.0,22.0,68.0,1
