t,left,right,diff,valid
0.003,70.0,21.0,49.0,1
0.023,86.0,21.0,65.0,1
0.043,42.0,21.0,21.0,1
0.063,17.0,20.0,-3.0,1
0.083,43.0,20.0,23.0,1
0.103,54.0,20.0,34.0,1
0.123,17.0,20.0,-3.0,1
0.144,68.0,21.0,47.0,1
0.164,42.0,20.0,22.0,1
0.184,217.0,20.0,197.0,1
0.204,26.0,20.0,6.0,1
0.224,68.0,21.0,47.0,1
0.244,77.0,21.0,56.0,1
0.264,17.0,20.0,-3.0,1
0.284,53.0,21.0,32.0,1
0.304,17.0,20.0,-3.0,1
0.324,17.0,20.0,-3.0,1
0.344,70.0,20.0,50.0,1
0.364,282.0,21.0,261.0,1
0.385,119.0,20.0,99.0,1
0.405,53.0,31.0,22.0,1
0.425,17.0,20.0,-3.0,1
0.445,17.0,20.0,-3.0,1
0.465,69.0,20.0,49.0,1
0.485,275.0,20.0,255.0,1
0.505,85.0,20.0,65.0,1
0.525,69.0,20.0,49.0,1
0.545,34.0,20.0,14.0,1
0.565,54.0,21.0,33.0,1
0.585,62.0,20.0,42.0,1
0.605,68.0,20.0,48.0,1
0.626,52.0,20.0,32.0,1
0.646,41.0,23.0,18.0,1
0.666,17.0,32.0,-15.0,1
0.686,33.0,20.0,13.0,1
0.706,69.0,21.0,48.0,1
0.726,282.0,20.0,262.0,1
0.746,89.0,28.0,61.0,1
0.766,102.0,20.0,82.0,1
0.786,17.0,21.0,-4.0,1
0.807,16.0,20.0,-4.0,1
0.827,69.0,21.0,48.0,1
0.847,17.0,20.0,-3.0,1
0.867,117.0,20.0,97.0,1
0.887,42.0,20.0,22.0,1
0.907,69.0,20.0,49.0,1
0.927,67.0,20.0,47.0,1
0.947,41.0,20.0,21.0,1
0.967,101.0,20.0,81.0,1
0.988,17.0,20.0,-3.0,1
1.008,34.0,20.0,14.0,1
1.028,52.0,20.0,32.0,1
1.048,51.0,20.0,31.0,1
1.068,54.0,23.0,31.0,1
1.088,119.0,33.0,86.0,1
1.108,34.0,20.0,14.0,1
1.128,68.0,20.0,48.0,1
1.148,54.0,20.0,34.0,1
1.169,17.0,20.0,-3.0,1
1.189,52.0,21.0,31.0,1
1.209,17.0,19.0,-2.0,1
1.229,68.0,20.0,48.0,1
1.249,53.0,20.0,33.0,1
1.269,168.0,19.0,149.0,1
1.289,41.0,20.0,21.0,1
1.309,84.0,20.0,64.0,1
1.329,118.0,20.0,98.0,1
1.35,17.0,19.0,-2.0,1
1.37,33.0,20.0,13.0,1
1.39,119.0,21.0,98.0,1
1.41,52.0,19.0,33.0,1
1.43,53.0,21.0,32.0,1
1.45,102.0,21.0,81.0,1
1.47,26.0,20.0,6.0,1
1.49,32.0,33.0,-1.0,1
1.51,42.0,20.0,22.0,1
1.531,52.0,20.0,32.0,1
1.551,52.0,20.0,32.0,1
1.571,41.0,20.0,21.0,1
1.591,68.0,20.0,48.0,1
1.611,42.0,19.0,23.0,1
1.631,183.0,20.0,163.0,1
