t,left,right,diff,valid
0.003,33.0,22.0,11.0,1
0.023,17.0,25.0,-8.0,1
0.043,85.0,33.0,52.0,1
0.063,86.0,23.0,63.0,1
0.083,50.0,22.0,28.0,1
0.103,17.0,24.0,-7.0,1
0.123,17.0,22.0,-5.0,1
0.143,17.0,20.0,-3.0,1
0.163,19.0,21.0,-2.0,1
0.183,20.0,21.0,-1.0,1
0.204,51.0,21.0,30.0,1
0.224,16.0,20.0,-4.0,1
0.244,17.0,21.0,-4.0,1
0.264,16.0,24.0,-8.0,1
0.284,77.0,34.0,43.0,1
0.304,85.0,21.0,64.0,1
0.324,34.0,21.0,13.0,1
0.344,16.0,21.0,-5.0,1
0.364,118.0,21.0,97.0,1
0.384,17.0,20.0,-3.0,1
0.404,17.0,20.0,-3.0,1
0.424,42.0,21.0,21.0,1
0.445,17.0,20.0,-3.0,1
0.465,17.0,21.0,-4.0,1
0.485,17.0,20.0,-3.0,1
0.505,16.0,22.0,-6.0,1
0.525,35.0,21.0,14.0,1
0.545,84.0,20.0,64.0,1
0.565,42.0,21.0,21.0,1
0.585,16.0,20.0,-4.0,1
0.605,16.0,21.0,-5.0,1
0.625,17.0,21.0,-4.0,1
0.645,42.0,20.0,22.0,1
0.666,53.0,22.0,31.0,1
0.686,252.0,21.0,231.0,1
0.706,17.0,20.0,-3.0,1
0.726,16.0,20.0,-4.0,1
0.746,42.0,21.0,21.0,1
0.766,17.0,20.0,-3.0,1
0.786,44.0,21.0,23.0,1
0.806,17.0,21.0,-4.0,1
0.826,18.0,20.0,-2.0,1
0.847,18.0,22.0,-4.0,1
0.867,52.0,21.0,31.0,1
0.887,117.0,20.0,97.0,1
0.907,26.0,33.0,-7.0,1
0.927,17.0,19.0,-2.0,1
0.947,52.0,19.0,33.0,1
0.967,17.0,20.0,-3.0,1
0.987,17.0,20.0,-3.0,1
1.008,86.0,24.0,62.0,1
1.028,33.0,20.0,13.0,1
1.048,110.0,20.0,90.0,1
1.069,18.0,21.0,-3.0,1
1.089,17.0,20.0,-3.0,1
1.109,84.0,20.0,64.0,1
1.129,17.0,22.0,-5.0,1
1.149,89.0,33.0,56.0,1
1.169,200.0,21.0,179.0,1
1.189,17.0,20.0,-3.0,1
1.209,20.0,19.0,1.0,1
1.229,51.0,20.0,31.0,1
1.25,18.0,21.0,-3.0,1
1.27,32.0,20.0,12.0,1
1.29,16.0,19.0,-3.0,1
1.31,183.0,21.0,162.0,1
1.33,16.0,20.0,-4.0,1
1.35,83.0,21.0,62.0,1
1.37,69.0,20.0,49.0,1
1.39,17.0,20.0,-3.0,1
1.41,25.0,21.0,4.0,1
1.431,17.0,20.0,-3.0,1
1.451,18.0,21.0,-3.0,1
1.471,52.0,26.0,26.0,1
1.491,33.0,32.0,1.0,1
1.511,43.0,21.0,22.0,1
1.531,117.0,20.0,97.0,1
1.551,16.0,20.0,-4.0,1
1.571,19.0,21.0,-2.0,1
1.591,33.0,21.0,12.0,1
1.611,16.0,21.0,-5.0,1
1.632,200.0,21.0,179.0,1
1.652,16.0,20.0,-4.0,1
1.672,18.0,20.0,-2.0,1
1.692,16.0,21.0,-5.0,1
1.712,101.0,21.0,80.0,1
1.732,52.0,20.0,32.0,1
1.752,17.0,21.0,-4.0,1
1.772,17.0,21.0,-4.0,1
1.792,200.0,22.0,178.0,1
1.813,42.0,34.0,8.0,1
1.833,168.0,20.0,148.0,1
1.853,52.0,21.0,31.0,1
1.873,17.0,20.0,-3.0,1
1.893,17.0,20.0,-3.0,1
1.913,17.0,21.0,-4.0,1
1.933,101.0,21.0,80.0,1
1.953,41.0,20.0,21.0,1
1.973,52.0,19.0,33.0,1
1.994,53.0,19.0,34.0,1
2.014,17.0,20.0,-3.0,1
2.034,16.0,17.0,-1.0,1
2.054,16.0,21.0,-5.0,1
2.074,17.0,20.0,-3.0,1
2.094,52.0,21.0,31.0,1
2.114,251.0,20.0,231.0,1
2.134,16.0,20.0,-4.0,1
2.154,26.0,20.0,6.0,1
2.175,52.0,21.0,31.0,1
2.195,17.0,20.0,-3.0,1
2.215,52.0,21.0,31.0,1
2.235,16.0,20.0,-4.0,1
2.255,134.0,21.0,113.0,1
2.275,16.0,21.0,-5.0,1
2.295,117.0,20.0,97.0,1
2.315,24.0,20.0,4.0,1
2.335,85.0,20.0,65.0,1
2.356,16.0,20.0,-4.0,1
2.376,25.0,21.0,4.0,1
2.396,17.0,20.0,-3.0,1
2.416,51.0,20.0,31.0,1
2.436,26.0,20.0,6.0,1
2.456,42.0,21.0,21.0,1
2.476,16.0,21.0,-5.0,1
2.496,16.0,19.0,-3.0,1
2.516,17.0,20.0,-3.0,1
2.537,84.0,21.0,63.0,1
2.557,16.0,32.0,-16.0,1
2.577,27.0,34.0,-7.0,1
2.597,150.0,20.0,130.0,1
2.617,52.0,20.0,32.0,1
2.637,16.0,20.0,-4.0,1
2.657,33.0,21.0,12.0,1
2.677,16.0,21.0,-5.0,1
2.698,17.0,20.0,-3.0,1
2.718,17.0,20.0,-3.0,1
2.738,170.0,21.0,149.0,1
2.758,17.0,20.0,-3.0,1
2.778,99.0,20.0,79.0,1
2.798,84.0,20.0,64.0,1
2.818,16.0,20.0,-4.0,1
2.838,17.0,21.0,-4.0,1
2.859,17.0,20.0,-3.0,1
2.879,26.0,21.0,5.0,1
2.899,85.0,22.0,63.0,1
2.919,41.0,21.0,20.0,1
2.939,117.0,20.0,97.0,1
2.959,17.0,21.0,-4.0,1
2.979,17.0,21.0,-4.0,1
2.999,167.0,20.0,147.0,1
3.019,32.0,20.0,12.0,1
3.039,17.0,20.0,-3.0,1
3.06,84.0,20.0,64.0,1
3.08,16.0,20.0,-4.0,1
3.1,17.0,20.0,-3.0,1
3.12,117.0,21.0,96.0,1
3.14,17.0,20.0,-3.0,1
3.16,134.0,20.0,114.0,1
3.18,17.0,20.0,-3.0,1
3.2,17.0,20.0,-3.0,1
3.22,171.0,20.0,151.0,1
3.241,33.0,21.0,12.0,1
3.261,68.0,21.0,47.0,1
3.281,84.0,20.0,64.0,1
3.301,16.0,22.0,-6.0,1
3.321,26.0,33.0,-7.0,1
3.341,17.0,27.0,-10.0,1
3.361,41.0,21.0,20.0,1
3.381,52.0,21.0,31.0,1
3.401,68.0,21.0,47.0,1
3.422,26.0,20.0,6.0,1
3.442,16.0,21.0,-5.0,1
3.462,16.0,21.0,-5.0,1
3.482,60.0,21.0,39.0,1
3.502,16.0,20.0,-4.0,1
3.522,42.0,21.0,21.0,1
3.542,84.0,21.0,63.0,1
3.562,17.0,34.0,-17.0,1
3.582,17.0,21.0,-4.0,1
3.602,52.0,20.0,32.0,1
3.623,17.0,20.0,-3.0,1
3.643,84.0,23.0,61.0,1
3.663,16.0,20.0,-4.0,1
3.683,118.0,21.0,97.0,1
3.703,17.0,22.0,-5.0,1
