t,front,rear,left,right
0.0,455.0,606.0,671.0,660.0
0.021,457.0,607.0,672.0,661.0
0.041,457.0,605.0,670.0,660.0
0.061,458.0,606.0,671.0,661.0
0.081,458.0,607.0,672.0,662.0
0.101,458.0,608.0,673.0,662.0
0.121,458.0,608.0,672.0,662.0
0.141,458.0,608.0,672.0,662.0
0.161,459.0,608.0,672.0,663.0
0.181,459.0,608.0,672.0,662.0
0.201,459.0,609.0,672.0,663.0
0.222,459.0,608.0,673.0,663.0
0.242,459.0,608.0,673.0,663.0
0.262,458.0,608.0,673.0,663.0
0.282,459.0,608.0,672.0,662.0
0.302,459.0,608.0,673.0,663.0
0.322,459.0,608.0,673.0,663.0
0.342,460.0,608.0,673.0,663.0
0.362,458.0,608.0,672.0,662.0
0.382,459.0,609.0,673.0,662.0
0.402,459.0,608.0,673.0,663.0
0.423,458.0,608.0,672.0,662.0
0.443,459.0,608.0,673.0,663.0
0.463,460.0,609.0,674.0,664.0
0.483,459.0,608.0,673.0,663.0
0.503,459.0,608.0,673.0,664.0
0.523,460.0,609.0,673.0,663.0
0.543,459.0,609.0,674.0,664.0
0.563,459.0,608.0,673.0,662.0
0.583,459.0,609.0,673.0,663.0
0.603,458.0,609.0,673.0,663.0
0.623,459.0,609.0,673.0,663.0
0.644,459.0,609.0,673.0,663.0
0.664,458.0,608.0,673.0,662.0
0.684,458.0,608.0,673.0,663.0
0.704,460.0,608.0,674.0,663.0
0.724,458.0,609.0,674.0,663.0
0.744,459.0,609.0,674.0,664.0
0.764,459.0,609.0,674.0,663.0
0.784,459.0,608.0,673.0,664.0
0.804,460.0,609.0,673.0,663.0
0.824,459.0,609.0,673.0,663.0
0.845,459.0,609.0,673.0,663.0
0.865,459.0,609.0,673.0,663.0
0.885,459.0,606.0,674.0,663.0
0.905,459.0,608.0,672.0,663.0
0.925,459.0,609.0,673.0,664.0
0.945,458.0,609.0,673.0,663.0
0.965,459.0,608.0,674.0,663.0
0.985,459.0,608.0,674.0,663.0
1.005,460.0,609.0,673.0,664.0
1.025,459.0,608.0,673.0,664.0
1.046,459.0,609.0,674.0,662.0
1.066,459.0,609.0,673.0,664.0
1.086,459.0,608.0,672.0,663.0
1.106,459.0,608.0,673.0,663.0
1.126,459.0,609.0,674.0,664.0
1.146,459.0,609.0,674.0,664.0
1.166,459.0,609.0,674.0,664.0
1.186,460.0,610.0,674.0,664.0
1.206,459.0,609.0,674.0,664.0
1.226,460.0,609.0,674.0,664.0
1.246,459.0,609.0,674.0,662.0
1.267,460.0,608.0,674.0,664.0
1.287,460.0,608.0,674.0,663.0
1.307,459.0,608.0,674.0,664.0
1.327,459.0,609.0,674.0,664.0
1.347,459.0,610.0,674.0,664.0
1.367,460.0,610.0,674.0,664.0
1.387,456.0,609.0,673.0,663.0
1.407,459.0,609.0,674.0,664.0
1.427,460.0,610.0,674.0,664.0
1.448,460.0,610.0,674.0,664.0
1.468,460.0,610.0,674.0,665.0
1.488,459.0,609.0,674.0,664.0
1.508,459.0,609.0,673.0,663.0
1.528,459.0,609.0,673.0,663.0
1.548,459.0,609.0,673.0,664.0
1.568,459.0,608.0,673.0,663.0
1.588,459.0,609.0,674.0,664.0
1.608,459.0,608.0,673.0,663.0
1.628,459.0,609.0,673.0,663.0
1.648,460.0,609.0,674.0,664.0
1.669,460.0,610.0,674.0,663.0
1.689,458.0,609.0,674.0,663.0
1.709,459.0,608.0,674.0,664.0
1.729,459.0,609.0,673.0,663.0
1.749,459.0,609.0,673.0,663.0
1.769,459.0,608.0,673.0,662.0
1.789,459.0,607.0,673.0,663.0
1.809,459.0,608.0,672.0,664.0
1.829,460.0,609.0,673.0,663.0
1.849,459.0,608.0,673.0,664.0
1.87,460.0,609.0,674.0,664.0
1.89,460.0,609.0,673.0,663.0
1.91,460.0,610.0,674.0,664.0
1.93,460.0,609.0,671.0,664.0
1.95,459.0,609.0,674.0,664.0
1.97,459.0,609.0,674.0,663.0
1.99,460.0,608.0,673.0,663.0
2.01,459.0,608.0,672.0,663.0
2.031,460.0,608.0,674.0,664.0
2.051,459.0,609.0,673.0,663.0
2.071,460.0,609.0,674.0,664.0
2.091,459.0,608.0,673.0,663.0
2.111,459.0,609.0,673.0,664.0
2.131,459.0,609.0,674.0,664.0
2.151,459.0,608.0,673.0,663.0
2.171,459.0,609.0,673.0,663.0
2.191,458.0,610.0,674.0,663.0
2.211,458.0,608.0,673.0,662.0
2.231,460.0,609.0,674.0,663.0
2.252,460.0,609.0,674.0,664.0
2.272,459.0,610.0,673.0,664.0
2.292,459.0,608.0,674.0,663.0
2.312,460.0,609.0,674.0,664.0
2.332,459.0,608.0,674.0,663.0
2.352,459.0,609.0,674.0,664.0
2.372,459.0,608.0,673.0,663.0
2.392,459.0,608.0,673.0,663.0
2.412,459.0,609.0,673.0,664.0
2.432,459.0,609.0,674.0,664.0
2.453,458.0,609.0,673.0,664.0
