t,front,rear,left,right
0.0,482.0,558.0,732.0,638.0
0.02,482.0,560.0,732.0,637.0
0.041,483.0,559.0,733.0,638.0
0.061,482.0,557.0,732.0,637.0
0.081,482.0,557.0,732.0,637.0
0.101,483.0,558.0,733.0,638.0
0.121,482.0,558.0,733.0,638.0
0.141,482.0,558.0,733.0,638.0
0.161,484.0,560.0,735.0,640.0
0.181,483.0,560.0,734.0,640.0
0.201,483.0,558.0,733.0,639.0
0.221,483.0,559.0,733.0,638.0
0.241,484.0,559.0,733.0,639.0
0.261,484.0,560.0,734.0,640.0
0.281,484.0,559.0,735.0,640.0
0.302,483.0,559.0,734.0,639.0
0.322,483.0,559.0,734.0,639.0
0.342,484.0,560.0,734.0,638.0
0.362,485.0,560.0,734.0,639.0
0.382,484.0,560.0,734.0,639.0
0.402,484.0,560.0,734.0,640.0
0.422,484.0,560.0,735.0,640.0
0.442,484.0,560.0,734.0,640.0
0.462,484.0,560.0,734.0,640.0
0.482,484.0,561.0,735.0,641.0
0.502,484.0,561.0,735.0,640.0
0.523,484.0,561.0,735.0,640.0
0.543,485.0,560.0,734.0,640.0
0.563,485.0,561.0,735.0,640.0
0.583,485.0,560.0,735.0,640.0
0.603,484.0,561.0,736.0,640.0
0.623,484.0,560.0,735.0,640.0
0.643,483.0,560.0,734.0,639.0
0.663,484.0,560.0,734.0,639.0
0.683,484.0,560.0,735.0,640.0
0.703,484.0,560.0,734.0,640.0
0.723,484.0,561.0,735.0,640.0
0.744,484.0,560.0,732.0,640.0
0.764,484.0,560.0,735.0,640.0
0.784,485.0,561.0,734.0,640.0
0.804,484.0,560.0,734.0,640.0
0.824,483.0,559.0,733.0,639.0
0.844,483.0,559.0,735.0,640.0
0.864,483.0,559.0,734.0,640.0
0.884,484.0,561.0,735.0,638.0
0.904,484.0,560.0,736.0,640.0
0.924,484.0,560.0,736.0,640.0
0.945,483.0,559.0,733.0,640.0
0.965,484.0,560.0,735.0,640.0
0.985,484.0,560.0,735.0,640.0
1.005,484.0,560.0,734.0,640.0
1.025,484.0,560.0,735.0,640.0
1.045,484.0,560.0,735.0,640.0
1.065,484.0,561.0,734.0,640.0
1.085,484.0,560.0,734.0,640.0
1.105,484.0,561.0,734.0,640.0
1.125,485.0,560.0,734.0,640.0
1.145,484.0,561.0,734.0,640.0
1.166,485.0,561.0,735.0,640.0
1.186,485.0,561.0,736.0,641.0
1.206,484.0,560.0,735.0,640.0
1.226,484.0,561.0,735.0,640.0
1.246,485.0,561.0,735.0,640.0
1.266,484.0,560.0,735.0,640.0
1.286,484.0,560.0,736.0,640.0
1.306,484.0,561.0,735.0,640.0
1.326,484.0,561.0,735.0,640.0
1.346,484.0,559.0,734.0,640.0
1.367,485.0,561.0,735.0,640.0
1.387,484.0,559.0,734.0,640.0
1.407,484.0,560.0,735.0,640.0
1.427,484.0,559.0,734.0,639.0
1.447,484.0,560.0,733.0,639.0
1.467,484.0,560.0,735.0,640.0
1.487,483.0,560.0,734.0,639.0
1.507,484.0,561.0,735.0,640.0
1.527,484.0,560.0,734.0,639.0
1.547,484.0,560.0,735.0,640.0
1.567,484.0,560.0,734.0,640.0
1.588,484.0,560.0,734.0,640.0
1.608,484.0,560.0,734.0,640.0
1.628,484.0,559.0,734.0,640.0
1.648,483.0,561.0,735.0,640.0
1.668,483.0,560.0,734.0,640.0
1.688,485.0,561.0,734.0,640.0
1.708,484.0,561.0,735.0,640.0
1.728,484.0,560.0,735.0,640.0
1.748,485.0,560.0,735.0,640.0
1.768,484.0,561.0,735.0,640.0
1.789,484.0,560.0,735.0,640.0
1.809,485.0,561.0,735.0,640.0
1.829,484.0,560.0,735.0,640.0
1.849,484.0,560.0,734.0,639.0
1.869,483.0,559.0,734.0,640.0
1.889,484.0,561.0,734.0,640.0
1.909,484.0,560.0,736.0,640.0
1.929,484.0,560.0,734.0,640.0
1.949,484.0,560.0,735.0,640.0
1.969,484.0,560.0,736.0,640.0
1.989,484.0,561.0,735.0,640.0
2.01,484.0,560.0,736.0,640.0
2.03,484.0,560.0,735.0,640.0
2.05,483.0,560.0,734.0,640.0
2.07,485.0,560.0,735.0,640.0
2.09,484.0,560.0,735.0,640.0
2.11,484.0,560.0,734.0,640.0
2.13,484.0,560.0,735.0,640.0
2.15,484.0,560.0,735.0,640.0
2.17,484.0,559.0,734.0,638.0
2.191,483.0,560.0,735.0,640.0
2.211,484.0,560.0,734.0,639.0
2.231,485.0,559.0,735.0,640.0
2.251,485.0,561.0,736.0,640.0
2.271,485.0,561.0,735.0,641.0
2.291,485.0,562.0,736.0,640.0
2.311,486.0,562.0,737.0,642.0
2.331,486.0,562.0,736.0,641.0
