t,front,rear,left,right
0.0,555.0,872.0,917.0,752.0
0.02,554.0,871.0,917.0,752.0
0.041,556.0,874.0,919.0,754.0
0.061,551.0,867.0,912.0,747.0
0.081,551.0,867.0,912.0,749.0
0.101,552.0,868.0,914.0,751.0
0.121,553.0,871.0,916.0,753.0
0.141,557.0,875.0,920.0,755.0
0.161,557.0,876.0,921.0,756.0
0.181,556.0,873.0,919.0,754.0
0.201,556.0,875.0,920.0,756.0
0.221,556.0,875.0,920.0,755.0
0.241,555.0,872.0,918.0,754.0
0.261,558.0,877.0,922.0,756.0
0.282,557.0,874.0,920.0,755.0
0.302,557.0,875.0,921.0,755.0
0.322,557.0,876.0,922.0,757.0
0.342,557.0,875.0,921.0,756.0
0.362,555.0,874.0,919.0,754.0
0.382,557.0,875.0,921.0,756.0
0.402,556.0,874.0,920.0,755.0
0.422,557.0,876.0,922.0,756.0
0.442,556.0,875.0,920.0,755.0
0.462,557.0,874.0,920.0,755.0
0.482,557.0,876.0,920.0,756.0
0.502,556.0,875.0,921.0,756.0
0.522,557.0,877.0,923.0,758.0
0.542,554.0,870.0,917.0,752.0
0.563,554.0,872.0,917.0,753.0
0.583,556.0,875.0,920.0,756.0
0.603,557.0,875.0,920.0,756.0
0.623,555.0,874.0,920.0,755.0
0.643,554.0,871.0,916.0,752.0
0.663,554.0,872.0,916.0,752.0
0.683,556.0,874.0,917.0,752.0
0.703,556.0,874.0,919.0,754.0
0.723,554.0,872.0,918.0,753.0
0.743,555.0,873.0,919.0,753.0
0.764,554.0,871.0,916.0,752.0
0.784,555.0,872.0,917.0,753.0
0.804,553.0,871.0,916.0,752.0
0.824,554.0,870.0,916.0,752.0
0.844,555.0,872.0,917.0,753.0
0.864,554.0,870.0,916.0,751.0
0.884,552.0,870.0,914.0,750.0
0.904,555.0,873.0,918.0,754.0
0.924,554.0,871.0,917.0,753.0
0.944,554.0,873.0,917.0,752.0
0.964,554.0,870.0,915.0,750.0
0.985,555.0,874.0,919.0,754.0
1.005,555.0,874.0,918.0,753.0
1.025,554.0,872.0,917.0,751.0
1.045,553.0,870.0,916.0,751.0
1.065,556.0,874.0,919.0,755.0
1.085,556.0,875.0,921.0,755.0
1.105,557.0,876.0,921.0,757.0
1.125,557.0,875.0,921.0,756.0
1.145,555.0,872.0,917.0,753.0
1.165,555.0,876.0,917.0,753.0
1.185,557.0,876.0,921.0,756.0
1.206,557.0,876.0,921.0,757.0
1.226,557.0,876.0,922.0,757.0
1.246,558.0,877.0,923.0,757.0
1.266,558.0,877.0,923.0,758.0
1.286,556.0,875.0,921.0,757.0
1.306,557.0,876.0,921.0,756.0
1.326,557.0,876.0,922.0,757.0
1.346,559.0,877.0,924.0,757.0
1.366,558.0,878.0,923.0,758.0
1.386,558.0,879.0,924.0,758.0
1.406,558.0,878.0,921.0,757.0
1.426,558.0,876.0,921.0,755.0
1.446,557.0,876.0,921.0,756.0
1.466,557.0,876.0,922.0,757.0
1.487,558.0,877.0,922.0,757.0
1.507,558.0,878.0,923.0,758.0
1.527,558.0,877.0,922.0,757.0
1.547,557.0,876.0,921.0,756.0
1.567,558.0,876.0,921.0,757.0
1.587,556.0,874.0,919.0,754.0
1.607,558.0,877.0,922.0,757.0
1.627,558.0,876.0,923.0,757.0
1.647,557.0,878.0,923.0,758.0
1.667,557.0,876.0,921.0,756.0
1.688,558.0,878.0,923.0,757.0
1.708,556.0,876.0,920.0,755.0
1.728,556.0,875.0,921.0,756.0
1.748,558.0,877.0,923.0,757.0
1.768,557.0,876.0,920.0,756.0
1.788,558.0,877.0,923.0,757.0
1.808,557.0,874.0,920.0,755.0
1.828,558.0,878.0,923.0,757.0
1.848,559.0,878.0,923.0,757.0
1.868,558.0,877.0,922.0,756.0
1.889,558.0,877.0,922.0,757.0
1.909,557.0,876.0,920.0,755.0
