t,front,rear,left,right
0.0,606.0,901.0,915.0,863.0
0.021,606.0,901.0,916.0,865.0
0.041,607.0,903.0,916.0,865.0
0.061,602.0,895.0,910.0,859.0
0.081,602.0,896.0,910.0,858.0
0.101,602.0,896.0,910.0,859.0
0.121,605.0,901.0,914.0,865.0
0.141,605.0,902.0,915.0,865.0
0.161,606.0,901.0,915.0,864.0
0.181,606.0,902.0,917.0,865.0
0.201,608.0,906.0,920.0,868.0
0.221,608.0,905.0,919.0,867.0
0.241,606.0,902.0,917.0,865.0
0.261,607.0,904.0,917.0,867.0
0.282,606.0,902.0,917.0,865.0
0.302,606.0,903.0,916.0,865.0
0.322,606.0,902.0,916.0,864.0
0.342,608.0,904.0,918.0,866.0
0.362,608.0,904.0,917.0,866.0
0.382,608.0,904.0,919.0,868.0
0.402,608.0,905.0,919.0,867.0
0.422,608.0,904.0,919.0,868.0
0.442,606.0,902.0,917.0,867.0
0.462,606.0,903.0,917.0,866.0
0.482,609.0,907.0,914.0,864.0
0.502,607.0,904.0,917.0,865.0
0.522,609.0,906.0,921.0,869.0
0.543,608.0,905.0,919.0,868.0
0.563,607.0,903.0,916.0,865.0
0.583,608.0,905.0,919.0,868.0
0.603,605.0,900.0,915.0,865.0
0.623,608.0,905.0,918.0,867.0
0.643,608.0,905.0,918.0,868.0
0.663,607.0,906.0,917.0,865.0
0.683,607.0,904.0,918.0,866.0
0.703,608.0,904.0,919.0,868.0
0.723,608.0,903.0,918.0,867.0
0.743,609.0,905.0,919.0,868.0
0.764,608.0,904.0,919.0,867.0
0.784,609.0,905.0,919.0,867.0
0.804,608.0,904.0,919.0,868.0
0.824,609.0,906.0,920.0,868.0
0.844,607.0,904.0,918.0,866.0
0.864,608.0,904.0,919.0,867.0
0.884,608.0,905.0,920.0,865.0
0.904,608.0,904.0,919.0,868.0
0.924,608.0,906.0,920.0,868.0
0.944,608.0,906.0,919.0,868.0
0.965,608.0,905.0,920.0,869.0
0.985,607.0,905.0,917.0,866.0
1.005,608.0,906.0,920.0,868.0
1.025,608.0,905.0,919.0,868.0
1.045,608.0,906.0,919.0,867.0
1.065,605.0,903.0,915.0,863.0
1.085,607.0,903.0,917.0,865.0
1.106,606.0,902.0,916.0,865.0
1.126,606.0,901.0,916.0,864.0
1.146,605.0,901.0,916.0,864.0
1.166,606.0,901.0,916.0,864.0
1.186,608.0,904.0,918.0,867.0
1.206,607.0,904.0,918.0,866.0
1.226,606.0,901.0,915.0,864.0
1.246,606.0,901.0,916.0,864.0
1.267,603.0,897.0,912.0,862.0
1.287,605.0,901.0,914.0,863.0
1.307,606.0,901.0,916.0,864.0
1.327,607.0,903.0,918.0,866.0
1.347,605.0,900.0,915.0,864.0
1.367,606.0,901.0,916.0,865.0
1.387,605.0,901.0,916.0,864.0
1.407,603.0,898.0,912.0,860.0
1.427,604.0,900.0,915.0,863.0
1.447,606.0,901.0,916.0,864.0
1.467,607.0,903.0,917.0,866.0
1.488,606.0,902.0,916.0,865.0
1.508,603.0,897.0,912.0,860.0
1.528,606.0,903.0,917.0,866.0
1.548,606.0,903.0,916.0,864.0
1.568,605.0,902.0,916.0,865.0
