t,front,rear,left,right
0.001,661.0,1085.0,1038.0,897.0
0.021,660.0,1084.0,1037.0,897.0
0.041,661.0,1085.0,1038.0,897.0
0.061,658.0,1080.0,1033.0,893.0
0.082,660.0,1083.0,1036.0,896.0
0.102,660.0,1085.0,1038.0,897.0
0.122,662.0,1088.0,1040.0,897.0
0.142,660.0,1084.0,1038.0,897.0
0.162,663.0,1087.0,1040.0,899.0
0.182,662.0,1086.0,1040.0,899.0
0.202,662.0,1086.0,1040.0,899.0
0.222,662.0,1086.0,1040.0,899.0
0.242,661.0,1085.0,1039.0,899.0
0.262,661.0,1086.0,1039.0,898.0
0.282,663.0,1089.0,1038.0,897.0
0.302,663.0,1089.0,1041.0,900.0
0.322,663.0,1088.0,1041.0,900.0
0.343,662.0,1086.0,1040.0,899.0
0.363,661.0,1086.0,1040.0,899.0
0.383,662.0,1087.0,1041.0,899.0
0.403,660.0,1085.0,1038.0,898.0
0.423,663.0,1089.0,1042.0,901.0
0.443,663.0,1088.0,1041.0,899.0
0.463,661.0,1084.0,1038.0,897.0
0.483,662.0,1087.0,1040.0,899.0
0.503,662.0,1088.0,1040.0,899.0
0.523,662.0,1087.0,1040.0,900.0
0.543,661.0,1088.0,1040.0,899.0
0.563,662.0,1088.0,1040.0,899.0
0.583,661.0,1087.0,1039.0,898.0
0.604,662.0,1088.0,1041.0,900.0
0.624,662.0,1088.0,1040.0,899.0
0.644,662.0,1088.0,1040.0,899.0
0.664,662.0,1088.0,1040.0,899.0
0.684,663.0,1087.0,1041.0,900.0
0.704,662.0,1088.0,1041.0,900.0
0.724,662.0,1088.0,1040.0,900.0
0.744,662.0,1088.0,1040.0,899.0
0.764,663.0,1088.0,1041.0,900.0
0.784,661.0,1086.0,1040.0,899.0
0.804,661.0,1087.0,1040.0,899.0
0.825,663.0,1088.0,1041.0,900.0
0.845,663.0,1089.0,1042.0,901.0
0.865,664.0,1089.0,1041.0,900.0
0.885,662.0,1088.0,1041.0,900.0
0.905,662.0,1088.0,1041.0,900.0
0.925,662.0,1088.0,1040.0,900.0
0.945,662.0,1088.0,1040.0,900.0
0.965,662.0,1088.0,1040.0,900.0
0.985,663.0,1088.0,1041.0,900.0
1.005,662.0,1088.0,1041.0,899.0
1.025,663.0,1088.0,1040.0,899.0
1.046,661.0,1087.0,1040.0,898.0
1.066,662.0,1087.0,1040.0,899.0
1.086,662.0,1088.0,1041.0,900.0
1.106,663.0,1089.0,1042.0,900.0
1.126,662.0,1088.0,1040.0,899.0
1.146,662.0,1088.0,1041.0,899.0
1.166,662.0,1088.0,1039.0,898.0
1.186,663.0,1089.0,1041.0,900.0
1.206,663.0,1088.0,1042.0,900.0
1.226,662.0,1088.0,1041.0,900.0
1.247,663.0,1089.0,1042.0,900.0
1.267,662.0,1088.0,1041.0,900.0
1.287,661.0,1086.0,1038.0,898.0
1.307,662.0,1088.0,1040.0,898.0
1.327,663.0,1088.0,1040.0,899.0
1.347,663.0,1088.0,1040.0,900.0
1.367,663.0,1089.0,1042.0,901.0
1.387,661.0,1085.0,1038.0,898.0
1.407,662.0,1088.0,1040.0,899.0
1.427,663.0,1088.0,1041.0,900.0
1.447,663.0,1089.0,1042.0,900.0
1.468,663.0,1088.0,1041.0,901.0
1.488,663.0,1090.0,1042.0,900.0
1.508,661.0,1085.0,1039.0,899.0
1.528,663.0,1088.0,1042.0,901.0
1.548,662.0,1087.0,1040.0,898.0
