t,left,right,valid
0.001,1217.0,1289.0,1
0.021,1218.0,1288.0,1
0.041,1217.0,1290.0,1
0.061,1218.0,1289.0,1
0.081,1218.0,1289.0,1
0.101,1218.0,1290.0,1
0.121,1217.0,1290.0,1
0.141,1217.0,1288.0,1
0.161,1219.0,1289.0,1
0.181,1218.0,1291.0,1
0.201,1224.0,1290.0,1
0.222,1216.0,1289.0,1
0.242,1219.0,1291.0,1
0.262,1219.0,1289.0,1
0.282,1217.0,1291.0,1
0.302,1223.0,1301.0,1
0.322,1218.0,1290.0,1
0.342,1218.0,1290.0,1
0.362,1217.0,1290.0,1
0.382,1217.0,1286.0,1
0.402,1218.0,1290.0,1
0.422,1218.0,1291.0,1
0.442,1217.0,1306.0,1
0.462,1218.0,1286.0,1
0.483,1218.0,1290.0,1
0.503,1216.0,1290.0,1
0.523,1217.0,1286.0,1
0.543,1218.0,1288.0,1
0.563,1218.0,1290.0,1
0.583,1220.0,1307.0,1
0.603,1216.0,1288.0,1
0.623,1218.0,1289.0,1
0.643,1218.0,1290.0,1
0.663,1218.0,1286.0,1
0.683,1224.0,1288.0,1
0.703,1218.0,1290.0,1
0.724,1218.0,1290.0,1
0.744,1217.0,1288.0,1
0.764,1217.0,1289.0,1
0.784,1219.0,1290.0,1
0.804,1217.0,1290.0,1
0.824,1218.0,1289.0,1
0.844,1218.0,1289.0,1
0.864,1219.0,1290.0,1
0.884,1216.0,1288.0,1
0.904,1217.0,1289.0,1
0.924,1218.0,1290.0,1
0.945,1219.0,1290.0,1
0.965,1217.0,1289.0,1
0.985,1217.0,1286.0,1
1.005,1218.0,1291.0,1
1.025,1218.0,1290.0,1
1.045,1216.0,1286.0,1
1.065,1217.0,1289.0,1
1.085,1218.0,1291.0,1
1.105,1218.0,1287.0,1
1.126,1217.0,1288.0,1
1.146,1218.0,1290.0,1
1.166,1218.0,1290.0,1
1.186,1218.0,1288.0,1
1.206,1218.0,1289.0,1
1.226,1218.0,1290.0,1
1.246,1218.0,1291.0,1
1.266,1218.0,1289.0,1
1.286,1219.0,1301.0,1
1.306,1218.0,1290.0,1
1.327,1218.0,1291.0,1
1.347,1218.0,1305.0,1
1.367,1221.0,1289.0,1
1.387,1219.0,1290.0,1
1.407,1218.0,1306.0,1
1.427,1218.0,1287.0,1
1.447,1218.0,1290.0,1
1.467,1218.0,1290.0,1
1.488,1217.0,1286.0,1
1.508,1217.0,1288.0,1
1.528,1218.0,1290.0,1
1.548,1219.0,1290.0,1
1.568,1217.0,1288.0,1
1.588,1217.0,1288.0,1
1.608,1218.0,1290.0,1
1.628,1218.0,1287.0,1
1.648,1216.0,1289.0,1
1.668,1217.0,1290.0,1
1.688,1218.0,1290.0,1
1.709,1218.0,1289.0,1
1.729,1224.0,1289.0,1
1.749,1216.0,1291.0,1
1.769,1218.0,1290.0,1
1.789,1218.0,1289.0,1
1.809,1218.0,1306.0,1
1.829,1218.0,1290.0,1
1.849,1218.0,1291.0,1
1.869,1218.0,1289.0,1
1.889,1217.0,1289.0,1
1.909,1218.0,1290.0,1
1.929,1218.0,1290.0,1
1.949,1217.0,1297.0,1
1.97,1217.0,1290.0,1
1.99,1219.0,1291.0,1
2.01,1218.0,1289.0,1
2.03,1217.0,1286.0,1
2.05,1216.0,1291.0,1
2.07,1218.0,1290.0,1
2.09,1218.0,1286.0,1
2.11,1217.0,1288.0,1
2.13,1217.0,1291.0,1
2.15,1218.0,1288.0,1
2.17,1218.0,1288.0,1
2.19,1218.0,1290.0,1
2.211,1218.0,1290.0,1
2.231,1218.0,1288.0,1
2.251,1218.0,1289.0,1
2.271,1220.0,1290.0,1
2.291,1218.0,1290.0,1
2.311,1218.0,1289.0,1
2.331,1218.0,1296.0,1
2.351,1218.0,1290.0,1
2.371,1218.0,1291.0,1
2.392,1219.0,1289.0,1
2.412,1217.0,1289.0,1
2.432,1218.0,1290.0,1
2.452,1218.0,1286.0,1
2.472,1218.0,1289.0,1
2.492,1217.0,1290.0,1
2.512,1218.0,1291.0,1
2.532,1218.0,1287.0,1
2.552,1217.0,1288.0,1
2.572,1217.0,1290.0,1
2.593,1218.0,1290.0,1
2.613,1217.0,1289.0,1
2.633,1216.0,1289.0,1
2.653,1217.0,1291.0,1
2.673,1218.0,1289.0,1
2.693,1219.0,1289.0,1
2.713,1216.0,1290.0,1
2.733,1217.0,1290.0,1
2.753,1218.0,1290.0,1
2.774,1218.0,1286.0,1
2.794,1216.0,1291.0,1
2.814,1217.0,1290.0,1
2.834,1219.0,1285.0,1
2.854,1218.0,1288.0,1
2.874,1216.0,1290.0,1
2.894,1218.0,1307.0,1
2.914,1219.0,1287.0,1
2.934,1218.0,1289.0,1
2.954,1217.0,1290.0,1
2.975,1219.0,1287.0,1
2.995,1219.0,1288.0,1
3.015,1218.0,1290.0,1
3.035,1218.0,1291.0,1
3.055,1218.0,1289.0,1
3.075,1218.0,1306.0,1
3.095,1217.0,1290.0,1
