t,left,right,valid
0.0,1247.0,1366.0,1
0.02,1248.0,1367.0,1
0.041,1249.0,1366.0,1
0.061,1249.0,1383.0,1
0.081,1232.0,1366.0,1
0.101,1248.0,1368.0,1
0.121,1249.0,1367.0,1
0.141,1232.0,1364.0,1
0.161,1232.0,1368.0,1
0.181,1233.0,1367.0,1
0.201,1248.0,1383.0,1
0.221,1252.0,1364.0,1
0.241,1255.0,1367.0,1
0.262,1249.0,1371.0,1
0.282,1234.0,1365.0,1
0.302,1248.0,1366.0,1
0.322,1239.0,1367.0,1
0.342,1249.0,1366.0,1
0.362,1233.0,1365.0,1
0.382,1248.0,1368.0,1
0.402,1232.0,1368.0,1
0.422,1234.0,1365.0,1
0.442,1234.0,1366.0,1
0.462,1248.0,1368.0,1
0.482,1233.0,1368.0,1
0.503,1249.0,1365.0,1
0.523,1240.0,1366.0,1
0.543,1232.0,1366.0,1
0.563,1249.0,1366.0,1
0.583,1249.0,1365.0,1
0.603,1233.0,1367.0,1
0.623,1250.0,1367.0,1
0.643,1248.0,1366.0,1
0.663,1248.0,1372.0,1
0.683,1249.0,1367.0,1
0.703,1238.0,1367.0,1
0.723,1249.0,1363.0,1
0.744,1234.0,1364.0,1
0.764,1248.0,1367.0,1
0.784,1253.0,1385.0,1
0.804,1233.0,1364.0,1
0.824,1249.0,1366.0,1
0.844,1232.0,1367.0,1
0.864,1233.0,1365.0,1
0.884,1248.0,1366.0,1
0.905,1233.0,1366.0,1
0.925,1233.0,1368.0,1
0.945,1233.0,1366.0,1
0.965,1249.0,1381.0,1
0.985,1233.0,1367.0,1
1.005,1233.0,1367.0,1
1.025,1249.0,1383.0,1
1.045,1234.0,1367.0,1
1.065,1232.0,1366.0,1
1.085,1233.0,1382.0,1
1.106,1250.0,1364.0,1
1.126,1233.0,1367.0,1
1.146,1248.0,1367.0,1
1.166,1233.0,1363.0,1
1.186,1234.0,1365.0,1
1.206,1254.0,1367.0,1
1.226,1248.0,1368.0,1
1.246,1233.0,1365.0,1
1.266,1233.0,1366.0,1
1.287,1239.0,1368.0,1
1.307,1233.0,1366.0,1
1.327,1234.0,1366.0,1
1.347,1249.0,1366.0,1
1.367,1240.0,1367.0,1
1.387,1232.0,1366.0,1
1.407,1234.0,1382.0,1
1.427,1234.0,1368.0,1
1.447,1239.0,1367.0,1
1.467,1231.0,1371.0,1
1.488,1233.0,1364.0,1
1.508,1234.0,1367.0,1
1.528,1249.0,1380.0,1
1.548,1233.0,1363.0,1
1.568,1234.0,1367.0,1
1.588,1234.0,1367.0,1
1.608,1248.0,1365.0,1
1.628,1248.0,1366.0,1
1.648,1233.0,1367.0,1
1.668,1248.0,1367.0,1
1.689,1233.0,1365.0,1
1.709,1233.0,1367.0,1
1.729,1234.0,1368.0,1
1.749,1248.0,1368.0,1
1.769,1248.0,1366.0,1
1.789,1234.0,1366.0,1
1.809,1249.0,1367.0,1
1.829,1233.0,1363.0,1
1.85,1248.0,1364.0,1
1.87,1249.0,1367.0,1
1.89,1248.0,1367.0,1
1.91,1232.0,1363.0,1
1.93,1248.0,1365.0,1
1.95,1249.0,1368.0,1
1.97,1240.0,1368.0,1
1.99,1232.0,1365.0,1
2.011,1233.0,1366.0,1
2.031,1249.0,1368.0,1
2.051,1232.0,1367.0,1
2.071,1248.0,1382.0,1
2.091,1234.0,1367.0,1
2.111,1249.0,1367.0,1
2.131,1248.0,1384.0,1
2.151,1233.0,1364.0,1
2.171,1249.0,1366.0,1
2.192,1249.0,1368.0,1
2.212,1232.0,1363.0,1
2.232,1234.0,1365.0,1
2.252,1249.0,1367.0,1
2.272,1233.0,1364.0,1
2.292,1247.0,1366.0,1
2.312,1248.0,1367.0,1
2.332,1234.0,1367.0,1
2.352,1248.0,1366.0,1
2.373,1234.0,1366.0,1
2.393,1248.0,1367.0,1
2.413,1249.0,1367.0,1
2.433,1233.0,1366.0,1
2.453,1248.0,1383.0,1
2.473,1249.0,1367.0,1
2.493,1249.0,1368.0,1
2.513,1248.0,1366.0,1
2.533,1233.0,1366.0,1
2.553,1234.0,1367.0,1
2.573,1248.0,1367.0,1
2.593,1233.0,1363.0,1
2.614,1233.0,1367.0,1
2.634,1233.0,1368.0,1
2.654,1248.0,1378.0,1
2.674,1232.0,1362.0,1
2.694,1249.0,1368.0,1
2.714,1234.0,1368.0,1
2.734,1248.0,1363.0,1
2.754,1246.0,1365.0,1
2.774,1249.0,1368.0,1
2.794,1234.0,1369.0,1
2.814,1248.0,1365.0,1
2.834,1252.0,1367.0,1
2.855,1234.0,1367.0,1
2.875,1233.0,1364.0,1
2.895,1248.0,1365.0,1
2.915,1248.0,1367.0,1
2.935,1249.0,1368.0,1
2.955,1248.0,1366.0,1
2.975,1248.0,1366.0,1
2.995,1249.0,1367.0,1
3.015,1249.0,1368.0,1
3.035,1248.0,1366.0,1
3.055,1248.0,1366.0,1
3.075,1249.0,1368.0,1
3.096,1249.0,1366.0,1
3.116,1254.0,1372.0,1
3.136,1232.0,1367.0,1
3.156,1249.0,1368.0,1
3.176,1250.0,1366.0,1
3.196,1234.0,1364.0,1
3.216,1253.0,1367.0,1
3.236,1233.0,1367.0,1
3.256,1234.0,1382.0,1
3.276,1233.0,1364.0,1
3.296,1233.0,1368.0,1
3.316,1249.0,1364.0,1
3.337,1248.0,1365.0,1
3.357,1248.0,1367.0,1
3.377,1233.0,1368.0,1
3.397,1234.0,1365.0,1
3.417,1248.0,1366.0,1
3.437,1248.0,1367.0,1
3.457,1234.0,1368.0,1
3.477,1249.0,1366.0,1
3.498,1248.0,1363.0,1
3.518,1248.0,1367.0,1
3.538,1249.0,1368.0,1
3.558,1234.0,1362.0,1
3.578,1248.0,1366.0,1
3.598,1233.0,1367.0,1
3.618,1234.0,1383.0,1
3.638,1232.0,1364.0,1
3.658,1248.0,1367.0,1
3.679,1233.0,1368.0,1
3.699,1234.0,1365.0,1
3.719,1247.0,1366.0,1
3.739,1233.0,1367.0,1
3.759,1234.0,1368.0,1
3.779,1249.0,1366.0,1
3.799,1247.0,1366.0,1
3.819,1232.0,1367.0,1
3.839,1234.0,1366.0,1
3.86,1249.0,1383.0,1
3.88,1232.0,1367.0,1
3.9,1233.0,1368.0,1
3.92,1234.0,1382.0,1
3.94,1234.0,1364.0,1
3.96,1248.0,1367.0,1
3.98,1249.0,1368.0,1
4.0,1249.0,1364.0,1
4.02,1233.0,1365.0,1
4.04,1235.0,1367.0,1
4.061,1249.0,1364.0,1
4.081,1234.0,1366.0,1
4.101,1233.0,1367.0,1
4.121,1239.0,1367.0,1
4.141,1234.0,1366.0,1
4.161,1234.0,1382.0,1
4.181,1248.0,1367.0,1
4.201,1254.0,1368.0,1
4.222,1249.0,1366.0,1
4.242,1249.0,1363.0,1
4.262,1248.0,1367.0,1
4.282,1248.0,1368.0,1
4.302,1234.0,1364.0,1
4.322,1233.0,1366.0,1
4.342,1233.0,1368.0,1
4.362,1234.0,1364.0,1
4.382,1234.0,1365.0,1
4.403,1233.0,1367.0,1
4.423,1248.0,1368.0,1
4.443,1234.0,1366.0,1
4.463,1234.0,1383.0,1
4.483,1233.0,1367.0,1
4.503,1248.0,1368.0,1
4.523,1249.0,1378.0,1
4.543,1234.0,1367.0,1
4.564,1233.0,1367.0,1
4.584,1233.0,1369.0,1
4.604,1234.0,1363.0,1
4.624,1232.0,1367.0,1
4.644,1233.0,1367.0,1
4.664,1234.0,1364.0,1
4.684,1233.0,1365.0,1
4.704,1232.0,1368.0,1
4.725,1233.0,1367.0,1
4.745,1234.0,1366.0,1
4.765,1233.0,1366.0,1
4.785,1232.0,1368.0,1
4.805,1233.0,1371.0,1
4.825,1235.0,1363.0,1
4.845,1233.0,1367.0,1
4.865,1232.0,1367.0,1
4.886,1233.0,1366.0,1
4.906,1234.0,1365.0,1
4.926,1232.0,1367.0,1
4.946,1232.0,1367.0,1
4.966,1234.0,1365.0,1
4.986,1234.0,1366.0,1
5.006,1232.0,1367.0,1
5.026,1232.0,1366.0,1
5.046,1233.0,1365.0,1
5.067,1234.0,1367.0,1
5.087,1239.0,1367.0,1
5.107,1240.0,1365.0,1
5.127,1234.0,1368.0,1
5.147,1233.0,1367.0,1
5.167,1233.0,1368.0,1
5.187,1233.0,1363.0,1
5.207,1233.0,1365.0,1
5.227,1234.0,1368.0,1
5.248,1237.0,1384.0,1
5.268,1233.0,1364.0,1
5.288,1234.0,1367.0,1
5.308,1233.0,1367.0,1
5.328,1237.0,1364.0,1
5.348,1234.0,1366.0,1
5.368,1234.0,1368.0,1
5.388,1233.0,1367.0,1
5.408,1235.0,1366.0,1
5.429,1234.0,1363.0,1
5.449,1234.0,1367.0,1
5.469,1233.0,1367.0,1
5.489,1233.0,1383.0,1
5.509,1234.0,1366.0,1
5.529,1234.0,1368.0,1
5.549,1233.0,1368.0,1
5.569,1233.0,1365.0,1
5.59,1234.0,1367.0,1
5.61,1233.0,1367.0,1
5.63,1233.0,1365.0,1
5.65,1233.0,1366.0,1
5.67,1234.0,1367.0,1
5.69,1233.0,1367.0,1
5.71,1239.0,1382.0,1
5.731,1233.0,1366.0,1
5.751,1234.0,1368.0,1
5.771,1233.0,1352.0,1
5.791,1233.0,1363.0,1
5.811,1234.0,1367.0,1
5.831,1234.0,1367.0,1
5.851,1233.0,1349.0,1
5.871,1233.0,1350.0,1
5.891,1233.0,1352.0,1
5.911,1233.0,1352.0,1
5.932,1233.0,1350.0,1
5.952,1233.0,1350.0,1
5.972,1233.0,1352.0,1
5.992,1232.0,1351.0,1
6.012,1233.0,1351.0,1
6.032,1233.0,1352.0,1
6.052,1233.0,1353.0,1
6.072,1232.0,1352.0,1
6.092,1232.0,1356.0,1
6.113,1234.0,1351.0,1
6.133,1234.0,1352.0,1
6.153,1239.0,1360.0,1
6.173,1233.0,1349.0,1
6.193,1234.0,1352.0,1
6.213,1234.0,1368.0,1
6.233,1240.0,1349.0,1
6.253,1234.0,1352.0,1
6.273,1234.0,1352.0,1
6.293,1233.0,1350.0,1
6.314,1240.0,1350.0,1
6.334,1233.0,1352.0,1
6.354,1234.0,1352.0,1
6.374,1233.0,1351.0,1
6.394,1239.0,1354.0,1
6.414,1234.0,1352.0,1
6.434,1234.0,1352.0,1
6.454,1233.0,1351.0,1
6.474,1232.0,1351.0,1
6.495,1234.0,1352.0,1
6.515,1234.0,1352.0,1
6.535,1233.0,1348.0,1
6.555,1233.0,1352.0,1
6.575,1234.0,1352.0,1
6.595,1233.0,1363.0,1
6.615,1233.0,1364.0,1
6.635,1234.0,1368.0,1
6.655,1235.0,1368.0,1
6.675,1232.0,1365.0,1
6.696,1233.0,1366.0,1
6.716,1248.0,1368.0,1
6.736,1234.0,1365.0,1
6.756,1231.0,1366.0,1
6.776,1232.0,1367.0,1
6.796,1234.0,1367.0,1
6.816,1234.0,1366.0,1
6.836,1232.0,1362.0,1
6.856,1233.0,1367.0,1
6.877,1234.0,1368.0,1
6.897,1253.0,1383.0,1
6.917,1247.0,1364.0,1
6.937,1233.0,1368.0,1
6.957,1248.0,1384.0,1
6.977,1248.0,1365.0,1
6.997,1248.0,1367.0,1
7.017,1248.0,1367.0,1
7.037,1249.0,1363.0,1
7.058,1248.0,1365.0,1
7.078,1248.0,1367.0,1
7.098,1234.0,1368.0,1
