t,left,right,valid
0.001,1385.0,1441.0,1
0.021,1389.0,1445.0,1
0.041,1385.0,1443.0,1
0.061,1384.0,1443.0,1
0.081,1385.0,1441.0,1
0.101,1386.0,1443.0,1
0.121,1401.0,1443.0,1
0.141,1406.0,1443.0,1
0.161,1399.0,1453.0,1
0.181,1401.0,1442.0,1
0.202,1386.0,1443.0,1
0.222,1385.0,1442.0,1
0.242,1401.0,1440.0,1
0.262,1385.0,1442.0,1
0.282,1385.0,1443.0,1
0.302,1400.0,1438.0,1
0.322,1386.0,1440.0,1
0.342,1387.0,1443.0,1
0.362,1384.0,1443.0,1
0.382,1385.0,1440.0,1
0.402,1385.0,1440.0,1
0.422,1386.0,1443.0,1
0.443,1384.0,1438.0,1
0.463,1385.0,1441.0,1
0.483,1386.0,1442.0,1
0.503,1386.0,1443.0,1
0.523,1406.0,1440.0,1
0.543,1383.0,1441.0,1
0.563,1386.0,1442.0,1
0.583,1401.0,1443.0,1
0.603,1385.0,1440.0,1
0.623,1386.0,1441.0,1
0.643,1401.0,1444.0,1
0.663,1385.0,1443.0,1
0.683,1385.0,1441.0,1
0.704,1401.0,1441.0,1
0.724,1386.0,1443.0,1
0.744,1385.0,1442.0,1
0.764,1385.0,1458.0,1
0.784,1386.0,1443.0,1
0.804,1385.0,1443.0,1
0.824,1385.0,1442.0,1
0.844,1385.0,1437.0,1
0.864,1386.0,1443.0,1
0.884,1386.0,1443.0,1
0.905,1399.0,1438.0,1
0.925,1400.0,1440.0,1
0.945,1386.0,1443.0,1
0.965,1386.0,1459.0,1
0.985,1384.0,1441.0,1
1.005,1386.0,1442.0,1
1.025,1386.0,1443.0,1
1.045,1385.0,1441.0,1
1.065,1384.0,1442.0,1
1.086,1401.0,1443.0,1
1.106,1386.0,1443.0,1
1.126,1398.0,1456.0,1
1.146,1385.0,1441.0,1
1.166,1386.0,1443.0,1
1.186,1386.0,1458.0,1
1.206,1384.0,1439.0,1
1.227,1384.0,1441.0,1
1.247,1401.0,1443.0,1
1.267,1386.0,1440.0,1
1.287,1387.0,1441.0,1
1.307,1385.0,1442.0,1
1.327,1387.0,1443.0,1
1.347,1386.0,1441.0,1
1.367,1406.0,1441.0,1
1.387,1401.0,1443.0,1
1.408,1401.0,1443.0,1
1.428,1400.0,1442.0,1
1.448,1392.0,1441.0,1
1.468,1386.0,1442.0,1
1.488,1386.0,1442.0,1
1.508,1385.0,1439.0,1
1.528,1391.0,1443.0,1
1.548,1386.0,1443.0,1
1.569,1386.0,1440.0,1
1.589,1385.0,1440.0,1
1.609,1385.0,1442.0,1
1.629,1401.0,1443.0,1
1.649,1386.0,1440.0,1
1.669,1385.0,1441.0,1
1.689,1386.0,1443.0,1
1.709,1386.0,1442.0,1
1.729,1385.0,1442.0,1
1.75,1385.0,1443.0,1
1.77,1385.0,1443.0,1
1.79,1386.0,1442.0,1
1.81,1385.0,1438.0,1
1.83,1386.0,1442.0,1
1.85,1401.0,1443.0,1
1.87,1401.0,1438.0,1
1.891,1385.0,1442.0,1
1.911,1386.0,1443.0,1
1.931,1386.0,1442.0,1
1.951,1401.0,1441.0,1
1.971,1385.0,1442.0,1
1.991,1386.0,1443.0,1
2.011,1386.0,1442.0,1
2.032,1385.0,1438.0,1
2.052,1400.0,1443.0,1
2.072,1401.0,1443.0,1
2.092,1401.0,1439.0,1
2.112,1385.0,1441.0,1
2.132,1385.0,1443.0,1
2.152,1386.0,1460.0,1
2.172,1401.0,1440.0,1
2.192,1399.0,1443.0,1
2.212,1385.0,1443.0,1
2.232,1401.0,1438.0,1
2.253,1386.0,1440.0,1
2.273,1389.0,1442.0,1
2.293,1385.0,1443.0,1
2.313,1386.0,1442.0,1
2.333,1392.0,1443.0,1
2.353,1406.0,1443.0,1
2.373,1386.0,1443.0,1
2.393,1386.0,1441.0,1
2.414,1390.0,1442.0,1
2.434,1398.0,1443.0,1
2.454,1386.0,1442.0,1
2.474,1387.0,1442.0,1
2.494,1385.0,1442.0,1
2.514,1405.0,1443.0,1
2.534,1386.0,1453.0,1
2.554,1386.0,1440.0,1
2.574,1400.0,1443.0,1
2.594,1386.0,1443.0,1
2.614,1401.0,1441.0,1
2.635,1384.0,1440.0,1
2.655,1400.0,1442.0,1
2.675,1386.0,1440.0,1
2.695,1386.0,1440.0,1
2.715,1384.0,1443.0,1
2.735,1400.0,1443.0,1
2.755,1386.0,1441.0,1
2.775,1402.0,1441.0,1
2.795,1384.0,1443.0,1
2.815,1400.0,1443.0,1
2.835,1401.0,1442.0,1
2.856,1386.0,1458.0,1
2.876,1401.0,1443.0,1
2.896,1399.0,1443.0,1
2.916,1386.0,1458.0,1
2.936,1393.0,1442.0,1
2.956,1391.0,1444.0,1
2.976,1386.0,1458.0,1
2.996,1386.0,1438.0,1
3.016,1401.0,1442.0,1
3.037,1406.0,1442.0,1
3.057,1400.0,1438.0,1
3.077,1401.0,1441.0,1
3.097,1386.0,1442.0,1
3.117,1390.0,1443.0,1
3.137,1386.0,1440.0,1
3.157,1386.0,1441.0,1
3.177,1385.0,1442.0,1
3.197,1400.0,1442.0,1
3.218,1386.0,1441.0,1
3.238,1401.0,1443.0,1
3.258,1385.0,1443.0,1
3.278,1385.0,1442.0,1
3.298,1386.0,1441.0,1
3.318,1384.0,1443.0,1
3.338,1385.0,1443.0,1
3.358,1401.0,1440.0,1
3.378,1400.0,1441.0,1
3.398,1399.0,1443.0,1
3.419,1400.0,1458.0,1
3.439,1388.0,1441.0,1
3.459,1386.0,1442.0,1
3.479,1383.0,1443.0,1
3.499,1385.0,1441.0,1
3.519,1401.0,1441.0,1
3.539,1386.0,1443.0,1
3.559,1384.0,1444.0,1
3.579,1384.0,1441.0,1
3.6,1401.0,1442.0,1
3.62,1385.0,1443.0,1
3.64,1398.0,1443.0,1
3.66,1401.0,1441.0,1
3.68,1386.0,1442.0,1
3.7,1385.0,1443.0,1
3.72,1385.0,1442.0,1
3.74,1385.0,1438.0,1
3.76,1386.0,1442.0,1
3.78,1385.0,1442.0,1
3.801,1385.0,1457.0,1
3.821,1386.0,1441.0,1
3.841,1401.0,1443.0,1
3.861,1385.0,1443.0,1
3.881,1401.0,1440.0,1
3.901,1401.0,1441.0,1
3.921,1401.0,1443.0,1
3.941,1385.0,1441.0,1
3.961,1386.0,1441.0,1
3.981,1386.0,1442.0,1
4.002,1385.0,1443.0,1
4.022,1385.0,1441.0,1
4.042,1385.0,1458.0,1
4.062,1386.0,1443.0,1
4.082,1384.0,1443.0,1
4.102,1384.0,1442.0,1
4.122,1386.0,1438.0,1
4.142,1401.0,1442.0,1
4.162,1402.0,1443.0,1
4.183,1385.0,1438.0,1
4.203,1386.0,1442.0,1
4.223,1386.0,1443.0,1
4.243,1387.0,1441.0,1
4.263,1384.0,1440.0,1
4.283,1386.0,1442.0,1
4.303,1401.0,1443.0,1
4.323,1389.0,1440.0,1
4.343,1401.0,1441.0,1
4.364,1386.0,1442.0,1
4.384,1385.0,1443.0,1
4.404,1391.0,1441.0,1
4.424,1401.0,1442.0,1
4.444,1386.0,1442.0,1
4.464,1401.0,1442.0,1
4.484,1406.0,1446.0,1
4.504,1401.0,1442.0,1
4.524,1401.0,1443.0,1
4.545,1401.0,1450.0,1
4.565,1406.0,1440.0,1
4.585,1401.0,1443.0,1
4.605,1401.0,1444.0,1
4.625,1385.0,1440.0,1
4.645,1385.0,1442.0,1
4.665,1401.0,1443.0,1
4.685,1400.0,1440.0,1
4.705,1415.0,1442.0,1
4.725,1400.0,1442.0,1
4.746,1401.0,1443.0,1
4.766,1400.0,1456.0,1
4.786,1385.0,1461.0,1
4.806,1387.0,1458.0,1
4.826,1401.0,1458.0,1
4.846,1399.0,1456.0,1
4.866,1400.0,1456.0,1
4.886,1386.0,1457.0,1
4.906,1386.0,1458.0,1
4.927,1398.0,1452.0,1
4.947,1400.0,1457.0,1
4.967,1401.0,1443.0,1
4.987,1408.0,1439.0,1
5.007,1383.0,1440.0,1
5.027,1385.0,1442.0,1
5.047,1386.0,1458.0,1
5.067,1385.0,1440.0,1
5.087,1407.0,1441.0,1
5.108,1370.0,1442.0,1
5.128,1355.0,1442.0,1
5.148,1355.0,1440.0,1
5.168,1353.0,1441.0,1
5.188,1370.0,1428.0,1
5.208,1371.0,1442.0,1
5.228,1370.0,1457.0,1
5.248,1361.0,1442.0,1
5.269,1355.0,1457.0,1
5.289,1355.0,1458.0,1
5.309,1354.0,1439.0,1
5.329,1370.0,1443.0,1
5.349,1339.0,1442.0,1
5.369,1340.0,1440.0,1
5.389,1354.0,1441.0,1
