t,left,right,valid
0.001,1785.0,1756.0,1
0.021,1783.0,1772.0,1
0.041,1784.0,1770.0,1
0.061,1784.0,1761.0,1
0.081,1783.0,1759.0,1
0.101,1783.0,1772.0,1
0.121,1798.0,1756.0,1
0.141,1798.0,1757.0,1
0.161,1797.0,1744.0,1
0.182,1783.0,1758.0,1
0.202,1798.0,1769.0,1
0.222,1785.0,1756.0,1
0.242,1797.0,1757.0,1
0.262,1796.0,1757.0,1
0.282,1784.0,1753.0,1
0.302,1769.0,1772.0,1
0.322,1788.0,1758.0,1
0.342,1796.0,1772.0,1
0.362,1784.0,1753.0,1
0.382,1784.0,1758.0,1
0.402,1797.0,1758.0,1
0.422,1784.0,1752.0,1
0.443,1784.0,1755.0,1
0.463,1769.0,1757.0,1
0.483,1784.0,1774.0,1
0.503,1784.0,1754.0,1
0.524,1770.0,1757.0,1
0.544,1783.0,1758.0,1
0.564,1783.0,1754.0,1
0.584,1784.0,1769.0,1
0.604,1784.0,1772.0,1
0.624,1783.0,1758.0,1
0.645,1768.0,1770.0,1
0.665,1784.0,1756.0,1
0.685,1774.0,1757.0,1
0.705,1783.0,1772.0,1
0.725,1783.0,1778.0,1
0.745,1785.0,1757.0,1
0.765,1786.0,1758.0,1
0.785,1781.0,1772.0,1
0.805,1784.0,1756.0,1
0.826,1798.0,1772.0,1
0.846,1784.0,1758.0,1
0.866,1782.0,1753.0,1
0.886,1785.0,1755.0,1
0.906,1784.0,1758.0,1
0.926,1783.0,1768.0,1
0.946,1783.0,1755.0,1
0.966,1784.0,1757.0,1
0.986,1784.0,1758.0,1
1.007,1783.0,1769.0,1
1.027,1798.0,1755.0,1
1.047,1784.0,1758.0,1
1.067,1769.0,1758.0,1
1.087,1784.0,1756.0,1
1.107,1783.0,1756.0,1
1.127,1785.0,1758.0,1
1.147,1768.0,1758.0,1
1.167,1784.0,1756.0,1
1.187,1798.0,1757.0,1
1.207,1798.0,1758.0,1
1.227,1782.0,1757.0,1
1.248,1782.0,1768.0,1
1.268,1799.0,1757.0,1
1.288,1783.0,1758.0,1
1.308,1787.0,1757.0,1
1.328,1796.0,1768.0,1
1.348,1785.0,1757.0,1
1.368,1799.0,1758.0,1
1.388,1784.0,1772.0,1
1.408,1783.0,1753.0,1
1.428,1798.0,1758.0,1
1.448,1798.0,1758.0,1
1.468,1783.0,1752.0,1
1.489,1784.0,1757.0,1
1.509,1799.0,1757.0,1
1.529,1782.0,1773.0,1
1.549,1783.0,1754.0,1
1.569,1784.0,1757.0,1
1.589,1799.0,1758.0,1
1.609,1796.0,1755.0,1
1.629,1798.0,1770.0,1
1.649,1798.0,1757.0,1
1.669,1799.0,1758.0,1
1.689,1790.0,1756.0,1
1.71,1782.0,1756.0,1
1.73,1784.0,1758.0,1
1.75,1799.0,1771.0,1
1.77,1803.0,1756.0,1
1.79,1784.0,1756.0,1
1.81,1800.0,1757.0,1
1.83,1769.0,1757.0,1
1.85,1774.0,1766.0,1
1.87,1784.0,1758.0,1
1.89,1785.0,1757.0,1
1.911,1798.0,1772.0,1
1.931,1768.0,1754.0,1
1.951,1799.0,1758.0,1
1.971,1798.0,1757.0,1
1.991,1784.0,1754.0,1
2.011,1797.0,1771.0,1
2.031,1799.0,1772.0,1
2.051,1798.0,1770.0,1
2.071,1783.0,1756.0,1
2.092,1798.0,1757.0,1
2.112,1800.0,1772.0,1
2.132,1781.0,1756.0,1
2.152,1783.0,1756.0,1
2.172,1784.0,1757.0,1
2.192,1782.0,1757.0,1
2.212,1796.0,1771.0,1
2.232,1796.0,1771.0,1
2.252,1784.0,1758.0,1
2.273,1784.0,1757.0,1
2.293,1790.0,1772.0,1
2.313,1782.0,1757.0,1
2.333,1799.0,1772.0,1
2.353,1785.0,1773.0,1
2.373,1789.0,1768.0,1
2.393,1796.0,1758.0,1
2.413,1798.0,1758.0,1
2.433,1784.0,1753.0,1
2.453,1783.0,1755.0,1
2.474,1769.0,1757.0,1
2.494,1799.0,1754.0,1
2.514,1797.0,1755.0,1
2.534,1797.0,1742.0,1
2.554,1798.0,1757.0,1
2.574,1785.0,1756.0,1
2.594,1798.0,1756.0,1
2.614,1784.0,1758.0,1
2.634,1784.0,1757.0,1
2.654,1798.0,1756.0,1
2.675,1783.0,1772.0,1
2.695,1796.0,1758.0,1
2.715,1784.0,1758.0,1
2.735,1784.0,1786.0,1
2.755,1797.0,1756.0,1
2.775,1784.0,1772.0,1
2.795,1800.0,1757.0,1
2.815,1805.0,1752.0,1
2.835,1781.0,1757.0,1
2.855,1783.0,1758.0,1
2.876,1798.0,1754.0,1
2.896,1790.0,1755.0,1
2.916,1796.0,1758.0,1
2.936,1784.0,1758.0,1
2.956,1798.0,1756.0,1
2.976,1803.0,1756.0,1
2.996,1781.0,1772.0,1
3.016,1769.0,1756.0,1
3.036,1784.0,1756.0,1
3.057,1769.0,1757.0,1
3.077,1783.0,1758.0,1
3.097,1785.0,1757.0,1
3.117,1798.0,1765.0,1
3.137,1798.0,1773.0,1
3.157,1798.0,1758.0,1
3.177,1784.0,1771.0,1
3.197,1798.0,1769.0,1
3.217,1782.0,1758.0,1
3.238,1784.0,1784.0,1
3.258,1800.0,1768.0,1
3.278,1799.0,1756.0,1
3.298,1783.0,1758.0,1
3.318,1784.0,1754.0,1
3.338,1784.0,1756.0,1
3.358,1782.0,1757.0,1
3.378,1783.0,1772.0,1
3.398,1769.0,1756.0,1
3.419,1798.0,1771.0,1
3.439,1782.0,1758.0,1
3.459,1753.0,1773.0,1
3.479,1798.0,1757.0,1
3.499,1771.0,1756.0,1
3.519,1796.0,1758.0,1
3.539,1798.0,1757.0,1
3.559,1786.0,1768.0,1
3.579,1769.0,1757.0,1
3.599,1783.0,1758.0,1
3.62,1798.0,1760.0,1
3.64,1783.0,1754.0,1
3.66,1769.0,1757.0,1
3.68,1781.0,1772.0,1
